Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-10-19,51.4,201000,9(4.69 %),16630,3343000000,0,0,201000,201000,201000
2007-10-22,53.95,211000,10(4.98 %),78970,16663000000,20000,4220000000,211000,211000,211000
2007-10-23,56.51,221000,10(4.74 %),87310,19296000000,0,0,221000,221000,221000
2007-10-24,59.32,232000,11(4.98 %),51270,11895000000,0,0,232000,232000,232000
2007-10-25,62.14,243000,11(4.74 %),76710,18641000000,0,0,243000,243000,243000
2007-10-26,65.2,255000,12(4.94 %),169820,43304000000,0,0,255000,255000,255000
2007-10-29,63.93,250000,-5(-1.96 %),267400,69252000000,0,0,265000,265000,250000
2007-10-30,62.65,245000,-5(-2.00 %),104260,25617000000,0,0,245000,250000,245000
2007-10-31,60.86,238000,-7(-2.86 %),110460,26166000000,0,0,234000,240000,234000
2007-11-01,61.37,240000,2(0.84 %),150260,35903000000,0,0,238000,241000,238000
2007-11-02,60.6,237000,-3(-1.25 %),65440,15619000000,0,0,243000,243000,237000
2007-11-05,57.79,226000,-11(-4.64 %),163020,37146000000,0,0,227000,232000,226000
2007-11-06,55.23,216000,-10(-4.42 %),250620,54516000000,0,0,217000,222000,216000
2007-11-07,52.93,207000,-9(-4.17 %),335550,70350000000,24260,5483000000,210000,215000,207000
2007-11-08,55.49,217000,10(4.83 %),157790,34072000000,40000,8400000000,215000,217000,214000
2007-11-09,58.04,227000,10(4.61 %),449940,102054000000,20000,4140000000,227000,227000,220000
2007-11-12,56.0,219000,-8(-3.52 %),106590,23370000000,22000,4840000000,220000,225000,217000
2007-11-13,53.44,209000,-10(-4.57 %),135850,28557000000,0,0,211000,213000,209000
2007-11-14,55.74,218000,9(4.31 %),190580,41280000000,53000,11607000000,215000,219000,213000
2007-11-15,54.47,213000,-5(-2.29 %),143400,30295000000,0,0,211000,213000,209000
2007-11-16,54.21,212000,-1(-0.47 %),105200,22258000000,0,0,211000,213000,211000
2007-11-19,53.95,211000,-1(-0.47 %),95140,20121000000,0,0,214000,214000,210000
2007-11-20,53.19,208000,-3(-1.42 %),154120,32205000000,32000,6688000000,211000,211000,208000
2007-11-21,52.93,207000,-1(-0.48 %),92000,18981000000,0,0,206000,207000,204000
2007-11-22,52.93,207000,0(0.00 %),73380,15279000000,0,0,208000,210000,207000
2007-11-23,52.16,204000,-3(-1.45 %),133090,27175000000,30000,6510000000,205000,207000,203000
