Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-11-10,10.03,25400,-1.9(-6.96 %),765300,19459560000.0,396000,10722200000,25800,25800,25400
2010-11-11,9.36,23700,-1.7(-6.69 %),1760300,41842150000.0,651500,15440550000,24000,24500,23700
2010-11-12,8.76,22200,-1.6(-6.72 %),1690900,37658420000.0,612000,13586400000,23000,23000,22200
2010-11-15,8.72,22100,-0.2(-0.90 %),425700,9436230000.0,710000,14768000000,22300,23400,21600
2010-11-16,9.36,23650,1.5(6.76 %),2864200,64885320000.0,65000,1540500000,21600,23650,21600
2010-11-17,9.47,24000,1.3(5.73 %),637500,15266790000.0,237400,5388980000,23800,24200,23600
2010-11-18,9.39,23800,-0.1(-0.42 %),465300,11216320000.0,92600,2096980000,24200,24700,23600
2010-11-19,9.36,23700,-0.4(-1.66 %),646700,15274180000.0,0,0,24000,24100,23300
2010-11-22,9.04,22900,-0.7(-2.97 %),312400,7110730000.0,4135000,100318000000,23000,23000,22200
2010-11-23,9.08,23000,0.2(0.88 %),308400,7057690000.0,1840200,44102380000,23000,23100,22300
2010-11-24,9.0,22800,-0.1(-0.44 %),262200,5974290000.0,15000,367500000,22600,23000,22600
2010-11-25,9.36,23700,0.9(3.95 %),324000,7653370000.0,15000,342000000,23000,23900,23000
2010-11-26,9.43,23900,0.3(1.27 %),363800,8615890000.0,234000,5546400000,24000,24000,23500
2010-11-29,9.99,25300,1.6(6.75 %),507000,12386280000.0,0,0,23500,25300,23300
2010-11-30,10.11,25600,1.2(4.92 %),637300,16580470000.0,10000,227000000,26000,26100,25000
2010-12-01,9.99,25300,-0.7(-2.69 %),418200,10777700000.0,0,0,26000,26400,25000
2010-12-02,10.89,27050,1.8(6.98 %),781300,21063260000.0,30000,720000000,25800,27050,25400
2010-12-03,11.37,28800,1.8(6.67 %),503100,14487600000.0,20000,542000000,28800,28800,28000
2010-12-06,11.8,29900,1.1(3.82 %),3513000,105854880000.0,200000,5760000000,30500,30800,29000
2010-12-07,11.72,29700,-0.4(-1.33 %),1896500,57468720000.0,0,0,29000,32000,29000
2010-12-08,11.21,28400,-1.9(-6.27 %),1673500,47868630000.0,0,0,30000,30600,28200
2010-12-09,12.08,30400,2(6.99 %),858500,25573730000.0,10000,300000000,28600,30400,28200
2010-12-10,12.55,31800,2(6.71 %),785300,24969440000.0,5000,150000000,31800,31800,31500
2010-12-13,13.42,34000,2.2(6.92 %),833300,28332200000.0,0,0,34000,34000,34000
2010-12-14,13.42,34000,0(0.00 %),1370500,47206130000.0,4036500,144706000000,36300,36300,32900
2010-12-15,13.34,33800,-0.6(-1.74 %),1764500,60243460000.0,2478000,86720000000,34000,35200,33700
2010-12-16,12.67,32100,-2(-5.87 %),572400,18606180000.0,0,0,32100,33400,32000
2010-12-17,13.38,33900,1.4(4.31 %),533400,17719510000.0,250000,7875000000,33000,34000,32500
2010-12-20,12.59,31900,-1.3(-3.92 %),418700,13598060000.0,0,0,34000,34000,31800
2010-12-21,12.28,31100,-1.4(-4.31 %),1064100,33057230000.0,0,0,32200,32200,30700
2010-12-22,12.43,31500,0.4(1.29 %),510300,16160480000.0,0,0,32500,32500,31000
2010-12-23,12.47,31600,-0.1(-0.32 %),418500,12695430000.0,0,0,31500,31600,29800
2010-12-24,12.36,31300,1(3.30 %),266200,8205550000.0,0,0,31400,32000,30000
2010-12-27,12.43,31500,0.7(2.27 %),486600,15065370000.0,720000,22332000000,31800,31800,30600
2010-12-28,12.63,32000,1(3.23 %),683700,21936440000.0,470000,15275000000,32000,33000,31100
2010-12-29,12.24,31000,-1.1(-3.43 %),280500,8837410000.0,5000,155000000,33500,33500,30900
2010-12-30,12.2,30900,-0.6(-1.90 %),286400,8836570000.0,0,0,30500,31500,30400
2010-12-31,12.43,31500,0.6(1.94 %),650500,20721850000.0,2801700,89654400000,30800,32500,30200
2011-01-04,12.39,31400,-0.5(-1.57 %),243000,7778910000.0,0,0,31900,33300,31400
2011-01-05,12.12,30700,-1.3(-4.06 %),198300,6118300000.0,0,0,31000,31100,30600
2011-01-06,12.2,30900,0(0.00 %),75700,2324650000.0,0,0,30300,31000,30300
2011-01-07,12.04,30500,-0.2(-0.65 %),180000,5497130000.0,14500,464000000,30900,31000,30100
2011-01-10,11.25,28500,-2(-6.56 %),174500,5074120000.0,0,0,29100,29500,28400
2011-01-11,11.13,28200,-0.9(-3.09 %),156200,4412090000.0,0,0,29000,29000,27700
2011-01-12,11.29,28600,0.4(1.42 %),589200,17318010000.0,0,0,29000,30000,28100
2011-01-13,11.45,29000,-0.4(-1.36 %),300500,8773670000.0,0,0,29300,29500,29000
2011-01-14,11.53,29200,0(0.00 %),126800,3686230000.0,90000,2700000000,29400,29400,28600
2011-01-17,11.64,29500,0.4(1.37 %),167200,4968460000.0,0,0,29200,30300,29100
2011-01-18,11.41,28900,-0.8(-2.69 %),159300,4587580000.0,0,0,28800,29300,28500
2011-01-19,11.17,28300,-0.5(-1.74 %),218000,6198450000.0,0,0,29000,29500,28100
2011-01-20,11.01,27900,-0.5(-1.76 %),176000,4964910000.0,0,0,28200,28600,27900
2011-01-21,10.93,27700,-0.5(-1.77 %),170400,4758120000.0,0,0,28200,28500,27500
2011-01-24,10.54,26700,-1.2(-4.30 %),108400,2922360000.0,0,0,27800,27800,26600
2011-01-25,10.66,27000,0(0.00 %),96600,2604030000.0,0,0,27000,27300,26700
2011-01-26,10.78,27300,0.3(1.11 %),36400,996970000.0,12000,320400000,28200,28200,27000
2011-01-27,11.17,28300,0.9(3.28 %),44000,1238490000.0,0,0,28000,28400,27900
2011-01-28,10.82,27400,-0.7(-2.49 %),125300,3459170000.0,30000,870000000,27700,28000,27200
2011-02-08,10.66,27000,-0.6(-2.17 %),59100,1599360000.0,0,0,27800,27800,27000
2011-02-09,10.78,27300,0.2(0.74 %),322800,8782470000.0,0,0,27000,28500,27000
