Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-07-13,29.29,83700,10.9(14.97 %),100,8370000,2507220,181696918000,83700,83700,83700
2017-07-14,33.66,89600,12.5(14.93 %),4470,430014000,0,0,89600,89600,89600
2017-07-17,38.7,102900,14.4(14.97 %),134340,14763530000,0,0,102900,102900,100000
2017-07-18,37.26,106500,-3.4(-3.09 %),59890,6415800000,300,28050000,110000,110400,105000
2017-07-19,34.64,99000,-8.1(-7.56 %),37590,3829325000,150,13665000,106500,106500,99000
2017-07-20,32.19,92100,-9.9(-9.72 %),27920,2616592000,58,5028600,100000,100000,92100
2017-07-21,31.14,89000,-4.7(-5.02 %),38810,3507052000,0,0,93000,93000,89000
2017-07-24,30.96,88500,-1.9(-2.10 %),17320,1542890000,0,0,89000,90000,88500
2017-07-25,27.99,82300,-9.1(-10.21 %),60040,4876690000,0,0,86000,87200,82300
2017-07-26,31.31,85600,8.3(10.22 %),32800,2831760000,0,0,81000,85600,81000
2017-07-27,30.44,87000,0.7(0.81 %),18022,1578594000,0,0,86200,90000,86200
2017-07-28,29.92,85500,-2.1(-2.40 %),19000,1637900000,0,0,87600,87600,85500
2017-07-31,30.16,86200,0(0.00 %),54530,4791700000,0,0,90000,90000,86200
2017-08-01,30.37,86800,-1.1(-1.25 %),35900,3106890000,740,55352000,87000,88600,86300
2017-08-02,30.93,88400,1.9(2.20 %),18500,1626600000,0,0,85100,88500,85100
2017-08-03,31.45,89900,2(2.28 %),25090,2236083000,0,0,88000,90000,87600
2017-08-04,31.52,90100,1(1.12 %),48960,4413800000,0,0,90000,90500,89900
2017-08-07,31.7,90600,0.4(0.44 %),27600,2497760000,0,0,90200,90800,90200
2017-08-08,32.01,91500,1(1.10 %),53166,4924449200,62100,6210000000,90600,96000,90600
2017-08-09,33.1,94600,2(2.16 %),27910,2634790000,0,0,93000,95000,93000
2017-08-10,33.06,94500,0.1(0.11 %),30410,2880255000,0,0,95000,95500,94000
2017-08-11,32.08,91700,-3(-3.17 %),16900,1555760000,0,0,95000,95000,91600
2017-08-14,31.49,90000,-2.1(-2.28 %),9410,849361000,0,0,91600,91600,90000
2017-08-15,31.14,89000,-1.2(-1.33 %),15060,1349390000,0,0,90000,90000,89000
2017-08-16,31.59,90300,0.7(0.78 %),17600,1593790000,0,0,91000,91000,90300
2017-08-17,31.59,90300,-0.3(-0.33 %),25400,2296602000,12600,971460000,90600,90700,90000
2017-08-18,31.59,90300,-0.1(-0.11 %),8900,801720000,0,0,90000,90400,89800
2017-08-21,31.35,89600,-0.5(-0.55 %),21600,1938100000,0,0,90000,90100,89400
2017-08-22,31.52,90100,0.4(0.45 %),3200,287780000,0,0,89700,90300,89700
2017-08-23,31.49,90000,0.1(0.11 %),16810,1514400000,0,0,89900,91500,89900
2017-08-24,31.59,90300,0.2(0.22 %),17200,1552580000,0,0,90200,90500,90100
2017-08-25,31.91,91200,0.9(1.00 %),30240,2744685000,0,0,91500,91500,90500
2017-08-28,31.87,91100,0.3(0.33 %),27500,2503940000,0,0,92000,92000,90900
2017-08-29,31.66,90500,-0.6(-0.66 %),32020,2901346000,0,0,91000,91000,90200
2017-08-30,31.42,89800,-0.8(-0.88 %),18200,1637580000,80,6168000,90600,90600,89800
2017-08-31,31.49,90000,0(0.00 %),19910,1791820000,0,0,90100,90100,89900
2017-09-01,31.1,88900,-1.1(-1.22 %),6400,569900000,0,0,89500,89500,88700
2017-09-05,31.45,89900,0.9(1.01 %),4000,359440000,0,0,90000,90000,89800
2017-09-07,31.31,89500,0(0.00 %),3700,331110000,90,6885000,89500,89500,89300
2017-09-08,31.14,89000,-0.5(-0.56 %),9370,833990000,0,0,89200,89200,89000
