Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2014-12-02,9.47,20500,1.3(6.77 %),20060,411230000,0,0,20500,20500,20500
2014-12-03,10.12,21900,1.4(6.83 %),1014530,22214440000,0,0,21900,21900,21700
2014-12-04,10.07,21800,-0.1(-0.46 %),186980,4103170000,0,0,22800,22800,20900
2014-12-05,9.61,20800,-1(-4.59 %),70760,1491140000,0,0,20700,21700,20700
2014-12-08,8.96,19400,-1.4(-6.73 %),180620,3504540000,0,0,19400,20000,19400
2014-12-09,8.36,18100,-1.3(-6.70 %),2359250,42713220000,0,0,18100,18800,18100
2014-12-10,8.69,18800,0.7(3.87 %),68680,1225980000,0,0,17600,18800,17500
2014-12-11,8.32,18000,-0.8(-4.26 %),67040,1223150000,0,0,17800,19000,17800
2014-12-12,8.32,18000,0(0.00 %),42790,770774000,0,0,18100,18500,18000
2014-12-15,8.32,18000,0(0.00 %),30790,554020000,0,0,17900,18100,17900
2014-12-16,8.09,17500,-0.5(-2.78 %),204500,3647300000,0,0,17900,18000,17500
2014-12-17,8.64,18700,1.2(6.86 %),111000,1883350000,0,0,17600,18700,16300
2014-12-18,8.46,18300,-0.4(-2.14 %),9070,160470000,0,0,18600,18600,17400
2014-12-19,8.09,17500,-0.8(-4.37 %),510,8930000,0,0,18300,18300,17500
2014-12-22,8.09,17500,0(0.00 %),37610,659020000,0,0,17500,18000,17000
2014-12-23,8.09,17500,0(0.00 %),53260,930850000,0,0,17000,17500,17000
2014-12-24,8.04,17400,-0.1(-0.57 %),36900,644060000,0,0,17500,17500,17400
2014-12-25,8.09,17500,0.1(0.57 %),57880,1010410000,0,0,17400,17500,17400
2014-12-26,8.04,17400,-0.1(-0.57 %),32200,560071000,0,0,17400,17400,17300
2014-12-29,7.72,16700,-0.7(-4.02 %),109540,1858795000,120500,2096700000,17200,17200,16500
2014-12-30,7.72,16700,0(0.00 %),250,4041000,0,0,16000,17000,16000
2014-12-31,8.13,17600,0.9(5.39 %),90880,1575009000,0,0,17200,17600,16200
2015-01-05,8.13,17600,0(0.00 %),2720,47872000,0,0,17600,17600,17600
2015-01-06,8.09,17500,-0.1(-0.57 %),12710,213525000,0,0,17100,17500,16600
2015-01-07,7.76,16800,-0.7(-4.00 %),26160,442522000,0,0,17500,17500,16700
2015-01-08,7.62,16500,-0.3(-1.79 %),14200,235520000,0,0,16800,16800,16500
2015-01-09,7.81,16900,0.4(2.42 %),3020,50345000,0,0,17600,17600,16600
2015-01-12,7.76,16800,-0.1(-0.59 %),21100,355285000,0,0,16800,17000,16800
2015-01-13,7.86,17000,0.2(1.19 %),6820,114518000,0,0,16300,17000,16300
2015-01-14,7.58,16400,-0.6(-3.53 %),16820,277600000,0,0,17000,17000,16300
2015-01-15,7.86,17000,0.6(3.66 %),29760,504769000,0,0,17000,17000,16500
2015-01-16,7.76,16800,-0.2(-1.18 %),8080,135448000,0,0,16500,17000,16500
2015-01-19,7.76,16800,0(0.00 %),34140,572122000,0,0,16700,16900,16700
2015-01-20,8.18,17700,0.9(5.36 %),160,2832000,0,0,17700,17700,17700
2015-01-21,8.04,17400,-0.3(-1.69 %),2450,41088000,0,0,17700,17700,16700
2015-01-22,7.72,16700,-0.7(-4.02 %),13340,222804000,0,0,16800,17000,16700
2015-01-23,7.86,17000,0.3(1.80 %),19710,332028000,0,0,16800,17000,16800
2015-01-26,7.81,16900,-0.1(-0.59 %),2730,45899000,0,0,17000,17000,16800
2015-01-27,7.72,16700,-0.2(-1.18 %),23240,387441000,0,0,17500,17500,16600
2015-01-28,7.86,17000,0.3(1.80 %),39540,659477000,0,0,16600,17000,16600
2015-01-29,7.86,17000,0(0.00 %),9120,151175000,0,0,16700,17000,16500
2015-01-30,7.81,16900,-0.1(-0.59 %),69840,1159366000,0,0,16600,16900,16600
2015-02-02,7.67,16600,-0.3(-1.78 %),12330,206000000,0,0,16700,16900,16600
2015-02-03,7.67,16600,0(0.00 %),20420,339000000,0,0,16500,16900,16500
2015-02-04,7.72,16700,0.1(0.60 %),9950,165000000,0,0,16600,16700,16500
2015-02-05,7.72,16700,0(0.00 %),1000,17000000,0,0,16700,16700,16700
2015-02-06,7.76,16800,0.1(0.60 %),2000,34000000,0,0,16700,16800,16700
2015-02-09,7.67,16600,-0.2(-1.19 %),15920,264000000,0,0,16500,16600,16500
2015-02-10,7.81,16900,0.3(1.81 %),28660,476000000,0,0,16600,16900,16600
