Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-01-02,3.38,115000,0(0.00 %),64360,7401000000,0,0,115000,115000,115000
2007-01-03,3.53,120000,5(4.35 %),37390,0,0,0,120000,120000,120000
2007-01-04,3.7,126000,6(5.00 %),8640,1089000000,0,0,126000,126000,126000
2007-01-05,3.88,132000,6(4.76 %),14300,0,0,0,132000,132000,132000
2007-01-08,4.05,138000,6(4.55 %),39820,1118000000,0,0,138000,138000,138000
2007-01-09,4.23,144000,6(4.35 %),29980,4317000000,0,0,144000,144000,144000
2007-01-10,4.44,151000,7(4.86 %),84400,12744000000,0,0,151000,151000,151000
2007-01-11,4.64,158000,7(4.64 %),27130,4287000000,0,0,158000,158000,158000
2007-01-12,4.85,165000,7(4.43 %),9240,1525000000,0,0,165000,165000,165000
2007-01-15,4.7,160000,-5(-3.03 %),37480,6009000000,0,0,165000,165000,157000
2007-01-16,4.64,158000,-2(-1.25 %),51300,8160000000,0,0,160000,160000,158000
2007-01-17,4.44,151000,-7(-4.43 %),80570,12410000000,0,0,158000,158000,151000
2007-01-18,4.64,158000,7(4.64 %),32210,4922000000,0,0,151000,158000,151000
2007-01-19,4.85,165000,7(4.43 %),51630,8519000000,0,0,165000,165000,165000
2007-01-22,4.61,157000,-8(-4.85 %),35520,5700000000,0,0,165000,165000,157000
2007-01-23,4.7,160000,3(1.91 %),35930,5663000000,0,0,155000,160000,155000
2007-01-24,4.67,159000,-1(-0.62 %),21890,3606000000,0,0,167000,167000,159000
2007-01-25,4.67,159000,0(0.00 %),14570,2317000000,0,0,159000,159000,159000
2007-01-26,4.7,160000,1(0.63 %),11680,1842000000,0,0,147900,160000,147900
2007-01-29,4.91,167000,7(4.38 %),40800,6778000000,0,0,167000,167000,165000
2007-01-30,5.14,175000,8(4.79 %),14690,2571000000,0,0,175000,175000,175000
2007-01-31,5.38,183000,8(4.57 %),31200,3120000000,0,0,175000,183000,175000
2007-02-01,5.38,183000,0(0.00 %),44280,4428000000,0,0,192000,192000,183000
2007-02-02,5.11,174000,-9(-4.92 %),34710,3471000000,0,0,183000,183000,174000
2007-02-05,4.99,170000,-4(-2.30 %),34540,5938000000,0,0,170000,174000,170000
2007-02-06,4.99,170000,0(0.00 %),22960,3916000000,0,0,170000,172000,170000
2007-02-07,5.23,178000,8(4.71 %),22330,3963000000,0,0,178000,178000,176000
2007-02-08,4.99,170000,-8(-4.49 %),23870,4327000000,0,0,170000,186000,170000
2007-02-09,4.99,170000,0(0.00 %),35230,5845000000,0,0,170000,170000,162000
2007-02-12,5.23,178000,8(4.71 %),18460,3286000000,0,0,178000,178000,178000
2007-02-13,5.46,186000,8(4.49 %),26880,5000000000,0,0,186000,186000,186000
2007-02-14,5.73,195000,9(4.84 %),32940,6423000000,0,0,195000,195000,195000
2007-02-15,5.99,204000,9(4.62 %),35030,7146000000,0,0,204000,204000,204000
2007-02-26,6.29,213000,10(4.93 %),7910,1669000000,0,0,213000,213000,210000
2007-02-27,6.58,223000,10(4.69 %),7260,1610000000,0,0,223000,223000,221000
2007-02-28,6.91,234000,11(4.93 %),28120,6580000000,0,0,234000,234000,234000
2007-03-01,6.67,226000,-8(-3.42 %),28130,6821000000,0,0,226000,245000,226000
2007-03-02,6.79,230000,4(1.77 %),18840,4299000000,0,0,226000,230000,226000
2007-03-05,7.12,241000,11(4.78 %),31750,7652000000,0,0,241000,241000,241000
2007-03-06,7.12,241000,0(0.00 %),13730,3309000000,0,0,241000,241000,241000
2007-03-07,6.76,229000,-12(-4.98 %),1930,449000000,0,0,241000,241000,229000
2007-03-08,6.44,218000,-11(-4.80 %),7990,1744000000,0,0,220000,220000,218000
2007-03-09,6.44,218000,0(0.00 %),18240,3976000000,0,0,218000,218000,218000
2007-03-12,6.73,228000,10(4.59 %),17190,3919000000,0,0,228000,228000,228000
2007-03-13,6.41,217000,-11(-4.82 %),8030,1773000000,0,0,217000,228000,217000
2007-03-14,6.11,207000,-10(-4.61 %),9410,1948000000,0,0,207000,207000,207000
2007-03-15,5.82,197000,-10(-4.83 %),10410,2063000000,0,0,199000,199000,197000
2007-03-16,6.08,206000,9(4.57 %),13660,2693000000,0,0,188000,206000,188000
2007-03-19,5.82,197000,-9(-4.37 %),13290,2710000000,0,0,215000,215000,197000
2007-03-20,5.82,197000,0(0.00 %),17740,3574000000,0,0,200000,204000,197000
2007-03-21,5.76,195000,-2(-1.02 %),12770,2468000000,0,0,195000,195000,190000
2007-03-22,5.76,195000,0(0.00 %),16850,3268000000,0,0,191000,195000,191000
2007-03-23,5.76,195000,0(0.00 %),10440,2036000000,0,0,195000,195000,195000
2007-03-26,5.82,197000,2(1.03 %),28370,5575000000,0,0,195000,197000,195000
2007-03-27,5.55,188000,-9(-4.57 %),8120,1575000000,0,0,195000,195000,188000
2007-03-28,5.31,180000,-8(-4.26 %),10560,1894000000,0,0,179000,180000,179000
2007-03-29,5.58,189000,9(5.00 %),12450,2353000000,0,0,189000,189000,189000
2007-03-30,5.58,189000,0(0.00 %),17100,3344000000,0,0,197000,197000,189000
2007-04-02,5.31,180000,-9(-4.76 %),13540,2521000000,0,0,189000,189000,180000
2007-04-03,5.31,180000,0(0.00 %),6360,1128000000,0,0,175000,180000,175000
2007-04-04,5.17,175000,-5(-2.78 %),15740,2777000000,0,0,179000,179000,175000
2007-04-05,5.23,177000,2(1.14 %),8330,1490000000,0,0,179000,180000,177000
2007-04-06,5.02,170000,-7(-3.95 %),13840,2342000000,0,0,169000,170000,169000
2007-04-09,4.99,169000,-1(-0.59 %),4080,699000000,0,0,174000,174000,169000
2007-04-10,5.23,177000,8(4.73 %),22280,3925000000,0,0,175000,177000,175000
2007-04-11,5.46,185000,8(4.52 %),58180,10763000000,0,0,185000,185000,185000
2007-04-12,5.37,182000,-3(-1.62 %),88270,16997000000,0,0,194000,194000,182000
2007-04-13,5.43,184000,2(1.10 %),11840,2161000000,0,0,182000,184000,182000
2007-04-16,5.17,175000,-9(-4.89 %),9220,1614000000,0,0,175000,175000,175000
2007-04-17,5.02,170000,-5(-2.86 %),17990,3028000000,0,0,167000,175000,167000
2007-04-18,5.26,178000,8(4.71 %),5520,976000000,0,0,175000,178000,175000
2007-04-19,5.02,170000,-8(-4.49 %),22980,4007000000,0,0,183000,183000,170000
2007-04-20,5.11,173000,3(1.76 %),8460,1452000000,0,0,170000,173000,170000
2007-04-23,5.02,170000,-3(-1.73 %),12630,2167000000,0,0,173000,173000,170000
2007-04-24,4.9,166000,-4(-2.35 %),17300,2865000000,0,0,165000,166000,165000
2007-04-25,5.08,172000,6(3.61 %),15390,2643000000,0,0,170000,173000,170000
2007-05-02,5.08,172000,0(0.00 %),1420,247000000,0,0,177000,177000,172000
2007-05-03,5.02,170000,-2(-1.16 %),2380,405000000,0,0,170000,170000,170000
2007-05-04,4.78,162000,-8(-4.71 %),30680,4974000000,0,0,170000,170000,162000
2007-05-07,5.02,170000,8(4.94 %),12480,2104000000,0,0,162000,170000,162000
