Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2013-01-22,4.82,13900,0(0.00 %),100,1390000,0,0,13900,13900,13900
2013-01-23,4.79,13800,-0.1(-0.72 %),100,1380000,0,0,13800,13800,13800
2013-01-24,4.79,13800,0(0.00 %),100,1380000,0,0,13800,13800,13800
2013-01-25,4.82,13900,0.1(0.72 %),100,1390000,0,0,13900,13900,13900
2013-01-28,4.82,13900,0(0.00 %),0,0,0,0,13900,13900,13900
2013-01-29,4.82,13900,0(0.00 %),100,1390000,0,0,13900,13900,13900
2013-01-30,4.82,13900,0(0.00 %),600,8290000,0,0,13800,13900,13800
2013-01-31,4.75,13700,-0.1(-0.72 %),3700,50780000,0,0,13800,13800,12950
2013-02-01,4.75,13700,0(0.00 %),900,12130000,0,0,12750,13700,12750
2013-02-04,4.75,13700,0(0.00 %),0,0,0,0,13700,13700,13700
2013-02-05,4.75,13700,0(0.00 %),0,0,0,0,13700,13700,13700
2013-02-06,4.75,13700,0(0.00 %),0,0,0,0,13700,13700,13700
2013-02-07,4.75,13700,0(0.00 %),0,0,0,0,13700,13700,13700
2013-02-08,4.75,13700,0(0.00 %),100,1370000,0,0,13700,13700,13700
2013-02-18,4.68,13500,-0.2(-1.46 %),200,2700000,0,0,13500,13500,13500
2013-02-19,4.34,12550,-1(-7.41 %),100,1250000,0,0,12550,12550,12550
2013-02-20,3.92,11600,-1.2(-9.60 %),600,6800000,0,0,11600,11600,11600
2013-02-21,3.54,10500,-1.1(-9.73 %),100,1020000,0,0,10500,10500,10500
2013-02-22,3.54,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2013-02-25,3.54,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2013-02-26,3.54,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2013-02-27,3.54,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2013-02-28,3.54,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2013-03-01,3.54,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2013-03-04,3.54,10200,0(0.00 %),0,0,0,0,10200,10200,10200
2013-03-05,3.19,9500,-1(-9.80 %),5500,50600000,0,0,9500,9500,9500
2013-03-06,2.88,8560,-0.9(-9.78 %),5000,41500000,0,0,8560,8560,8560
2013-03-07,2.6,7720,-0.8(-9.64 %),4500,33750000,0,0,7720,7720,7720
2013-03-08,2.36,6970,-0.7(-9.33 %),5500,37400000,0,0,6970,6970,6970
2013-03-11,2.15,6320,-0.6(-8.82 %),7400,46630000,0,0,6320,6500,6320
2013-03-12,1.94,5770,-0.6(-9.68 %),8300,47510000,0,0,5800,5800,5770
2013-03-13,1.87,5400,-0.2(-3.57 %),3600,19920000,100,510000,5210,5700,5210
2013-03-14,2.05,5780,0.5(9.26 %),4000,21800000,0,0,5020,5780,5020
2013-03-15,2.22,6310,0.5(8.47 %),13500,84000000,50,270000,6310,6310,6000
2013-03-18,2.39,6850,0.5(7.81 %),4700,32490000,0,0,6850,6850,6600
2013-03-19,2.53,7300,0.4(5.80 %),1400,10280000,0,0,7380,7380,7200
2013-03-20,2.6,7500,0.2(2.74 %),8800,67690000,700,4740000,7800,7800,7500
2013-03-21,2.36,6970,-0.7(-9.33 %),3000,20400000,50,340000,6970,6970,6970
2013-03-22,2.53,7280,0.5(7.35 %),4600,30770000,200,1240000,6600,7280,6600
2013-03-25,2.71,7800,0.5(6.85 %),7700,56440000,0,0,6800,7800,6800
2013-03-26,2.67,7700,0.2(2.67 %),4300,31320000,50,350000,7800,7800,7250
2013-03-27,2.43,7160,-0.7(-9.09 %),4200,29400000,50,350000,7160,7160,7160
2013-03-28,2.67,7490,0.7(10.00 %),1800,11620000,0,0,6510,7490,6510
2013-03-29,2.67,7700,0(0.00 %),0,0,0,0,7700,7700,7700
2013-04-01,2.71,7800,0.1(1.30 %),6000,45640000,0,0,7700,8240,7160
2013-04-02,2.57,7400,-0.4(-5.13 %),1600,11390000,0,0,7250,7400,7250
2013-04-03,2.32,6880,-0.7(-9.46 %),500,3420000,0,0,7100,7100,6880
2013-04-04,2.36,6800,0.1(1.49 %),300,2050000,0,0,6900,6900,6800
2013-04-05,2.43,7000,0.2(2.94 %),100,700000,0,0,7000,7000,7000
2013-04-08,2.43,7000,0(0.00 %),100,700000,0,0,7000,7000,7000
2013-04-09,2.19,6510,-0.7(-10.00 %),2000,12600000,0,0,6510,6510,6510
2013-04-10,2.32,6700,0.4(6.35 %),5600,32420000,0,0,6740,6740,5860
2013-04-11,2.43,7000,0.3(4.48 %),100,700000,50,305000,7000,7000,7000
2013-04-12,2.5,7200,0.2(2.86 %),100,720000,0,0,7200,7200,7200
2013-04-15,2.5,7200,0(0.00 %),0,0,0,0,7200,7200,7200
2013-04-16,2.6,7500,0.3(4.17 %),1600,11820000,0,0,7200,7500,7200
2013-04-17,2.6,7500,0(0.00 %),0,0,0,0,7500,7500,7500
2013-04-18,2.6,7500,0(0.00 %),0,0,0,0,7500,7500,7500
2013-04-22,2.36,6970,-0.7(-9.33 %),100,680000,0,0,6970,6970,6970
2013-04-23,2.15,6320,-0.6(-8.82 %),100,620000,0,0,6320,6320,6320
2013-04-24,2.29,6600,0.4(6.45 %),3200,18340000,0,0,6630,6630,5770
2013-04-25,2.29,6600,0(0.00 %),0,0,0,0,6600,6600,6600
2013-04-26,2.29,6600,0(0.00 %),0,0,0,0,6600,6600,6600
2013-05-02,2.46,7060,0.5(7.58 %),3200,20090000,0,0,7060,7060,6140
2013-05-03,2.57,7400,0.3(4.23 %),2900,21460000,0,0,7400,7400,7400
2013-05-06,2.57,7400,0(0.00 %),100,740000,0,0,7400,7400,7400
2013-05-07,2.81,7920,0.7(9.46 %),100,810000,0,0,7920,7920,7920
2013-05-08,2.95,8500,0.4(4.94 %),100,850000,0,0,8500,8500,8500
2013-05-09,2.95,8500,0(0.00 %),0,0,0,0,8500,8500,8500
2013-05-10,2.95,8500,0(0.00 %),0,0,0,0,8500,8500,8500
2013-05-13,2.95,8500,0(0.00 %),0,0,0,0,8500,8500,8500
2013-05-14,2.95,8500,0(0.00 %),0,0,0,0,8500,8500,8500
2013-05-15,2.91,8400,-0.1(-1.18 %),3200,24710000,0,0,7900,8400,7900
2013-05-16,2.64,7810,-0.8(-9.52 %),100,760000,0,0,7810,7810,7810
2013-05-17,2.64,7600,0(0.00 %),0,0,0,0,7600,7600,7600
2013-05-20,2.39,7070,-0.7(-9.21 %),1000,6900000,100,690000,7070,7070,7070
2013-05-21,2.39,6900,0(0.00 %),0,0,0,0,6900,6900,6900
2013-05-22,2.19,6420,-0.6(-8.70 %),1000,6300000,0,0,6420,6420,6420
2013-05-23,1.98,5860,-0.6(-9.52 %),1700,9790000,0,0,5860,5860,5860
2013-05-24,1.98,5700,0(0.00 %),0,0,0,0,5700,5700,5700
2013-05-27,1.98,5700,0(0.00 %),1000,5700000,100,520000,5700,5700,5700
2013-05-28,1.98,5700,0(0.00 %),0,0,0,0,5700,5700,5700
2013-05-29,1.98,5700,0(0.00 %),0,0,0,0,5700,5700,5700
2013-05-30,1.98,5700,0(0.00 %),0,0,0,0,5700,5700,5700
2013-05-31,1.98,5700,0(0.00 %),0,0,0,0,5700,5700,5700
2013-06-03,1.98,5700,0(0.00 %),0,0,0,0,5700,5700,5700
2013-06-04,1.98,5700,0(0.00 %),0,0,0,0,5700,5700,5700
2013-06-05,1.8,5300,-0.5(-8.77 %),1000,5200000,0,0,5300,5300,5300
2013-06-06,1.8,5200,0(0.00 %),0,0,0,0,5200,5200,5200
2013-06-07,1.8,5200,0(0.00 %),0,0,0,0,5200,5200,5200
2013-06-10,1.8,5200,0(0.00 %),0,0,0,0,5200,5200,5200
2013-06-11,1.8,5200,0(0.00 %),0,0,0,0,5200,5200,5200
2013-06-12,1.8,5200,0(0.00 %),0,0,0,0,5200,5200,5200
2013-06-13,1.73,5000,-0.2(-3.85 %),100,500000,0,0,5000,5000,5000
2013-06-14,1.73,5000,0(0.00 %),0,0,0,0,5000,5000,5000
2013-06-17,1.73,5000,0(0.00 %),700,3500000,0,0,5000,5000,5000
2013-06-18,1.73,5000,0(0.00 %),0,0,0,0,5000,5000,5000
2013-06-19,1.73,5000,0(0.00 %),0,0,0,0,5000,5000,5000
2013-06-20,1.73,5000,0(0.00 %),0,0,0,0,5000,5000,5000
2013-06-21,1.73,5000,0(0.00 %),200,1000000,0,0,5000,5000,5000
2013-06-24,1.56,4650,-0.5(-10.00 %),100,450000,0,0,4650,4650,4650
2013-06-25,1.56,4500,0(0.00 %),0,0,0,0,4500,4500,4500
2013-06-26,1.56,4500,0(0.00 %),0,0,0,0,4500,4500,4500
2013-06-27,1.56,4500,0(0.00 %),0,0,0,0,4500,4500,4500
2013-06-28,1.56,4500,0(0.00 %),0,0,0,0,4500,4500,4500
