Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-31,6.07,28900,1.3(4.71 %),95100,2748390000,0,0,28900,28900,28900
2010-01-04,6.37,30300,1.4(4.84 %),103200,3126960000,0,0,30300,30300,30300
2010-01-05,6.39,30400,0.1(0.33 %),121900,3724914000,30000,900000000,31800,31800,30100
2010-01-06,6.39,30400,0(0.00 %),129990,3884461000,0,0,29500,31600,29000
2010-01-07,6.16,29300,-1.1(-3.62 %),79450,2345261000,0,0,29500,30000,29300
2010-01-08,6.22,29600,0.3(1.02 %),79340,2335761000,0,0,29300,29900,29200
2010-01-11,6.51,31000,1.4(4.73 %),102090,3164570000,150000,4650000000,31000,31000,30900
2010-01-12,6.51,31000,0(0.00 %),77560,2476803000,0,0,32200,32500,31000
2010-01-13,6.2,29500,-1.5(-4.84 %),46630,1427532000,0,0,31000,31100,29500
2010-01-14,6.2,29500,0(0.00 %),57240,1680650000,0,0,29500,30500,28200
2010-01-15,5.9,28100,-1.4(-4.75 %),50400,1436704000,0,0,28100,29500,28100
2010-01-18,5.67,27000,-1.1(-3.91 %),30320,826366000,0,0,28000,28200,26800
2010-01-19,5.84,27800,0.8(2.96 %),39010,1083770000,0,0,26000,28300,26000
2010-01-20,5.59,26600,-1.2(-4.32 %),15530,431252000,0,0,28900,28900,26600
2010-01-21,5.57,26500,-0.1(-0.38 %),36250,991476000,0,0,26600,27500,25300
2010-01-22,5.4,25700,-0.8(-3.02 %),25580,672108000,0,0,27200,27200,25300
2010-01-25,5.42,25800,0.1(0.39 %),35510,917208000,0,0,26000,26000,24500
2010-01-26,5.67,27000,1.2(4.65 %),27590,736794000,0,0,27000,27000,26500
2010-01-27,5.4,25700,-1.3(-4.81 %),33170,898865000,0,0,27500,27500,25700
2010-01-28,5.42,25800,0.1(0.39 %),35200,906813000,0,0,26500,26500,24700
2010-01-29,5.55,26400,0.6(2.33 %),30260,800585000,0,0,26900,26900,26000
2010-02-01,5.63,26800,0.4(1.52 %),30870,825162000,0,0,26400,26900,26400
2010-02-02,5.65,26900,0.1(0.37 %),33460,897851000,0,0,27900,27900,26100
