Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2019-06-07,4.26,17200,0(0.00 %),0,0,0,0,17200,17200,17200
2019-06-10,4.26,17200,0(0.00 %),0,0,0,0,17200,17200,17200
2019-06-11,4.26,17200,0(0.00 %),0,0,0,0,17200,17200,17200
2019-06-12,4.26,17200,0(0.00 %),0,0,0,0,17200,17200,17200
2019-06-13,5.95,18400,6.8(39.53 %),100,2400000,0,0,18400,18400,18400
2019-06-14,6.84,25700,3.6(15.00 %),100,2760000,0,0,25700,25700,25700
2019-06-17,7.86,29550,4.1(14.86 %),100,3170000,0,0,29550,29550,29550
2019-06-18,9.02,33900,4.7(14.83 %),100,3640000,0,0,33900,33900,33900
2019-06-19,10.36,38950,5.4(14.84 %),200,8360000,0,0,38950,38950,38950
2019-06-20,11.9,44750,6.2(14.83 %),110,5280000,0,0,44750,44750,44750
2019-06-21,13.68,51350,7.2(15.00 %),25377,1400810400,0,0,51350,51350,51350
2019-06-24,15.71,59100,8.2(14.86 %),5200,329680000,0,0,59100,59100,59100
2019-06-25,18.07,67800,9.5(14.98 %),78444,5718377600,0,0,67800,67800,67800
2019-06-26,17.84,72000,-0.9(-1.23 %),26330,1915835700,0,0,78000,78000,70000
2019-06-27,17.79,71800,-0.9(-1.24 %),247500,17818280000,0,0,72000,72500,71500
2019-06-28,16.51,66800,-5.4(-7.50 %),330300,22451420000,0,0,68500,68500,66800
2019-07-01,15.86,64000,-4(-5.88 %),23436,1511957600,0,0,66000,66000,62000
2019-07-02,17.1,68500,4.5(6.98 %),61599,4286126900,0,0,68000,68500,67000
2019-07-03,17.6,71000,1.4(2.01 %),98859,6982494000,0,0,69700,72000,69600
2019-07-04,17.5,70600,0(0.00 %),110219,8209705000,1186550,71311655000,71000,76000,70600
2019-07-05,20.67,75500,8.9(11.95 %),44964,3699546100,57400,3639160000,75500,75500,75500
2019-07-08,20.4,82300,0(0.00 %),65908,5392597200,7500,525000000,83000,84500,77600
2019-07-09,21.64,87300,5.5(6.72 %),95410,8180360000,3000,232000000,81200,87400,76500
2019-07-10,23.49,93400,9.1(10.62 %),303850,27762300000,40000,2916000000,85500,93400,81200
2019-07-11,22.3,90000,-1.4(-1.53 %),218461,19834413600,254000,24130000000,92000,98900,88200
2019-07-12,22.26,89800,-1(-1.10 %),77760,7041955000,0,0,89000,92900,88500
2019-07-15,22.3,90000,-0.6(-0.66 %),33795,3035433000,78000,7066800000,90000,91000,88000
2019-07-16,21.81,88000,-1.8(-2.00 %),66600,5896385000,0,0,87200,89000,87200
2019-07-17,20.82,84000,-4.5(-5.08 %),104502,8938989000,12000,1062000000,88500,88500,82300
2019-07-18,22.28,89900,4.4(5.15 %),62700,5488150000,0,0,85500,89900,82000
2019-07-19,22.8,92000,4.5(5.14 %),104370,9668801300,0,0,90500,96000,90500
2019-07-22,22.92,92500,-0.1(-0.11 %),54055,4990793000,20000,1576000000,92000,93300,85600
2019-07-23,23.17,93500,1.2(1.30 %),119577,11262259800,51000,4785000000,92500,95800,92300
2019-07-24,22.8,92000,-2.2(-2.34 %),32103,2987142000,167555,13674725000,94000,95000,87000
