Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-26,2.69,36500,1.5(4.29 %),24990,895485,0,0,35000,36500,35000
2006-12-27,2.82,38300,1.8(4.93 %),4500,172200,0,0,38000,38300,38000
2006-12-28,2.96,40200,1.9(4.96 %),25570,1027914,10000,402000,40200,40200,40200
2006-12-29,3.11,42200,2(4.98 %),63700,2688140,0,0,42200,42200,42200
2007-01-02,3.26,44300,0(0.00 %),70600,3128000000,0,0,44300,44300,44300
2007-01-03,3.42,46500,2.2(4.97 %),113900,0,0,0,46500,46500,46500
2007-01-04,3.59,48800,2.3(4.95 %),93240,4550000000,0,0,48800,48800,48800
2007-01-05,3.61,49000,0.2(0.41 %),65890,0,0,0,51000,51000,49000
2007-01-08,3.57,48500,-0.5(-1.02 %),20550,206000000,0,0,49000,49000,48500
2007-01-09,3.54,48000,-0.5(-1.03 %),52470,2517000000,0,0,47000,48000,47000
2007-01-10,3.54,48000,0(0.00 %),121490,5899000000,0,0,49500,49500,48000
2007-01-11,3.54,48000,0(0.00 %),63220,3035000000,0,0,48000,48000,48000
2007-01-12,3.39,46000,-2(-4.17 %),54420,2523000000,0,0,47000,48000,45600
2007-01-15,3.46,47000,1(2.17 %),43150,2036000000,0,0,48000,48000,46500
2007-01-16,3.53,47900,0.9(1.91 %),59540,2850000000,0,0,47000,48000,47000
2007-01-17,3.37,45700,-2.2(-4.59 %),51230,2345000000,0,0,46000,46000,45700
2007-01-18,3.31,45000,-0.7(-1.53 %),21150,953000000,0,0,45700,45700,45000
2007-01-19,3.17,43000,-2(-4.44 %),42730,1895000000,0,0,45700,46000,42900
2007-01-22,3.31,44900,1.9(4.42 %),49110,2135000000,0,0,41500,44900,41500
2007-01-23,3.47,47100,2.2(4.90 %),50370,2337000000,0,0,46000,47100,46000
2007-01-24,3.64,49400,2.3(4.88 %),144920,7159000000,0,0,49400,49400,49400
2007-01-25,3.65,49500,0.1(0.20 %),249000,12629000000,0,0,51500,51500,49500
2007-01-26,3.47,47100,-2.4(-4.85 %),26020,1226000000,0,0,49500,49500,47100
2007-01-29,3.64,49400,2.3(4.88 %),102020,5034000000,0,0,49400,49400,49000
2007-01-30,3.79,51500,2.1(4.25 %),85090,4382000000,0,0,51500,51500,51500
2007-01-31,3.98,54000,2.5(4.85 %),127910,12791000000,0,0,51500,54000,51500
2007-02-01,4.16,56500,2.5(4.63 %),99100,9910000000,0,0,56500,56500,56500
2007-02-02,4.27,58000,1.5(2.65 %),45260,4526000000,0,0,56500,58000,56500
2007-02-05,4.09,55500,-2.5(-4.31 %),101890,5678000000,0,0,55500,56000,55500
2007-02-06,3.94,53500,-2(-3.60 %),113470,6027000000,0,0,53500,53500,53000
2007-02-07,4.12,56000,2.5(4.67 %),95610,5249000000,0,0,56000,56000,54000
2007-02-08,3.94,53500,-2.5(-4.46 %),75720,4176000000,0,0,53500,56000,53500
2007-02-09,3.94,53500,0(0.00 %),45080,2386000000,0,0,53500,53500,51000
2007-02-12,3.9,53000,-0.5(-0.93 %),27000,1433000000,0,0,53500,53500,53000
2007-02-13,4.01,54500,1.5(2.83 %),47290,2567000000,0,0,54500,54500,54000
2007-02-14,4.12,56000,1.5(2.75 %),54210,3043000000,0,0,56000,56500,56000
2007-02-15,4.09,55500,-0.5(-0.89 %),26500,1480000000,0,0,55500,56000,55500
2007-02-26,4.27,58000,2.5(4.50 %),80610,4675000000,0,0,58000,58000,58000
2007-02-27,4.46,60500,2.5(4.31 %),57430,3475000000,0,0,60500,60500,60500
2007-02-28,4.68,63500,3(4.96 %),99610,6325000000,0,0,63500,63500,63500
2007-03-01,4.9,66500,3(4.72 %),115280,7666000000,0,0,66500,66500,66500
2007-03-02,5.12,69500,3(4.51 %),120650,8385000000,0,0,69500,69500,69500
2007-03-05,5.34,72500,3(4.32 %),21640,1568000000,0,0,72500,72500,72000
2007-03-06,5.6,76000,3.5(4.83 %),138190,10502000000,0,0,76000,76000,76000
2007-03-07,5.34,72500,-3.5(-4.61 %),135220,10289000000,0,0,79000,79000,72500
2007-03-08,5.27,71500,-1(-1.38 %),113870,8008000000,0,0,69500,71500,69500
2007-03-09,5.41,73500,2(2.80 %),153260,11295000000,0,0,73000,74500,73000
2007-03-12,5.34,72500,-1(-1.36 %),82420,5953000000,0,0,72000,72500,72000
2007-03-13,5.16,70000,-2.5(-3.45 %),57960,4060000000,0,0,70000,70500,69500
