Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-07-07,1.61,105000,5(5.00 %),161010,16495420,10000,950000,101000,105000,101000
2006-07-10,1.69,110000,5(4.76 %),24380,2681800,0,0,110000,110000,110000
2006-07-11,1.77,115000,5(4.55 %),11700,1345500,0,0,115000,115000,115000
2006-07-12,1.84,120000,5(4.35 %),26180,3141600,0,0,120000,120000,120000
2006-07-13,1.94,126000,6(5.00 %),13960,1758960,0,0,126000,126000,126000
2006-07-14,1.94,126000,0(0.00 %),103080,13111320,0,0,132000,132000,126000
2006-07-17,1.95,127000,1(0.79 %),102730,13227060,0,0,132000,132000,126000
2006-07-18,1.9,124000,-3(-2.36 %),36450,4589880,0,0,127000,127000,124000
2006-07-19,1.83,119000,-5(-4.03 %),87770,10419110,0,0,118000,119000,118000
2006-07-20,1.9,124000,5(4.20 %),50890,6259940,0,0,120000,124000,120000
2006-07-21,1.89,123000,-1(-0.81 %),39150,4858040,0,0,125000,125000,123000
2006-07-24,1.87,122000,-1(-0.81 %),36670,4497670,0,0,123000,123000,122000
2006-07-25,1.8,117000,-5(-4.10 %),39630,4657930,10000,1180000,118000,118000,117000
2006-07-26,1.77,115000,-2(-1.71 %),73210,8431580,0,0,115000,115000,115000
2006-07-27,1.83,119000,4(3.48 %),40540,4832550,0,0,118000,120000,118000
2006-07-28,1.81,118000,-1(-0.84 %),23270,2760890,0,0,121000,121000,118000
2006-07-31,1.77,115000,-3(-2.54 %),33530,3863530,0,0,115000,116000,115000
2006-08-01,1.69,110000,-5(-4.35 %),53820,5938850,0,0,115000,116000,110000
2006-08-02,1.75,114000,4(3.64 %),53900,5987800,0,0,110000,114000,110000
2006-08-03,1.83,119000,5(4.39 %),56770,6730710,0,0,117000,119000,117000
2006-08-04,1.86,121000,2(1.68 %),56810,6998640,0,0,123000,124000,121000
2006-08-07,1.81,118000,-3(-2.48 %),58840,6943120,0,0,118000,118000,118000
2006-08-08,1.83,119000,1(0.85 %),48260,5742940,0,0,119000,119000,119000
2006-08-09,1.83,119000,0(0.00 %),42050,5017500,0,0,120000,120000,119000
2006-08-10,1.83,119000,0(0.00 %),4900,580700,0,0,118000,119000,118000
2006-08-11,1.87,122000,3(2.52 %),63830,7783140,0,0,121000,122000,121000
2006-08-14,1.97,128000,6(4.92 %),60710,7770880,0,0,128000,128000,128000
2006-08-15,1.95,127000,-1(-0.78 %),48460,6151580,0,0,128000,128000,127000
