Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2014-07-09,6.46,37200,2.4(6.90 %),100,3720000,513963,16652401000,37200,37200,37200
2014-07-10,6.92,39800,2.6(6.99 %),2640,105072000,0,0,39800,39800,39800
2014-07-11,7.39,42500,2.7(6.78 %),21660,920550000,0,0,42500,42500,42500
2014-07-14,6.97,40100,-2.4(-5.65 %),6870,301096000,0,0,45400,45400,39700
2014-07-15,7.46,42900,2.8(6.98 %),8860,380024000,0,0,42900,42900,42800
2014-07-16,7.96,45800,2.9(6.76 %),17270,789286000,0,0,45900,45900,45400
2014-07-17,7.99,46000,0.2(0.44 %),2360,107758000,0,0,46000,46000,44800
2014-07-18,8.34,48000,2(4.35 %),4950,233000000,0,0,49000,49000,46000
2014-07-21,8.57,49300,1.3(2.71 %),13880,679000000,0,0,45300,50000,45300
2014-07-22,8.48,48800,-0.5(-1.01 %),2340,113000000,0,0,49900,49900,47500
2014-07-23,8.48,48800,0(0.00 %),2380,115000000,0,0,49000,49000,48000
2014-07-24,7.96,45800,-3(-6.15 %),10370,489985000,0,0,48200,49000,45800
2014-07-25,7.94,45700,-0.1(-0.22 %),5270,238000000,0,0,47000,47000,43500
2014-07-28,7.94,45700,0(0.00 %),3280,147000000,0,0,45300,46000,42600
2014-07-29,7.96,45800,0.1(0.22 %),5180,228000000,0,0,46000,46000,43000
2014-07-30,7.99,46000,0.2(0.44 %),3190,146000000,0,0,46000,46000,45000
2014-07-31,7.94,45700,-0.3(-0.65 %),3910,179000000,0,0,46000,46700,45200
2014-08-01,7.99,46000,0.3(0.66 %),2270,103000000,0,0,45800,46000,45000
2014-08-04,8.2,47200,1.2(2.61 %),9860,457000000,0,0,45900,47200,45900
2014-08-05,8.48,48800,1.6(3.39 %),15420,738000000,0,0,46700,49000,46700
2014-08-06,8.25,47500,-1.3(-2.66 %),3250,156000000,0,0,48800,48800,47000
2014-08-07,8.31,47800,0.3(0.63 %),760,36000000,0,0,47800,47800,47800
2014-08-08,8.24,47400,-0.4(-0.84 %),1790,84000000,0,0,46600,48000,46500
2014-08-11,8.39,48300,0.9(1.90 %),8400,396000000,0,0,47900,48300,46600
