Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-10-20,6.75,14300,-0.7(-4.67 %),11060,158160000,0,0,14300,14500,14300
2010-10-21,6.42,13600,-0.7(-4.90 %),25350,344760000,0,0,13600,13600,13600
2010-10-22,6.42,13600,0(0.00 %),127930,1703326000,0,0,13000,13600,13000
2010-10-25,6.47,13700,0.1(0.74 %),45460,619873000,0,0,13600,13700,13200
2010-10-26,6.56,13900,0.2(1.46 %),68810,947518000,0,0,13700,14000,13400
2010-10-27,6.28,13300,-0.6(-4.32 %),30300,406408000,0,0,13900,13900,13300
2010-10-28,6.38,13500,0.2(1.50 %),2720,36220000,0,0,13300,13500,13300
2010-10-29,6.52,13800,0.3(2.22 %),35260,492421000,0,0,13600,14000,13600
2010-11-01,6.38,13500,-0.3(-2.17 %),38460,524363000,0,0,13600,13800,13200
2010-11-02,6.19,13100,-0.4(-2.96 %),7800,103490000,0,0,13400,13400,13100
2010-11-03,5.9,12500,-0.6(-4.58 %),46990,599137000,0,0,13100,13100,12500
2010-11-04,6.0,12700,0.2(1.60 %),33740,429100000,0,0,12500,12800,12500
2010-11-05,6.23,13200,0.5(3.94 %),10540,137490000,0,0,13000,13200,13000
2010-11-08,6.0,12700,-0.5(-3.79 %),37330,473531000,0,0,13100,13100,12600
2010-11-09,5.76,12200,-0.5(-3.94 %),6750,82400000,0,0,12200,12300,12200
2010-11-10,5.86,12400,0.2(1.64 %),17040,210446000,0,0,12200,12500,12100
2010-11-11,5.62,11900,-0.5(-4.03 %),24860,303699000,0,0,12900,12900,11900
2010-11-12,5.57,11800,-0.1(-0.84 %),46570,553721000,0,0,12300,12300,11600
2010-11-15,5.43,11500,-0.3(-2.54 %),9000,102208000,0,0,11500,11500,11300
2010-11-16,5.24,11100,-0.4(-3.48 %),15980,183568000,0,0,11600,11600,11100
2010-11-17,5.19,11000,-0.1(-0.90 %),29740,328844000,0,0,11400,11400,10600
2010-11-18,5.29,11200,0.2(1.82 %),19030,211236000,0,0,11000,11200,11000
2010-11-19,5.29,11200,0(0.00 %),3180,34466000,37560,401892000,10900,11200,10700
2010-11-22,5.05,10700,-0.5(-4.46 %),43650,468510000,0,0,11000,11000,10700
2010-11-23,5.05,10700,0(0.00 %),7920,83744000,0,0,10700,10700,10500
2010-11-24,4.96,10500,-0.2(-1.87 %),30750,322525000,0,0,10600,10600,10200
2010-11-25,5.15,10900,0.4(3.81 %),44500,480678000,0,0,10600,11000,10600
2010-11-26,5.01,10600,-0.3(-2.75 %),22010,231706000,0,0,10700,10700,10400
2010-11-29,4.96,10500,-0.1(-0.94 %),29000,303500000,0,0,10500,10500,10400
2010-11-30,5.19,11000,0.5(4.76 %),93580,1023020000,0,0,10700,11000,10700
2010-12-01,5.43,11500,0.5(4.55 %),113900,1306068000,0,0,10900,11500,10900
