Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-10-31,3.1,33600,1.6(5.00 %),82710,2658256,0,0,32000,33600,32000
2006-11-01,3.24,35200,1.6(4.76 %),8400,295680,20000,704000,35200,35200,35200
2006-11-02,3.4,36900,1.7(4.83 %),123960,4574124,0,0,36900,36900,36900
2006-11-03,3.32,36000,-0.9(-2.44 %),189180,6890477,0,0,36900,36900,36000
2006-11-06,3.31,35900,-0.1(-0.28 %),113810,4088989,0,0,36000,36000,35900
2006-11-07,3.32,36000,0.1(0.28 %),70370,2531530,0,0,36000,36000,35900
2006-11-08,3.33,36100,0.1(0.28 %),43900,1585560,0,0,36200,36200,36100
2006-11-09,3.4,36900,0.8(2.22 %),52220,1912902,0,0,36500,36900,36500
2006-11-10,3.32,36000,-0.9(-2.44 %),42620,1553600,32500,1199250,37000,37000,36000
2006-11-13,3.32,36000,0(0.00 %),16810,606680,0,0,36200,36200,36000
2006-11-14,3.32,36000,0(0.00 %),78050,2821670,0,0,36200,36200,36000
2006-11-15,3.27,35500,-0.5(-1.39 %),24120,862524,0,0,36000,36000,35500
2006-11-16,3.24,35100,-0.4(-1.13 %),21360,751036,0,0,35500,35500,35000
2006-11-17,3.2,34700,-0.4(-1.14 %),37880,1320740,0,0,35100,35100,34700
2006-11-20,3.19,34600,-0.1(-0.29 %),19470,678810,0,0,34800,35000,34600
2006-11-21,3.09,33500,-1.1(-3.18 %),33080,1117210,0,0,34000,34000,33500
2006-11-22,3.0,32500,-1(-2.99 %),24060,786435,0,0,33000,33000,32500
2006-11-23,3.14,34100,1.6(4.92 %),31240,1050764,0,0,33500,34100,33500
2006-11-24,3.3,35800,1.7(4.99 %),29870,1069346,0,0,35800,35800,35800
2006-11-27,3.46,37500,1.7(4.75 %),235520,8832000,0,0,37500,37500,37500
2006-11-28,3.59,39000,1.5(4.00 %),144710,5559284,0,0,37600,39000,37600
2006-11-29,3.53,38300,-0.7(-1.79 %),80610,3105882,0,0,39000,39000,38000
2006-11-30,3.55,38500,0.2(0.52 %),41150,1579945,0,0,38300,38500,38300
2006-12-01,3.46,37500,-1(-2.60 %),35470,1343945,0,0,38500,38500,37500
2006-12-04,3.5,38000,0.5(1.33 %),20550,785510,0,0,38500,38500,37500
2006-12-05,3.5,38000,0(0.00 %),32610,1230180,0,0,36500,38000,36500
2006-12-06,3.47,37600,-0.4(-1.05 %),22970,871312,0,0,37700,37700,37600
2006-12-07,3.36,36500,-1.1(-2.93 %),39240,1428770,0,0,36300,36500,36300
2006-12-08,3.36,36500,0(0.00 %),2390,87235,0,0,36500,36500,36500
2006-12-11,3.53,38300,1.8(4.93 %),96010,3582380,0,0,36500,38300,36500
2006-12-12,3.53,38300,0(0.00 %),66080,2583224,0,0,40000,40000,38300
2006-12-13,3.5,38000,-0.3(-0.78 %),44200,1687055,0,0,38300,38300,38000
2006-12-14,3.39,36800,-1.2(-3.16 %),54590,2017893,0,0,37500,37500,36800
2006-12-15,3.41,37000,0.2(0.54 %),61500,2279460,0,0,37000,37000,37000
2006-12-18,3.41,37000,0(0.00 %),62960,2329520,0,0,37000,37400,37000
2006-12-19,3.55,38500,1.5(4.05 %),86240,3320240,0,0,38500,38500,38500
2006-12-20,3.55,38500,0(0.00 %),24790,954415,0,0,38500,38500,38500
2006-12-21,3.5,38000,-0.5(-1.30 %),138000,5277550,0,0,38000,38000,38000
2006-12-22,3.41,37000,-1(-2.63 %),27940,1043775,0,0,38000,38500,37000
2006-12-25,3.47,37600,0.6(1.62 %),7270,269050,0,0,36100,37600,36100
2006-12-26,3.5,38000,0.4(1.06 %),39950,1518300,0,0,38100,38100,38000
2006-12-27,3.5,38000,0(0.00 %),32910,1250090,0,0,38000,38000,38000
2006-12-28,3.43,37200,-0.8(-2.11 %),28450,1067780,0,0,38000,38000,37200
2006-12-29,3.41,37000,-0.2(-0.54 %),27700,1015900,0,0,36500,37000,36500
2007-01-02,3.46,37500,0.5(1.35 %),11650,436000000,0,0,37500,37500,37000
2007-01-03,3.45,37400,-0.1(-0.27 %),7600,0,0,0,37400,37400,37000
2007-01-04,3.46,37500,0.1(0.27 %),30330,1146000000,0,0,38000,38000,37000
2007-01-05,3.46,37500,0(0.00 %),58600,0,0,0,37500,37500,37500
2007-01-08,3.62,39300,1.8(4.80 %),145240,828000000,0,0,39300,39300,38000
2007-01-09,3.8,41200,1.9(4.83 %),70060,2886000000,0,0,41200,41200,41200
2007-01-10,3.98,43200,2(4.85 %),57890,2501000000,0,0,43200,43200,43200
2007-01-11,4.18,45300,2.1(4.86 %),79250,3590000000,0,0,45300,45300,45300
