Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-05-24,54.56,75000,1(1.35 %),113860,8084175000,0,0,70500,75000,70500
2010-05-25,54.56,75000,0(0.00 %),163740,12243750000,0,0,75000,76000,74000
2010-05-26,54.56,75000,0(0.00 %),30820,2322020000,0,0,77500,77500,74000
2010-05-27,57.11,78500,3.5(4.67 %),112420,8693550000,0,0,76000,78500,74500
2010-05-28,57.47,79000,0.5(0.64 %),70950,5667800000,0,0,82000,82000,78500
2010-05-31,55.65,76500,-2.5(-3.16 %),42210,3235595000,0,0,79000,79000,76000
2010-06-01,54.56,75000,-1.5(-1.96 %),44500,3345495000,50000,3750000000,75000,75500,75000
2010-06-02,54.56,75000,0(0.00 %),64410,4821170000,0,0,74000,76000,74000
2010-06-03,56.75,78000,3(4.00 %),102000,7885625000,0,0,77500,78000,76500
2010-06-04,59.29,81500,3.5(4.49 %),109390,8760050000,0,0,77000,81500,77000
2010-06-07,60.38,83000,1.5(1.84 %),119120,9817990000,0,0,81500,83500,79000
2010-06-08,58.93,81000,-2(-2.41 %),44090,3579130000,0,0,81000,82500,80500
2010-06-09,59.29,81500,0.5(0.62 %),69620,5653805000,0,0,80000,81500,80000
2010-06-10,59.66,82000,0.5(0.61 %),27310,2204920000,50000,4000000000,80000,82000,80000
2010-06-11,59.66,82000,0(0.00 %),89980,7445105000,0,0,82000,83500,82000
2010-06-14,58.93,81000,-1(-1.22 %),60030,4910970000,0,0,81000,83000,81000
2010-06-15,58.93,81000,0(0.00 %),53070,4304790000,0,0,80000,82500,80000
2010-06-16,57.47,79000,-2(-2.47 %),54960,4356920000,0,0,81000,81000,78000
2010-06-17,56.75,78000,-1(-1.27 %),27210,2116780000,0,0,77000,78500,77000
2010-06-18,56.38,77500,-0.5(-0.64 %),31420,2444155000,0,0,77000,78000,77000
2010-06-21,55.65,76500,-1(-1.29 %),19020,1457180000,0,0,76000,77000,76000
2010-06-22,56.02,77000,0.5(0.65 %),29660,2275230000,0,0,77500,77500,76500
2010-06-23,56.75,78000,1(1.30 %),71530,5540420000,0,0,76000,79000,76000
2010-06-24,58.2,80000,2(2.56 %),62810,5022245000,0,0,77500,81500,77500
2010-06-25,58.93,81000,1(1.25 %),159480,12918810000,0,0,80500,82500,80500
2010-06-28,58.2,80000,-1(-1.23 %),153110,12470945000,0,0,78500,82000,78500
2010-06-29,57.47,79000,-1(-1.25 %),45280,3577120000,0,0,79000,79000,79000
2010-06-30,56.75,78000,-1(-1.27 %),38930,3065370000,549620,41496310000,79000,79000,78000
2010-07-01,56.38,77500,-0.5(-0.64 %),34630,2689075000,0,0,77000,78500,77000
2010-07-02,56.38,77500,0(0.00 %),40910,3187350000,549620,41771120000,78000,78500,77500
2010-07-05,56.02,77000,-0.5(-0.65 %),33050,2544125000,0,0,76500,77500,76500
2010-07-06,55.29,76000,-1(-1.30 %),94810,7094235000,0,0,79000,79000,74000
2010-07-07,53.84,74000,-2(-2.63 %),36410,2721295000,0,0,74500,76000,74000
2010-07-08,54.56,75000,1(1.35 %),23130,1719890000,0,0,76500,76500,73500
2010-07-09,54.56,75000,0(0.00 %),17680,1326020000,0,0,76000,76000,75000
2010-07-12,53.84,74000,-1(-1.33 %),154240,11544950000,0,0,74500,76000,74000
2010-07-13,54.93,75500,1.5(2.03 %),27520,2050760000,0,0,74000,75500,74000
2010-07-14,53.84,74000,-1.5(-1.99 %),124280,9319390000,28900,2181950000,76000,76000,74000
2010-07-15,53.84,74000,0(0.00 %),147440,10918910000,0,0,74000,75000,73000
2010-07-16,53.84,74000,0(0.00 %),157500,11640500000,0,0,74500,74500,73000
2010-07-19,53.84,74000,0(0.00 %),68110,4994150000,0,0,73000,74000,72500
2010-07-20,53.84,74000,0(0.00 %),37230,2715615000,100000,7100000000,73500,74000,72000
2010-07-21,52.38,72000,-2(-2.70 %),57140,4174975000,0,0,74000,74000,72000
2010-07-22,52.74,72500,0.5(0.69 %),82990,6028800000,0,0,73000,73000,72000
2010-07-23,52.38,72000,-0.5(-0.69 %),78910,5719130000,0,0,73000,73000,72000
2010-07-26,50.93,70000,-2(-2.78 %),51710,3667620000,0,0,72500,72500,70000
2010-07-27,52.38,72000,2(2.86 %),25040,1763255000,0,0,72500,72500,70000
2010-07-28,52.38,72000,0(0.00 %),21550,1528540000,0,0,72000,72000,70000
2010-07-29,50.93,70000,-2(-2.78 %),6040,422870000,0,0,72500,72500,70000
