Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-10-08,9.2,52500,2.5(5.00 %),20,1050000,50000,2625000000,52500,52500,52500
2009-10-09,9.64,55000,2.5(4.76 %),10,550000,0,0,55000,55000,55000
2009-10-12,10.08,57500,2.5(4.55 %),20,1150000,29100,1527750000,57500,57500,57500
2009-10-13,10.52,60000,2.5(4.35 %),20,1200000,0,0,60000,60000,60000
2009-10-14,11.04,63000,3(5.00 %),120,7560000,0,0,63000,63000,63000
2009-10-15,11.57,66000,3(4.76 %),10,660000,0,0,66000,66000,66000
2009-10-16,12.1,69000,3(4.55 %),210,14490000,0,0,69000,69000,69000
2009-10-19,12.62,72000,3(4.35 %),180,12960000,20000,1440000000,72000,72000,72000
2009-10-20,13.24,75500,3.5(4.86 %),10810,816155000,0,0,75500,75500,75500
2009-10-21,13.85,79000,3.5(4.64 %),9810,774990000,0,0,79000,79000,79000
2009-10-22,14.46,82500,3.5(4.43 %),28590,2358675000,215000,17562500000,82500,82500,82500
2009-10-23,15.16,86500,4(4.85 %),199950,17295675000,20000,1600000000,86500,86500,86500
2009-10-26,14.55,83000,-3.5(-4.05 %),488170,42475095000,0,0,90000,90000,83000
2009-10-27,13.85,79000,-4(-4.82 %),124500,9842230000,0,0,79000,80000,79000
2009-10-28,13.5,77000,-2(-2.53 %),285800,21971100000,0,0,75500,82500,75500
2009-10-29,12.88,73500,-3.5(-4.55 %),217230,15998300000,0,0,74000,76000,73500
2009-10-30,13.5,77000,3.5(4.76 %),264810,20368570000,0,0,77000,77000,75500
2009-11-02,12.88,73500,-3.5(-4.55 %),76050,5607250000,0,0,74000,74000,73500
2009-11-03,12.27,70000,-3.5(-4.76 %),98470,6972895000,0,0,72000,74000,70000
2009-11-04,11.66,66500,-3.5(-5.00 %),226440,15278835000,0,0,67500,70500,66500
2009-11-05,12.18,69500,3(4.51 %),144590,9879445000,0,0,68000,69500,66000
