Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-10-22,2.96,44100,2.1(5.00 %),20,882000,0,0,44100,44100,44100
2009-10-23,3.11,46300,2.2(4.99 %),18340,849142000,0,0,46300,46300,46300
2009-10-26,3.26,48600,2.3(4.97 %),239720,11650388000,0,0,48600,48600,48200
2009-10-27,3.43,51000,2.4(4.94 %),203850,10390670000,0,0,51000,51000,48800
2009-10-28,3.59,53500,2.5(4.90 %),18310,979585000,0,0,53500,53500,53500
2009-10-29,3.56,53000,-0.5(-0.93 %),168190,9029130000,0,0,55000,55000,51000
2009-10-30,3.39,50500,-2.5(-4.72 %),84680,4350405000,0,0,53000,53000,50500
2009-11-02,3.22,48000,-2.5(-4.95 %),8120,389760000,0,0,48000,48000,48000
2009-11-03,3.06,45600,-2.4(-5.00 %),3730,170088000,20000,1000000000,45600,45600,45600
2009-11-04,2.91,43400,-2.2(-4.82 %),89870,3938908000,0,0,43400,47800,43400
2009-11-05,2.77,41300,-2.1(-4.84 %),55360,2303807000,0,0,42200,43400,41300
2009-11-06,2.79,41500,0.2(0.48 %),62930,2655497000,0,0,43200,43200,41400
2009-11-09,2.65,39500,-2(-4.82 %),21010,833270000,0,0,40000,41700,39500
2009-11-10,2.53,37600,-1.9(-4.81 %),53290,2016442000,0,0,39000,39000,37600
2009-11-11,2.62,39000,1.4(3.72 %),16290,620092000,0,0,36100,39000,36100
2009-11-12,2.62,39000,0(0.00 %),23100,899436000,0,0,38700,39500,38600
2009-11-13,2.53,37700,-1.3(-3.33 %),13470,515407000,0,0,38500,39000,37700
2009-11-16,2.45,36500,-1.2(-3.18 %),72970,2723841000,0,0,37500,39200,36500
2009-11-17,2.57,38300,1.8(4.93 %),27590,1056697000,0,0,38300,38300,38300
2009-11-18,2.7,40200,1.9(4.96 %),65330,2626166000,0,0,40200,40200,40000
2009-11-19,2.72,40500,0.3(0.75 %),31310,1285268000,0,0,41600,41600,40500
2009-11-20,2.6,38700,-1.8(-4.44 %),29580,1171629000,0,0,39000,41000,38500
2009-11-23,2.47,36800,-1.9(-4.91 %),28630,1062399000,0,0,37400,39000,36800
2009-11-24,2.38,35500,-1.3(-3.53 %),24720,884082000,0,0,36800,36900,35500
2009-11-25,2.27,33800,-1.7(-4.79 %),15560,529896000,0,0,35500,35500,33800
2009-11-26,2.16,32200,-1.6(-4.73 %),48130,1553039000,0,0,32500,34200,32200
2009-11-27,2.26,33700,1.5(4.66 %),28820,916506000,0,0,30600,33800,30600
2009-11-30,2.25,33500,-0.2(-0.59 %),6970,233572000,0,0,34000,34000,32600
2009-12-01,2.35,35000,1.5(4.48 %),32970,1133739000,0,0,33700,35100,33700
2009-12-02,2.24,33300,-1.7(-4.86 %),38840,1313470000,0,0,34300,34300,33300
2009-12-03,2.14,31800,-1.5(-4.50 %),15140,487467000,0,0,33300,33300,31800
2009-12-04,2.06,30700,-1.1(-3.46 %),7060,218750000,0,0,31800,31800,30600
