Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2021-03-25,10.64,21550,1.4(6.95 %),1464100,31551000000,135335,2537531250,21550,21550,21550
2021-03-26,11.38,23050,1.5(6.96 %),1078500,24859000000,0,0,23050,23050,23050
2021-03-29,12.17,24650,1.6(6.94 %),3992200,98263000000,250000,6162500000,24650,24650,24000
2021-03-30,13.01,26350,1.7(6.90 %),1896300,49963000000,220000,5729000000,26350,26350,26250
2021-03-31,13.9,28150,1.8(6.83 %),4138700,115776000000,0,0,28150,28150,27200
2021-04-01,13.92,28200,0.05(0.18 %),3793500,105722000000,0,0,28100,28200,27100
2021-04-02,13.95,28250,0.05(0.18 %),2990700,84029000000,0,0,27700,28250,27700
2021-04-05,13.87,28100,-0.15(-0.53 %),1564100,43641000000,0,0,28050,28150,27400
2021-04-06,13.82,28000,-0.1(-0.36 %),1881700,52233000000,0,0,28000,28000,27300
2021-04-07,13.82,28000,0(0.00 %),1208100,33665000000,0,0,28000,28000,27500
2021-04-08,13.62,27600,-0.4(-1.43 %),911300,25234000000,0,0,27800,27800,27500
2021-04-09,13.67,27700,0.1(0.36 %),955900,26269000000,0,0,27000,27700,27000
2021-04-12,13.67,27700,0(0.00 %),846900,23099000000,0,0,27300,27700,27000
2021-04-13,13.48,27300,-0.4(-1.44 %),433600,11819000000,0,0,27100,27500,27100
2021-04-14,13.23,26800,-0.5(-1.83 %),579800,15651000000,0,0,27000,27250,26800
2021-04-15,13.33,27000,0.2(0.75 %),1409400,37140000000,0,0,26400,27000,25500
2021-04-16,13.48,27300,0.3(1.11 %),574400,15416000000,0,0,27000,27300,26500
2021-04-19,13.58,27500,0.2(0.73 %),886900,24252000000,0,0,27350,27500,27100
2021-04-20,13.58,27500,0(0.00 %),1465400,40323000000,0,0,27600,27600,27400
2021-04-22,13.58,27500,0(0.00 %),729000,19830000000,0,0,27300,27500,26800
2021-04-23,12.88,26100,-1.4(-5.09 %),853900,22973000000,0,0,27500,27500,26100
2021-04-26,13.23,26800,0.7(2.68 %),578000,15416000000,0,0,27000,27200,26350
2021-04-27,13.28,26900,0.1(0.37 %),705300,18612000000,0,0,25100,26900,25100
2021-04-28,13.23,26800,-0.1(-0.37 %),846500,22507000000,0,0,26800,26950,26000
2021-04-29,13.25,26850,0.05(0.19 %),1199900,32108000000,0,0,26100,26950,26100
2021-05-04,13.03,26400,-0.45(-1.68 %),1055500,27824000000,70728,1768200000,26050,26500,26050
2021-05-05,13.06,26450,0.05(0.19 %),647500,17095000000,0,0,26400,26500,26100
2021-05-06,13.5,27350,0.9(3.40 %),1078900,28839000000,0,0,26450,28300,26300
2021-05-07,13.58,27500,0.15(0.55 %),1122000,30730000000,0,0,27500,27700,27000
2021-05-10,13.82,28000,0.5(1.82 %),1638300,44977000000,0,0,27500,28000,27000
2021-05-11,13.82,28000,0(0.00 %),942400,26328000000,0,0,28300,28300,27700
2021-05-12,13.82,28000,0(0.00 %),1429600,39891000000,0,0,28000,28000,27700
2021-05-13,13.97,28300,0.3(1.07 %),2069300,58003000000,0,0,28000,28500,27100
2021-05-14,14.93,30250,1.95(6.89 %),3100400,89620000000,0,0,28500,30250,27500
2021-05-17,15.52,31450,1.2(3.97 %),3145000,99313000000,0,0,30300,32000,30300
2021-05-18,15.55,31500,0.05(0.16 %),3096400,97767000000,0,0,32100,32100,31400
2021-05-19,15.67,31750,0.25(0.79 %),3510600,109144000000,0,0,31500,31950,29500
2021-05-20,15.67,31750,0(0.00 %),4030600,125569000000,0,0,31950,31950,29600
2021-05-21,15.8,32000,0.25(0.79 %),4272700,135283000000,0,0,31750,32000,30350
2021-05-24,16.09,32600,0.6(1.88 %),2716700,86584000000,0,0,32000,32600,30500
2021-05-25,17.2,34850,2.25(6.90 %),3725900,119913000000,0,0,32950,34850,30500
2021-05-26,18.36,37200,2.35(6.74 %),2720400,95000000000,0,0,34900,37200,33500
2021-05-27,18.29,37050,-0.15(-0.40 %),2077400,75120000000,0,0,37300,37350,35050
2021-05-28,19.25,39000,1.95(5.26 %),2006200,74115000000,0,0,37000,39000,35500
2021-05-31,20.14,40800,1.8(4.62 %),1832500,71689000000,0,0,39000,40800,38000
2021-06-01,20.19,40900,0.1(0.25 %),1733600,70024000000,0,0,40850,41900,39000
2021-06-02,20.49,41500,0.6(1.47 %),1816900,73040000000,0,0,40700,41500,38900
2021-06-03,21.23,43000,1.5(3.61 %),2794400,114610000000,0,0,41600,43000,39050
2021-06-04,22.46,45500,2.5(5.81 %),4445100,186071000000,0,0,43400,45500,40100
2021-06-07,21.47,43500,-2(-4.40 %),1594600,68555000000,0,0,45500,45500,42400
2021-06-08,21.23,43000,-0.5(-1.15 %),2450000,101927000000,0,0,41500,43000,40600
2021-06-09,19.84,40200,-2.8(-6.51 %),2641700,109456000000,0,0,40500,43200,40150
2021-06-10,20.39,41300,1.1(2.74 %),3337900,133047000000,0,0,40700,42600,37500
2021-06-11,21.18,42900,1.6(3.87 %),2589300,108464000000,0,0,41300,42900,39500
2021-06-14,21.23,43000,0.1(0.23 %),2782100,116618000000,0,0,42900,43000,41000
2021-06-15,20.39,41300,-1.7(-3.95 %),2466800,102340000000,0,0,42900,42950,40100
2021-06-16,19.65,39800,-1.5(-3.63 %),1489700,58743000000,0,0,41300,41300,38600
2021-06-17,19.6,39700,-0.1(-0.25 %),1823600,70014000000,0,0,39600,39800,37400
2021-06-18,19.92,40350,0.65(1.64 %),2734900,105854000000,0,0,38000,40450,37000
2021-06-21,19.75,40000,-0.35(-0.87 %),2216300,87604000000,0,0,40350,40350,39000
2021-06-22,19.77,40050,0.05(0.12 %),2389900,94773000000,0,0,40000,40100,38900
2021-06-23,19.6,39700,-0.35(-0.87 %),2069900,81771000000,0,0,39950,39950,39050
2021-06-24,19.62,39750,0.05(0.13 %),2276400,90336000000,0,0,39700,39850,39000
2021-06-25,19.79,40100,0.35(0.88 %),2106000,83514000000,0,0,39800,40100,39000
2021-06-28,20.14,40800,0.7(1.75 %),2093400,82980000000,0,0,39100,41000,38500
2021-06-29,20.21,40950,0.15(0.37 %),2099600,85907000000,0,0,40800,41000,40700
2021-06-30,20.31,41150,0.2(0.49 %),2195300,89915000000,0,0,40950,41350,39500
2021-07-01,20.17,40850,-0.3(-0.73 %),2349400,94843000000,0,0,41150,41200,39300
2021-07-02,20.93,42400,1.55(3.79 %),3294900,135509000000,0,0,40900,42400,39950
2021-07-05,20.83,42200,-0.2(-0.47 %),2506700,104313000000,0,0,42400,42400,41000
2021-07-06,20.58,41700,-0.5(-1.18 %),3177800,132099000000,0,0,42200,42350,40300
2021-07-07,20.68,41900,0.2(0.48 %),3388500,138540000000,0,0,41150,42000,40000
2021-07-08,20.49,41500,-0.4(-0.95 %),2656800,110167000000,0,0,41800,41800,40500
2021-07-09,20.04,40600,-0.9(-2.17 %),2824800,115564000000,0,0,41300,41600,40000
2021-07-12,18.76,38000,-2.6(-6.40 %),1625200,62533000000,0,0,40300,40300,37800
2021-07-13,19.05,38600,0.6(1.58 %),1732300,65306000000,0,0,37500,38600,36300
2021-07-14,18.86,38200,-0.4(-1.04 %),1798000,68285000000,0,0,38500,38500,37100
2021-07-15,19.89,40300,2.1(5.50 %),1725100,65908000000,0,0,38000,40400,37500
2021-07-16,19.47,39450,-0.85(-2.11 %),1963600,78049000000,0,0,40300,41000,38950
