Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-18,7.62,182400,16.5(9.95 %),340200,61114430000,0,0,170000,182400,170000
2006-12-19,8.25,195200,17.9(9.97 %),326900,64285510000,0,0,195000,195200,181000
2006-12-20,8.19,196000,-0.7(-0.36 %),651600,135849060000,0,0,211300,211300,196000
2006-12-21,7.84,187700,-20.8(-9.98 %),200100,37567000000,0,0,200000,200000,187700
2006-12-22,7.06,174600,-18.7(-9.96 %),41300,6979700000,0,0,174600,174600,174600
2006-12-25,6.35,157200,-16.9(-10.00 %),289000,43956900000,0,0,157200,157200,157200
2006-12-26,6.64,159000,6.9(4.54 %),435500,67040790000,0,0,141500,162000,141500
2006-12-27,6.68,160000,6.1(3.96 %),376200,61419550000,0,0,160000,169200,160000
2006-12-28,6.56,157000,-6.3(-3.86 %),162400,25789840000,0,0,166000,167000,150000
2006-12-29,6.48,155000,-3.8(-2.39 %),235500,36282570000,0,0,146000,156000,146000
2007-01-02,6.37,152500,-5.5(-3.48 %),236800,36401790000,0,0,158000,160000,152000
2007-01-03,6.43,154000,0.5(0.33 %),301900,0,0,0,153500,158200,153000
2007-01-04,7.08,164800,11.4(7.22 %),213900,36085440000,0,0,158000,164800,158000
2007-01-05,7.75,181300,0(0.00 %),357100,0,0,0,181300,181300,181300
2007-01-08,7.49,179300,-24.7(-12.11 %),317300,10345510000,0,0,198500,198500,172500
2007-01-09,7.81,187000,7(3.89 %),535800,99335700000,0,0,180000,190000,166700
2007-01-10,8.23,197100,-6.8(-3.33 %),606000,119945000000,0,0,200100,200100,190000
2007-01-11,8.23,197000,12(6.49 %),520400,103266000000,0,0,185000,203000,185000
2007-01-12,8.9,210800,-5.2(-2.38 %),759000,160503000000,0,0,210800,210800,200000
2007-01-15,9.32,223000,-2(-0.89 %),492600,110080000000,0,0,225000,227900,215600
2007-01-16,9.11,218000,-9(-3.96 %),304400,68183630000,0,0,227000,235000,210000
2007-01-17,8.42,202700,-17.4(-7.95 %),212100,43400560000,0,0,219000,219000,202700
2007-01-18,8.86,212000,27.8(15.09 %),461700,94734200000,0,0,187500,215000,187500
2007-01-19,8.81,211000,-4(-1.86 %),482500,102566000000,0,0,215000,220000,209900
2007-01-22,8.31,199000,-11(-5.24 %),279700,55580820000,0,0,210000,210000,196200
2007-01-23,8.31,199000,-1.7(-0.85 %),272400,54322720000,0,0,200700,205000,195000
2007-01-24,8.38,200500,-0.5(-0.25 %),236700,47642920000,0,0,201000,205000,185100
2007-01-25,8.07,193200,-8.8(-4.36 %),189100,36502000000,0,0,202000,202000,188000
2007-01-26,8.35,200000,5(2.56 %),208500,40968370000,0,0,195000,200000,188000
2007-01-29,8.77,210000,6(2.94 %),257800,53747810000,0,0,204000,210000,204000
2007-01-30,9.17,219500,7.5(3.54 %),259000,56557990000,0,0,212000,224700,210000
2007-01-31,9.15,219000,-7(-3.10 %),215200,47539440000,0,0,226000,226000,213000
2007-02-01,8.86,212000,-8(-3.64 %),236400,50352240000,0,0,220000,226000,203700
2007-02-02,8.73,209000,-4(-1.88 %),273700,56569570000,0,0,213000,213000,200000
2007-02-05,8.67,207500,-2.5(-1.19 %),260800,54591430000,0,0,210000,220000,205500
2007-02-06,8.65,207000,-2(-0.96 %),202900,41991140000,0,0,209000,210000,205000
2007-02-07,8.52,204000,-3(-1.45 %),391400,79941650000,0,0,207000,209000,200000
2007-02-08,8.13,194500,-10.5(-5.12 %),432100,84436780000,0,0,205000,205000,190000
2007-02-09,8.15,195100,3.1(1.61 %),314700,60614330000,0,0,192000,195800,190000
2007-02-12,8.56,205000,8(4.06 %),173000,35109140000,0,0,197000,205000,197000
2007-02-13,8.62,206300,0.3(0.15 %),173600,35879480000,0,0,206000,209000,201500
2007-02-14,8.65,207000,0(0.00 %),221300,46063220000,0,0,207000,211000,206000
2007-02-15,8.75,209500,1.5(0.72 %),246500,51582380000,0,0,208000,210000,207000
2007-02-26,9.62,224200,15.2(7.07 %),379500,86752260000,0,0,215000,224200,214000
2007-02-27,9.73,233000,-8(-3.32 %),331600,79996090000,0,0,241000,246300,230000
2007-02-28,9.23,221000,-19(-7.92 %),381700,83619680000,0,0,240000,240000,217100
2007-03-01,9.27,222000,-3.4(-1.51 %),239600,52895250000,0,0,225400,225400,216000
2007-03-02,9.19,220000,-10(-4.35 %),271400,59498600000,0,0,230000,230000,218000
2007-03-05,9.29,222500,3.5(1.60 %),261600,58009670000,0,0,219000,225000,219000
2007-03-06,9.15,219000,-5(-2.23 %),302400,66829070000,0,0,224000,224000,218100
2007-03-07,8.86,212000,-8(-3.64 %),293000,63644770000,0,0,220000,223000,210000
2007-03-08,9.11,218000,6(2.83 %),234500,51062170000,0,0,212000,226800,212000
2007-03-09,9.11,218000,-2(-0.91 %),302400,66370720000,0,0,220000,224900,218000
2007-03-12,9.44,226000,1(0.44 %),412100,93262350000,0,0,225000,230400,220000
2007-03-13,9.64,230700,-9.3(-3.88 %),384900,89011470000,0,0,240000,240000,228000
2007-03-14,9.25,221500,-13.5(-5.74 %),371700,83541520000,0,0,235000,235000,215000
2007-03-15,9.06,216800,-8.2(-3.64 %),319700,69240280000,0,0,225000,225000,214100
2007-03-16,9.57,229000,-1(-0.43 %),423700,96941110000,0,0,230000,232000,218100
2007-03-19,10.51,245000,0(0.00 %),669700,168497000000,0,0,245000,245000,245000
2007-03-20,10.65,255000,-21(-7.61 %),702700,185671000000,0,0,269200,269200,251000
2007-03-21,10.65,255000,-5(-1.92 %),505300,129243000000,0,0,260000,268000,253000
2007-03-22,10.53,252000,-2(-0.79 %),498400,125002000000,0,0,254000,255700,249000
2007-03-23,10.37,248300,-4.7(-1.86 %),542900,134766000000,0,0,253000,255000,245500
2007-03-26,9.78,234000,-11(-4.49 %),420900,108985000000,0,0,245000,252000,230900
2007-03-27,8.98,217600,-13(-5.70 %),504300,108776000000,0,0,228000,228000,217600
2007-03-28,9.9,230000,26.8(12.75 %),450100,103090000000,0,0,210200,230000,210000
2007-03-29,9.9,237000,-3(-1.25 %),426700,101584000000,0,0,240000,245000,220400
2007-03-30,9.56,228800,-11.2(-4.67 %),345500,79696350000,0,0,240000,240000,226000
2007-04-02,9.42,225500,-9.5(-4.04 %),271400,60720580000,0,0,235000,235000,217500
2007-04-03,9.42,225500,1.5(0.67 %),200700,44343490000,0,0,224000,226000,218000
2007-04-04,9.62,230400,0.4(0.17 %),187800,43492310000,0,0,230000,235000,230000
2007-04-05,9.47,226800,-5.2(-2.24 %),159100,36264710000,0,0,232000,232000,225000
2007-04-06,9.55,228500,1.5(0.66 %),234300,52820460000,0,0,227000,229100,220100
2007-04-09,9.81,234900,3.9(1.69 %),354300,83215400000,0,0,231000,240000,230000
2007-04-10,9.75,233500,-1.5(-0.64 %),303800,71349650000,0,0,235000,239000,232000
2007-04-11,9.75,233500,-0.5(-0.21 %),228200,53311550000,0,0,234000,235000,230500
2007-04-12,9.57,229000,-4.5(-1.93 %),257600,59295290000,0,0,233500,234000,229000
2007-04-13,9.5,227400,1.4(0.62 %),233100,52907620000,0,0,226000,230000,226000
2007-04-16,9.02,216000,-10.8(-4.76 %),336200,73274730000,0,0,226800,227000,215000
2007-04-17,9.19,220000,2(0.92 %),319100,69043980000,0,0,218000,220000,210000
2007-04-18,9.57,229000,7(3.15 %),262100,59824290000,0,0,222000,230000,220100
2007-04-19,9.31,222800,-5.2(-2.28 %),199300,44601650000,0,0,228000,230000,220000
2007-04-20,9.32,223000,1.5(0.68 %),213300,47191090000,0,0,221500,224000,218000
2007-04-23,8.98,214000,-12(-5.31 %),392800,84508110000,0,0,226000,226000,214000
2007-04-24,8.97,213800,2.3(1.09 %),349700,74426640000,0,0,211500,216000,210000
2007-04-25,9.14,217900,6.9(3.27 %),387400,83987130000,0,0,211000,220000,211000
2007-05-02,9.14,217700,-2.3(-1.05 %),179700,39173220000,0,0,220000,222000,217000
2007-05-03,9.15,218000,-2(-0.91 %),99600,21696840000,0,0,220000,220000,216000
2007-05-04,9.13,217500,2.2(1.02 %),115000,24977460000,0,0,215300,218500,212000
2007-05-07,9.44,224900,4.9(2.23 %),281900,62923300000,0,0,220000,225000,220000
2007-05-08,9.46,225500,-1.5(-0.66 %),341300,77624420000,0,0,227000,230000,225000
2007-05-09,9.4,224000,-5(-2.18 %),284900,63829380000,0,0,229000,230000,221000
2007-05-10,9.36,223100,-2.4(-1.06 %),156900,0,0,0,225500,225500,220100
2007-05-11,9.63,229500,5.5(2.46 %),387600,88476350000,0,0,224000,229500,224000
2007-05-14,10.24,244100,9.1(3.87 %),601800,145873000000,0,0,235000,245600,213400
2007-05-15,10.05,239500,-10.5(-4.20 %),462600,111462000000,0,0,250000,250000,235600
2007-05-16,9.99,238000,1(0.42 %),342500,81390730000,0,0,237000,240000,236300
2007-05-17,10.24,244000,6(2.52 %),484300,116422000000,0,0,238000,244000,235000
2007-05-18,10.2,243000,2(0.83 %),395600,96502760000,0,0,241000,248000,241000
2007-05-21,10.21,243300,-5.2(-2.09 %),341600,83266980000,0,0,248500,248500,242400
2007-05-22,10.16,242000,-2(-0.82 %),513400,124588000000,0,0,244000,245000,240700
2007-05-23,9.99,238000,-3(-1.24 %),619900,149196000000,0,0,241000,243500,236000
2007-05-24,10.13,221300,-0.4(-0.22 %),291000,0,0,0,221300,221300,221300
2007-05-25,10.1,179000,-1(-0.56 %),215900,38596740000,0,0,180000,180000,178000
2007-05-28,9.87,175000,-4(-2.23 %),195300,34663240000,0,0,179000,179500,175000
2007-05-29,9.73,172500,-4.5(-2.54 %),282100,48701310000,0,0,177000,177000,170100
2007-05-30,9.64,170900,-0.9(-0.52 %),374500,63274020000,0,0,171800,171800,167500
2007-05-31,9.88,175100,5.1(3.00 %),231500,40095870000,0,0,170000,175100,169800
2007-06-01,9.81,174000,0(0.00 %),262000,45914850000,0,0,174000,178000,174000
2007-06-04,9.76,173100,-2.4(-1.37 %),178700,31028780000,0,0,175500,177000,172500
2007-06-05,9.59,170000,-3(-1.73 %),265000,44959350000,0,0,173000,173000,165000
2007-06-06,9.61,170300,1.8(1.07 %),220600,37524140000,0,0,168500,171900,168500
2007-06-07,9.59,170000,-1(-0.58 %),193100,32873820000,0,0,171000,172500,169900
2007-06-08,9.55,169300,-0.9(-0.53 %),216400,36640690000,0,0,170200,171000,168500
2007-06-11,9.48,168000,-0.9(-0.53 %),185000,31077510000,0,0,168900,169500,166000
2007-06-12,9.45,167500,-0.5(-0.30 %),201500,33748130000,0,0,168000,168600,166100
2007-06-13,9.33,165500,-4.5(-2.65 %),159600,26494950000,0,0,170000,170000,165000
2007-06-14,9.31,165000,-1.5(-0.90 %),213700,35243610000,0,0,166500,166500,164000
2007-06-15,9.41,166800,2.3(1.40 %),162700,26953400000,0,0,164500,169000,164000
2007-06-18,9.49,168300,2.3(1.39 %),215100,36028240000,0,0,166000,169700,160000
2007-06-19,9.41,166800,0.8(0.48 %),180800,30331970000,0,0,166000,170000,164500
2007-06-20,9.45,167500,-0.5(-0.30 %),137600,23093960000,0,0,168000,169000,166200
2007-06-21,9.28,164500,-3.5(-2.08 %),161300,26677660000,0,0,168000,168000,163500
2007-06-22,9.28,164500,-1.5(-0.90 %),129100,21170950000,0,0,166000,166000,163500
2007-06-25,9.19,162900,-0.1(-0.06 %),117200,19128770000,0,0,163000,166000,162000
2007-06-26,9.14,162000,-6(-3.57 %),121800,19806180000,0,0,168000,169900,161800
2007-06-27,9.0,159500,-1.5(-0.93 %),141800,22793370000,0,0,161000,164000,159500
2007-06-28,8.8,156000,-4(-2.50 %),166600,27276050000,0,0,160000,160000,153000
2007-06-29,8.67,153700,0.2(0.13 %),265700,40702440000,0,0,153500,155200,152500
2007-07-02,8.09,143500,-6.5(-4.33 %),201600,29600770000,0,0,150000,152000,143000
2007-07-03,8.35,148100,3.6(2.49 %),313900,45002300000,0,0,144500,148100,135000
2007-07-04,8.89,157700,5.7(3.75 %),238000,36913480000,0,0,152000,157700,147300
2007-07-05,8.43,149400,-10.6(-6.62 %),169100,25449660000,0,0,160000,161000,148100
2007-07-06,8.74,155000,5(3.33 %),247800,37730890000,0,0,150000,156600,148200
2007-07-09,8.91,157900,2.9(1.87 %),345400,53740520000,0,0,155000,157900,150000
2007-07-10,9.22,163500,2.5(1.55 %),520200,85615520000,0,0,161000,169000,160000
2007-07-11,9.17,162500,-2.5(-1.52 %),335600,54956300000,0,0,165000,165000,162100
2007-07-12,8.91,158000,-7(-4.24 %),203700,32301800000,0,0,165000,165000,157200
2007-07-13,9.08,161000,4(2.55 %),197700,31562180000,0,0,157000,163500,155500
2007-07-16,8.88,157500,-2.5(-1.56 %),251700,39487660000,0,0,160000,163000,155000
2007-07-17,8.93,158300,0.3(0.19 %),178600,28295610000,0,0,158000,159000,156000
2007-07-18,8.93,158400,0(0.00 %),143700,22713890000,0,0,158400,158900,157000
2007-07-19,8.87,157200,0.2(0.13 %),130400,20570520000,0,0,157000,159000,157000
2007-07-20,8.83,156500,-1.5(-0.95 %),166600,26061150000,0,0,158000,158000,155800
2007-07-23,8.77,155500,-2.5(-1.58 %),183600,28580020000,0,0,158000,158000,155000
2007-07-24,8.8,156000,1.5(0.97 %),129000,20066350000,0,0,154500,156500,154500
2007-07-25,8.83,156500,-3.5(-2.19 %),180200,28403890000,0,0,160000,161900,156000
2007-07-26,8.79,155900,-1.9(-1.20 %),167100,26122260000,0,0,157800,159000,155000
2007-07-27,8.79,155900,-2.1(-1.33 %),135400,21023380000,0,0,158000,158000,154000
2007-07-30,8.74,155000,-2(-1.27 %),271100,41957390000,0,0,157000,157000,152500
2007-07-31,8.69,154000,-1(-0.65 %),315100,48421630000,0,0,155000,155000,152000
2007-08-01,8.88,157500,3.5(2.27 %),339100,52698970000,0,0,154000,157500,153700
2007-08-02,8.74,155000,-2.5(-1.59 %),198200,30910890000,0,0,157500,158000,155000
2007-08-03,8.76,155300,0.3(0.19 %),273000,42091870000,0,0,155000,155900,153200
2007-08-06,8.7,154300,0.3(0.19 %),209600,32428170000,0,0,154000,155200,151000
2007-08-07,8.75,155100,0.3(0.19 %),150700,23274150000,0,0,154800,155400,153700
2007-08-08,8.73,154800,0.4(0.26 %),142400,21989100000,0,0,154400,156000,154000
2007-08-09,8.91,158000,2(1.28 %),257200,40433870000,0,0,156000,159000,155000
2007-08-10,8.91,158000,-1(-0.63 %),300500,47256740000,0,0,159000,159000,156500
2007-08-13,8.8,156100,0.1(0.06 %),212000,33132750000,0,0,156000,157300,155500
2007-08-14,8.88,157500,2.5(1.61 %),163800,25775340000,0,0,155000,157900,155000
2007-08-15,8.94,158500,1.1(0.70 %),200400,31669490000,10000,1584000000,157400,158500,156500
2007-08-16,8.92,158200,2.2(1.41 %),317700,50258320000,0,0,156000,158800,155300
2007-08-17,8.87,157300,-0.7(-0.44 %),167600,26357660000,0,0,158000,158000,157000
2007-08-20,8.84,156700,-0.3(-0.19 %),176800,27719110000,0,0,157000,157000,156500
2007-08-21,8.83,156500,-0.3(-0.19 %),89400,13988690000,0,0,156800,157000,156000
2007-08-22,8.86,157100,1.1(0.71 %),175200,27514530000,0,0,156000,157300,156000
2007-08-23,8.88,157500,0.5(0.32 %),152800,24080640000,0,0,157000,158000,157000
2007-08-24,8.91,158000,0(0.00 %),166300,26296670000,0,0,158000,158500,157600
2007-08-27,8.92,158200,-1.8(-1.12 %),135100,21384770000,0,0,160000,160000,158000
