Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-07-13,13.31,81500,3.5(4.49 %),1694670,136900005,37130,2766185,80000,81500,80000
2006-07-14,13.15,80500,-1(-1.23 %),935410,76230145,139165,11202783,83000,83000,80500
2006-07-17,12.66,77500,-3(-3.73 %),1320510,102909950,0,0,79000,79000,77500
2006-07-18,12.33,75500,-2(-2.58 %),721380,54464190,250000,18875000,75500,75500,75500
2006-07-19,11.92,73000,-2.5(-3.31 %),747410,54993300,10000,730000,75000,75000,73000
2006-07-20,12.5,76500,3.5(4.79 %),988420,74246125,80980,5873110,72000,76500,72000
2006-07-21,12.25,75000,-1.5(-1.96 %),603240,45431055,22000,1650000,75500,75500,75000
2006-07-24,12.01,73500,-1.5(-2.00 %),311780,23022855,50000,3670000,75000,75000,73500
2006-07-25,11.43,70000,-3.5(-4.76 %),342530,24367360,0,0,72500,72500,70000
2006-07-26,11.19,68500,-1.5(-2.14 %),311540,21281955,0,0,67500,68500,67500
2006-07-27,11.19,68500,0(0.00 %),400570,27358980,20000,1320000,68500,68500,68000
2006-07-28,11.03,67500,-1(-1.46 %),289270,19718360,0,0,69000,69000,67500
2006-07-31,10.54,64500,-3(-4.44 %),200780,12987450,0,0,65000,65000,64500
2006-08-01,10.05,61500,-3(-4.65 %),167240,10285260,257944,15863556,61500,61500,61500
2006-08-02,9.56,58500,-3(-4.88 %),476710,27887535,40000,2340000,58500,58500,58500
2006-08-03,9.96,61000,2.5(4.27 %),542710,33105310,18190,1064115,61000,61000,61000
2006-08-04,10.45,64000,3(4.92 %),117920,7546880,0,0,64000,64000,64000
2006-08-07,10.05,61500,-2.5(-3.91 %),538860,34338810,0,0,65000,65000,61500
2006-08-08,10.21,62500,1(1.63 %),246690,15388475,200000,12300000,61500,63500,61500
2006-08-09,9.8,60000,-2.5(-4.00 %),1078960,65125090,10000,595000,60500,60500,60000
2006-08-10,9.96,61000,1(1.67 %),293470,17734490,0,0,60000,61000,60000
2006-08-11,10.13,62000,1(1.64 %),395920,24471900,0,0,61000,62000,61000
2006-08-14,10.62,65000,3(4.84 %),487760,31511840,50000,3250000,64000,65000,64000
2006-08-15,10.37,63500,-1.5(-2.31 %),534520,34194515,10000,630000,65000,65000,63500
2006-08-16,10.62,65000,1.5(2.36 %),286200,18543230,0,0,64500,65000,64500
2006-08-17,10.7,65500,0.5(0.77 %),563530,37420895,10000,655000,67000,67000,65500
2006-08-18,10.62,65000,-0.5(-0.76 %),370910,24456400,0,0,66500,66500,65000
2006-08-21,10.54,64500,-0.5(-0.77 %),191270,12397790,0,0,65000,65000,64500
2006-08-22,10.29,63000,-1.5(-2.33 %),268930,17007040,100000,6450000,63500,63500,63000
2006-08-23,10.45,64000,1(1.59 %),164010,10427820,0,0,62500,64000,62500
2006-08-24,10.45,64000,0(0.00 %),154360,9879040,0,0,64000,64000,64000
2006-08-25,10.37,63500,-0.5(-0.78 %),87030,5531440,0,0,64000,64000,63500
2006-08-28,10.54,64500,1(1.57 %),185880,11915985,601500,38195250,63500,64500,63500
2006-08-29,10.62,65000,0.5(0.78 %),340960,22162400,395700,25553650,65000,65000,65000
2006-08-30,10.62,65000,0(0.00 %),373920,24304800,0,0,65000,65000,65000
2006-08-31,10.7,65500,0.5(0.77 %),432700,28341850,0,0,65500,65500,65500
2006-09-01,11.03,67500,2(3.05 %),599270,40277845,0,0,66500,67500,66500
2006-09-05,11.52,70500,3(4.44 %),358380,25265790,500000,33900000,70500,70500,70500
2006-09-06,11.6,71000,0.5(0.71 %),442200,31671025,0,0,73000,73000,71000
2006-09-07,11.35,69500,-1.5(-2.11 %),290910,20299750,0,0,70000,70000,69500
2006-09-08,11.43,70000,0.5(0.72 %),280320,19622400,0,0,70000,70000,70000
2006-09-11,11.43,70000,0(0.00 %),235040,16508020,500000,35000000,70500,70500,70000
2006-09-12,11.11,68000,-2(-2.86 %),276340,18906405,0,0,69500,69500,68000
2006-09-13,11.43,70000,2(2.94 %),173700,12085275,0,0,68500,70000,68500
2006-09-14,11.27,69000,-1(-1.43 %),153820,10622545,0,0,69500,69500,69000
2006-09-15,11.43,70000,1(1.45 %),276270,19291050,0,0,69500,70000,69000
2006-09-18,11.35,69500,-0.5(-0.71 %),160300,11169040,0,0,70000,70000,69500
2006-09-19,11.35,69500,0(0.00 %),176660,12277870,200000,13900000,69500,69500,69500
2006-09-20,11.35,69500,0(0.00 %),312200,21758450,0,0,70000,70000,69500
2006-09-21,11.35,69500,0(0.00 %),247000,17215705,55000,3657500,70000,70000,69500
2006-09-22,11.35,69500,0(0.00 %),154130,10666875,0,0,69000,69500,69000
2006-09-25,11.35,69500,0(0.00 %),188410,13028685,0,0,69000,69500,69000
2006-09-26,11.35,69500,0(0.00 %),174710,12107550,40000,2660000,69500,69500,69500
2006-09-27,11.27,69000,-0.5(-0.72 %),265890,18426885,32052,2131458,69500,69500,69000
2006-09-28,11.76,72000,3(4.35 %),729790,51925330,14825,1059988,70000,72000,70000
2006-09-29,11.52,70500,-1.5(-2.08 %),320830,22844775,0,0,72000,72000,70500
2006-10-02,11.6,71000,0.5(0.71 %),266150,18830415,0,0,70500,71000,70500
2006-10-03,11.76,72000,1(1.41 %),421820,30326730,302710,21564307,72000,72000,71500
2006-10-04,11.92,73000,1(1.39 %),647480,48023365,20286,1425592,75000,75000,73000
2006-10-05,11.84,72500,-0.5(-0.68 %),368720,26857015,0,0,73000,73000,72500
2006-10-06,11.92,73000,0.5(0.69 %),317810,23047160,0,0,72000,73000,72000
2006-10-09,11.84,72500,-0.5(-0.68 %),456440,33284735,0,0,73000,73000,72500
2006-10-10,11.68,71500,-1(-1.38 %),287780,20673490,75900,5465100,72500,72500,71500
2006-10-11,11.6,71000,-0.5(-0.70 %),444880,31644715,0,0,71000,71500,71000
2006-10-12,11.6,71000,0(0.00 %),504170,35912520,14085,950738,71500,71500,71000
2006-10-13,10.54,66000,-6.5(-9.15 %),262250,16915125,0,0,66000,66000,66000
2006-10-16,10.45,64000,-0.5(-0.78 %),196690,12639350,0,0,64500,64500,64000
2006-10-17,10.13,62000,-2(-3.12 %),279980,17463515,10000,610000,63000,63000,62000
2006-10-18,10.05,61500,-0.5(-0.81 %),249990,15411705,0,0,62000,62000,61500
2006-10-19,10.21,62500,1(1.63 %),404320,25156680,32254,1886859,62000,62500,62000
2006-10-20,10.29,63000,0.5(0.80 %),250130,15758190,0,0,63000,63000,63000
2006-10-23,10.21,62500,-0.5(-0.79 %),131650,8228125,0,0,62500,62500,62500
2006-10-24,10.21,62500,0(0.00 %),128990,8061875,0,0,62500,62500,62500
2006-10-25,10.13,62000,-0.5(-0.80 %),143870,8937375,20000,1240000,62000,62500,62000
2006-10-26,10.13,62000,0(0.00 %),130360,8082320,20000,1240000,62000,62000,62000
2006-10-27,9.96,61000,-1(-1.61 %),191620,11688820,30000,1830000,61000,61000,61000
2006-10-30,9.8,60000,-1(-1.64 %),182090,10936095,0,0,60500,60500,60000
2006-10-31,9.72,59500,-0.5(-0.83 %),323500,19145785,0,0,59000,59500,59000
2006-11-01,10.05,61500,2(3.36 %),210180,12820175,0,0,60500,61500,60500
2006-11-02,9.96,61000,-0.5(-0.81 %),280390,17236515,0,0,62000,62000,61000
2006-11-03,9.88,60500,-0.5(-0.82 %),145590,8808195,0,0,60500,60500,60500
2006-11-06,9.96,61000,0.5(0.83 %),178510,10854405,0,0,60500,61000,60500
2006-11-07,9.96,61000,0(0.00 %),197790,12126105,0,0,61500,61500,61000
2006-11-08,9.96,61000,0(0.00 %),150920,9206120,0,0,61000,61000,61000
2006-11-09,9.96,61000,0(0.00 %),157120,9584320,0,0,61000,61000,61000
2006-11-10,9.88,60500,-0.5(-0.82 %),187530,11376410,0,0,61000,61000,60500
2006-11-13,9.96,61000,0.5(0.83 %),128790,7838510,100000,6050000,60500,61000,60500
2006-11-14,10.21,62500,1.5(2.46 %),275600,17062900,0,0,61000,62500,61000
2006-11-15,10.21,62500,0(0.00 %),404230,25642345,0,0,64000,64000,62500
2006-11-16,10.05,61500,-1(-1.60 %),102170,6283455,0,0,61500,61500,61500
2006-11-17,10.21,62500,1(1.63 %),225060,13983530,400000,24800000,62000,62500,62000
2006-11-20,10.05,61500,-1(-1.60 %),288090,17831350,354295,22093438,62500,62500,61500
2006-11-21,10.05,61500,0(0.00 %),252180,15509070,0,0,61500,61500,61500
2006-11-22,10.13,62000,0.5(0.81 %),522740,32409880,0,0,62000,62000,62000
2006-11-23,10.62,65000,3(4.84 %),932860,60261890,0,0,63500,65000,63500
2006-11-24,11.11,68000,3(4.62 %),1422510,96730680,200000,13600000,68000,68000,68000
2006-11-27,10.62,65000,-3(-4.41 %),1155520,79069520,708590,48184120,71000,71000,65000
2006-11-28,10.78,66000,1(1.54 %),769620,50973900,0,0,66000,66000,66000
2006-11-29,10.37,63500,-2.5(-3.79 %),683560,43867990,0,0,65000,65000,63500
2006-11-30,10.45,64000,0.5(0.79 %),452420,29006270,0,0,64000,64000,64000
2006-12-01,10.45,64000,0(0.00 %),549720,35182080,0,0,64000,64000,64000
