Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-10-01,12.13,33000,2.1(6.80 %),236460,7651000000,0,0,31500,33000,31100
2015-10-02,12.31,33500,0.5(1.52 %),57350,1917000000,0,0,33000,34300,33000
2015-10-05,12.86,35000,1.5(4.48 %),275190,9502000000,0,0,33500,35000,33500
2015-10-06,13.38,36400,1.4(4.00 %),228850,8426000000,0,0,37300,37300,36000
2015-10-07,13.23,36000,-0.4(-1.10 %),204010,7344000000,0,0,36400,36400,35500
2015-10-08,13.23,36000,0(0.00 %),163690,5796000000,0,0,35500,36000,34600
2015-10-09,12.93,35200,-0.8(-2.22 %),97100,3419000000,0,0,36000,36000,34800
2015-10-12,12.86,35000,-0.2(-0.57 %),83520,2917000000,0,0,34200,35300,34000
2015-10-13,13.08,35600,0.6(1.71 %),96370,3420000000,0,0,35000,35700,35000
2015-10-14,13.12,35700,0.1(0.28 %),184950,6594000000,0,0,35700,35800,35600
2015-10-15,13.38,36400,0.7(1.96 %),165540,5973000000,200000,7140000000,35500,36400,35500
2015-10-16,13.63,37100,0.7(1.92 %),374950,13773000000,0,0,37100,37100,36300
2015-10-19,13.82,37600,0.5(1.35 %),204350,7646000000,0,0,37100,37700,37100
2015-10-20,13.85,37700,0.1(0.27 %),201770,7612000000,80000,3032000000,37600,37900,37600
2015-10-21,13.63,37100,-0.6(-1.59 %),429360,15897000000,105000,3950500000,37700,37700,36700
2015-10-22,13.71,37300,0.2(0.54 %),132100,4898000000,0,0,37000,37300,36700
2015-10-23,13.6,37000,-0.3(-0.80 %),127720,4747000000,0,0,37300,37500,37000
2015-10-26,13.41,36500,-0.5(-1.35 %),143630,5282000000,0,0,37200,37200,36500
2015-10-27,13.41,36500,0(0.00 %),43090,1558000000,0,0,35000,36500,35000
2015-10-28,13.34,36300,-0.2(-0.55 %),36220,1318000000,0,0,36300,36600,36300
2015-10-29,13.41,36500,0.2(0.55 %),40170,1458000000,0,0,36100,36500,35800
2015-10-30,13.34,36300,-0.2(-0.55 %),14530,526000000,80000,2958400000,36200,36500,36000
2015-11-02,13.38,36400,0.1(0.28 %),105520,3830000000,34500,1275810000,35800,36400,35800
2015-11-03,13.54,33850,0.41(1.24 %),42640,1417000000,0,0,33850,33850,33850
2015-11-04,13.82,34200,0.7(2.09 %),100490,3401000000,0,0,33500,34200,33500
2015-11-05,14.03,34700,0.5(1.46 %),103970,3592000000,0,0,34200,34700,34200
2015-11-06,14.03,34700,0(0.00 %),12610,435000000,0,0,34600,34700,34500
2015-11-09,14.03,34700,0(0.00 %),41540,1437000000,0,0,34500,34700,34400
2015-11-10,14.03,34700,0(0.00 %),9650,334000000,0,0,34300,34700,34300
2015-11-11,13.82,34200,-0.5(-1.44 %),23000,784000000,0,0,34400,34600,33700
2015-11-12,13.94,34500,0.3(0.88 %),8990,307000000,0,0,34000,34500,34000
2015-11-13,13.82,34200,-0.3(-0.87 %),4490,154000000,0,0,34400,34500,34000
2015-11-16,13.78,34100,-0.1(-0.29 %),6310,215000000,0,0,34000,34500,33200
2015-11-17,13.66,33800,-0.3(-0.88 %),12270,409000000,0,0,32700,34100,32100
2015-11-18,13.34,33000,-0.8(-2.37 %),3540,116000000,0,0,33000,33500,32200
2015-11-19,13.14,32500,-0.5(-1.52 %),520,17000000,0,0,32500,32500,32500
2015-11-20,13.34,33000,0.5(1.54 %),38280,1265000000,0,0,32500,34700,32000
2015-11-23,13.34,33000,0(0.00 %),21140,660000000,0,0,31200,34000,31200
2015-11-24,13.26,32800,-0.2(-0.61 %),37450,1227000000,0,0,33000,33000,31500
2015-11-25,13.26,32800,0(0.00 %),34370,1121000000,0,0,32800,32800,31700
2015-11-26,12.93,32000,-0.8(-2.44 %),32040,1043000000,0,0,32800,32800,32000
2015-11-27,12.93,32000,0(0.00 %),36590,1178000000,0,0,33000,33000,31800
