Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-22,13.85,148500,-16.4(-9.95 %),9800,1515950000,0,0,148500,165000,148500
2006-12-25,12.99,139300,-15.4(-9.95 %),9500,1334950000,0,0,140000,145000,139300
2006-12-26,11.8,129500,-14(-9.96 %),17000,2154500000,0,0,129500,129500,129500
2006-12-27,11.82,126700,0(0.00 %),44500,5411670000,0,0,117600,126700,117600
2006-12-28,11.75,126000,4.4(3.62 %),26100,3289310000,0,0,128000,128000,125000
2006-12-29,11.66,125000,-1(-0.79 %),35100,4437250000,0,0,127500,128000,125000
2007-01-02,11.18,119900,-6.5(-5.14 %),16700,1980480000,0,0,125000,126000,116200
2007-01-03,10.13,111500,-10(-8.43 %),51700,0,0,0,111500,118000,111500
2007-01-04,10.73,115000,6.4(5.89 %),87800,9601560000,0,0,108600,115000,102000
2007-01-05,11.19,120000,10.6(9.69 %),29800,0,0,0,120000,120300,116000
2007-01-08,12.29,128400,11.8(9.83 %),107500,2967600000,0,0,128400,128400,128400
2007-01-09,12.45,133500,1.7(1.29 %),34600,4631120000,0,0,136000,141000,132000
2007-01-10,11.94,128000,-5.8(-4.33 %),92200,12334090000,0,0,135000,136000,128000
2007-01-11,11.76,126100,-7.7(-5.75 %),17900,2334970000,0,0,135000,135000,126100
2007-01-12,11.76,126100,-4.3(-3.30 %),29700,3803540000,0,0,130000,130000,126100
2007-01-15,11.19,120000,-8.1(-6.32 %),34200,4111040000,0,0,128600,128600,117300
2007-01-16,11.66,125000,4.8(3.99 %),90800,11059740000,0,0,120000,126000,120000
2007-01-17,11.19,120000,-0.2(-0.17 %),55700,6800870000,0,0,123000,126000,118500
2007-01-18,11.19,120000,-2.1(-1.72 %),42000,5065100000,0,0,120000,123000,120000
2007-01-19,11.52,123500,2.9(2.40 %),81900,10094750000,0,0,121000,125000,120000
2007-01-22,10.45,114900,-11.3(-9.16 %),28600,3415200000,0,0,124000,130000,114900
2007-01-23,11.01,118000,-1.4(-1.17 %),46500,5428750000,0,0,119800,119800,115000
2007-01-24,11.19,120000,3.3(2.83 %),90500,10755430000,0,0,120000,125000,118000
2007-01-25,11.1,119000,0.2(0.17 %),55900,6530460000,0,0,124000,125100,115000
2007-01-26,11.29,121000,4.2(3.60 %),91300,10859410000,0,0,116000,121000,116000
2007-01-29,11.65,124900,6(5.05 %),115000,14280110000,0,0,125000,127000,122500
2007-01-30,12.59,133600,10.8(8.70 %),148700,19262100000,0,0,125000,133600,125000
2007-01-31,13.28,142400,12.9(9.96 %),61800,8796640000,0,0,142400,142400,140000
2007-02-01,14.6,152400,14.2(9.98 %),53200,8325800000,0,0,152400,152400,152400
2007-02-02,14.93,160000,3.5(2.24 %),137000,22679000000,0,0,167500,167500,155000
2007-02-05,13.9,149000,-16.5(-9.97 %),63400,9643890000,0,0,169000,170000,149000
2007-02-06,13.06,140000,-12.1(-7.96 %),85900,11930920000,0,0,152000,152000,138600
2007-02-07,14.24,149800,13.8(9.94 %),46200,6918130000,0,0,140000,149800,140000
2007-02-08,13.81,148000,-1.7(-1.14 %),40400,5934210000,0,0,155000,155000,142000
2007-02-09,13.15,141000,-5.9(-4.02 %),30700,4323840000,0,0,146000,146000,137600
2007-02-12,13.53,145000,4.2(2.98 %),30600,4427110000,0,0,145000,146000,140100
2007-02-13,13.52,144900,0.2(0.14 %),33000,4778270000,0,0,150000,150000,144000
2007-02-14,13.9,149000,4.2(2.90 %),53200,7833650000,0,0,149000,150000,144800
2007-02-15,14.05,150600,3.4(2.31 %),26400,4004340000,0,0,153000,155000,150000
2007-02-26,15.49,161100,14.3(9.43 %),121600,19679280000,0,0,161100,161100,158500
2007-02-27,15.67,168000,6.2(3.83 %),93400,15768480000,0,0,170000,177000,160000
2007-02-28,14.74,158000,-10.8(-6.40 %),74200,11998390000,0,0,165000,168000,158000
2007-03-01,14.74,158000,-3.7(-2.29 %),49100,7785210000,0,0,157000,160000,157000
2007-03-02,15.02,161000,2.4(1.51 %),34000,5473410000,0,0,165000,165000,157000
2007-03-05,15.86,170000,9(5.59 %),57100,9668950000,0,0,172300,172300,166000
2007-03-06,16.0,171500,2.2(1.30 %),60400,10372230000,0,0,172000,177000,161000
2007-03-07,15.67,168000,-3.7(-2.15 %),39200,6722200000,0,0,175000,175000,168000
2007-03-08,15.66,167900,-3.6(-2.10 %),23300,3924590000,0,0,171900,171900,166000
2007-03-09,15.58,167000,-1.4(-0.83 %),47500,7967550000,0,0,168000,169800,165000
2007-03-12,14.93,160000,-7.7(-4.59 %),61800,9963100000,0,0,162000,167000,155300
2007-03-13,14.74,158000,-3.2(-1.99 %),54500,8632960000,0,0,160000,160500,157000
2007-03-14,13.86,148000,-9.8(-6.21 %),31100,4615360000,0,0,150000,150000,146900
2007-03-15,13.58,145000,-3.4(-2.29 %),35700,5031550000,0,0,148000,148000,137600
