Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-12-23,2.54,13900,0.9(6.92 %),1000,13900000,0,0,13900,13900,13900
2008-12-24,2.71,14800,0.9(6.47 %),200,2960000,0,0,14800,14800,14800
2008-12-25,2.89,15800,1(6.76 %),100,1580000,0,0,15800,15800,15800
2008-12-26,3.09,16900,1.1(6.96 %),3900,65400000,0,0,16300,16900,16300
2008-12-29,3.28,17900,1.1(6.55 %),1500,26850000,0,0,17900,17900,17900
2008-12-30,3.5,19100,1.2(6.70 %),400,7640000,0,0,19100,19100,19100
2008-12-31,3.26,17800,-1.3(-6.81 %),3700,70000000,0,0,20400,20400,17800
2009-01-02,3.46,18900,0(0.00 %),1400,24890000,0,0,17600,18900,17600
2009-01-05,3.28,17900,0.1(0.56 %),500,8950000,0,0,17900,17900,17900
2009-01-06,3.28,17900,0(0.00 %),0,0,0,0,17900,17900,17900
2009-01-07,3.06,16700,-1.2(-6.70 %),500,8510000,0,0,17500,17500,16700
2009-01-08,3.11,17000,0(0.00 %),200,3400000,0,0,17000,17000,17000
2009-01-09,3.28,17900,0.9(5.29 %),900,14730000,0,0,15900,17900,15900
2009-01-12,2.8,16650,-1.1(-6.71 %),200,3230000,0,0,17000,17000,16650
2009-01-13,2.93,16000,-0.2(-1.23 %),300,4620000,0,0,15100,16000,15100
2009-01-14,2.64,14900,-1(-6.49 %),900,12960000,0,0,14900,14900,14900
2009-01-15,2.75,15000,0.6(4.17 %),700,10580000,0,0,15400,15400,15000
2009-01-16,2.84,15500,0.4(2.65 %),700,11010000,0,0,15500,16050,15500
2009-01-19,2.93,16000,0.3(1.91 %),200,3200000,0,0,16000,16000,16000
2009-01-20,2.97,16200,0.2(1.25 %),100,1620000,0,0,16200,16200,16200
2009-01-21,2.93,16000,-0.2(-1.23 %),100,1600000,0,0,16000,16000,16000
2009-01-22,2.75,15000,-1(-6.25 %),400,5990000,0,0,14900,15000,14900
2009-01-23,2.56,14000,-1(-6.67 %),2200,30960000,0,0,14200,14200,14000
2009-02-02,2.47,13500,-0.6(-4.26 %),1000,13500000,0,0,13500,13500,13500
2009-02-03,2.64,14400,0.9(6.67 %),300,4140000,0,0,12600,14400,12600
2009-02-04,2.56,14000,0.2(1.45 %),600,8320000,0,0,13800,14000,13800
2009-02-05,2.53,13800,-0.1(-0.72 %),300,4160000,0,0,14000,14000,13800
2009-02-06,2.6,14200,0.3(2.16 %),100,1420000,0,0,14200,14200,14200
2009-02-09,2.75,15000,0.8(5.63 %),100,1500000,0,0,15000,15000,15000
2009-02-10,2.75,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2009-02-11,2.84,15500,0.5(3.33 %),100,1550000,0,0,15500,15500,15500
2009-02-12,2.84,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2009-02-13,2.84,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2009-02-16,2.65,14500,-1(-6.45 %),1500,22710000,0,0,15200,15500,14500
2009-02-17,2.58,14100,-1(-6.62 %),400,5640000,0,0,14100,14100,14100
2009-02-18,2.58,14100,0(0.00 %),0,0,0,0,14100,14100,14100
2009-02-19,2.56,14000,-0.1(-0.71 %),500,7000000,0,0,14000,14000,14000
2009-02-20,2.65,14500,0.5(3.57 %),100,1450000,0,0,14500,14500,14500
2009-02-23,2.65,14500,0(0.00 %),5000,72500000,0,0,14500,14500,14500
2009-02-24,2.56,14000,-0.5(-3.45 %),500,7000000,0,0,14500,14500,14000
2009-02-25,2.56,14000,0(0.00 %),0,0,0,0,14000,14000,14000
2009-02-26,2.54,13900,-0.1(-0.71 %),500,6950000,0,0,14000,14000,13900
2009-02-27,2.54,13900,0(0.00 %),0,0,0,0,13900,13900,13900
2009-03-02,2.38,13000,-0.9(-6.47 %),200,2600000,0,0,13900,13900,13000
2009-03-03,2.29,12500,-0.5(-3.85 %),1000,12500000,0,0,13000,13000,12500
2009-03-04,2.29,12500,0(0.00 %),0,0,0,0,12500,12500,12500
2009-03-05,2.43,13300,0.8(6.40 %),2000,26600000,0,0,12500,13300,12500
2009-03-06,2.43,13300,0(0.00 %),0,0,0,0,13300,13300,13300
2009-03-09,2.38,13000,-0.3(-2.26 %),1500,19500000,0,0,13300,13300,13000
2009-03-10,2.38,13000,0(0.00 %),0,0,0,0,13000,13000,13000
2009-03-11,2.47,13500,0.5(3.85 %),1100,14850000,0,0,13000,13500,13000
2009-03-12,2.47,13500,0(0.00 %),1100,14890000,0,0,13500,13900,13500
2009-03-13,2.47,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2009-03-16,2.47,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2009-03-17,2.47,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2009-03-18,2.56,14000,0.5(3.70 %),6500,91540000,0,0,13500,14400,13500
2009-03-19,2.69,14700,0.6(4.26 %),500,7350000,0,0,14100,14700,14100
2009-03-20,2.69,14700,0(0.00 %),0,0,0,0,14700,14700,14700
2009-03-23,2.51,13700,-1(-6.80 %),200,2740000,0,0,14700,14700,13700
2009-03-24,2.34,12800,-0.9(-6.57 %),8100,104640000,0,0,13700,13700,12800
2009-03-25,2.53,13700,0.9(6.98 %),2800,35400000,0,0,12900,13700,12000
2009-03-26,2.16,12850,-0.8(-6.35 %),5300,62540000,0,0,12850,12850,12850
2009-03-27,2.16,11800,0(0.00 %),0,0,0,0,11800,11800,11800
2009-03-30,2.31,12600,0.8(6.78 %),200,2520000,0,0,12600,12600,12600
2009-03-31,2.45,13400,0.8(6.35 %),3400,45560000,0,0,13400,13400,13400
2009-04-01,2.58,14100,0.7(5.22 %),5000,70470000,0,0,14000,14100,14000
2009-04-02,2.75,15000,0.9(6.38 %),1000,15000000,0,0,15000,15000,15000
