Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-10-06,5.72,16200,-0.8(-4.71 %),100,1620000,0,0,16200,16200,16200
2011-10-07,5.43,15400,-0.8(-4.94 %),1070,16598000,0,0,16200,16200,15400
2011-10-10,5.19,14700,-0.7(-4.55 %),170,2499000,0,0,14700,14700,14700
2011-10-11,4.94,14000,-0.7(-4.76 %),350,4900000,0,0,14000,14000,14000
2011-10-12,4.69,13300,-0.7(-5.00 %),510,6783000,0,0,13300,13300,13300
2011-10-13,4.48,12700,-0.6(-4.51 %),30,381000,0,0,12700,12700,12700
2011-10-14,4.27,12100,-0.6(-4.72 %),150,1815000,0,0,12100,12100,12100
2011-10-17,4.06,11500,-0.6(-4.96 %),20,230000,0,0,11500,11500,11500
2011-10-18,3.88,11000,-0.5(-4.35 %),20,220000,0,0,11000,11000,11000
2011-10-19,3.7,10500,-0.5(-4.55 %),20,210000,0,0,10500,10500,10500
2011-10-20,3.53,10000,-0.5(-4.76 %),10,100000,0,0,10000,10000,10000
2011-10-21,3.35,9500,-0.5(-5.00 %),40,390000,0,0,10000,10000,9500
2011-10-24,3.21,9100,-0.4(-4.21 %),300,2730000,0,0,9100,9100,9100
2011-10-25,3.07,8700,-0.4(-4.40 %),2420,21054000,0,0,8700,8700,8700
2011-10-26,2.93,8300,-0.4(-4.60 %),70,585000,0,0,8700,8700,8300
2011-10-27,2.79,7900,-0.4(-4.82 %),4070,32153000,0,0,7900,7900,7900
2011-10-28,2.89,8200,0.3(3.80 %),9540,75768000,0,0,7900,8200,7900
2011-10-31,3.03,8600,0.4(4.88 %),8290,69822000,0,0,8200,8600,8200
2011-11-01,3.18,9000,0.4(4.65 %),300,2700000,0,0,9000,9000,9000
2011-11-02,3.32,9400,0.4(4.44 %),3300,29620000,0,0,9000,9400,8600
2011-11-03,3.18,9000,-0.4(-4.26 %),3540,32068000,0,0,9000,9400,9000
2011-11-04,3.18,9000,0(0.00 %),2070,18714000,0,0,9400,9400,8800
2011-11-07,3.18,9000,0(0.00 %),970,8410000,0,0,9000,9000,8600
2011-11-08,3.25,9200,0.2(2.22 %),10,92000,0,0,9200,9200,9200
2011-11-09,3.28,9300,0.1(1.09 %),1110,10256000,0,0,9200,9300,8800
2011-11-10,3.14,8900,-0.4(-4.30 %),1110,9882000,0,0,9200,9200,8900
2011-11-11,3.0,8500,-0.4(-4.49 %),310,2635000,0,0,8500,8500,8500
2011-11-14,3.0,8500,0(0.00 %),30,255000,0,0,8900,8900,8100
2011-11-15,3.0,8500,0(0.00 %),40,337000,0,0,8600,8600,8100
2011-11-16,2.86,8100,-0.4(-4.71 %),1050,8515000,0,0,8300,8300,8100
2011-11-17,2.72,7700,-0.4(-4.94 %),990,7643000,0,0,7700,8100,7700
2011-11-18,2.61,7400,-0.3(-3.90 %),820,6068000,0,0,7400,7400,7400
2011-11-21,2.5,7100,-0.3(-4.05 %),200,1420000,0,0,7100,7100,7100
2011-11-22,2.4,6800,-0.3(-4.23 %),210,1428000,0,0,6800,6800,6800
2011-11-23,2.29,6500,-0.3(-4.41 %),10,65000,0,0,6500,6500,6500
2011-11-24,2.29,6500,0(0.00 %),350,2188000,0,0,6200,6800,6200
2011-11-25,2.33,6600,0.1(1.54 %),90,594000,0,0,6600,6600,6600
2011-11-28,2.43,6900,0.3(4.55 %),10,69000,0,0,6900,6900,6900
2011-11-29,2.5,7100,0.2(2.90 %),520,3563000,0,0,7200,7200,6600
2011-11-30,2.58,7300,0.2(2.82 %),10,73000,0,0,7300,7300,7300
2011-12-01,2.65,7500,0.2(2.74 %),10,75000,0,0,7500,7500,7500
2011-12-02,2.54,7200,-0.3(-4.00 %),400,2910000,0,0,7200,7500,7200
2011-12-05,2.58,7300,0.1(1.39 %),140,1023000,0,0,7400,7400,7300
2011-12-06,2.65,7500,0.2(2.74 %),170,1249000,0,0,7300,7500,7300
2011-12-07,2.65,7500,0(0.00 %),0,0,0,0,7500,7500,7500
2011-12-08,2.61,7400,-0.1(-1.33 %),50,370000,0,0,7400,7400,7400
2011-12-09,2.61,7400,0(0.00 %),0,0,0,0,7400,7400,7400
2011-12-12,2.61,7400,0(0.00 %),0,0,0,0,7400,7400,7400
2011-12-13,2.61,7400,0(0.00 %),90,666000,0,0,7400,7400,7400
2011-12-14,2.61,7400,0(0.00 %),20,148000,0,0,7400,7400,7400
2011-12-15,2.54,7200,-0.2(-2.70 %),20,144000,0,0,7200,7200,7200
2011-12-16,2.54,7200,0(0.00 %),20,144000,0,0,7200,7200,7200
2011-12-19,2.54,7200,0(0.00 %),20,144000,0,0,7200,7200,7200
2011-12-20,2.54,7200,0(0.00 %),50,360000,0,0,7200,7200,7200
2011-12-21,2.54,7200,0(0.00 %),0,0,0,0,7200,7200,7200
2011-12-22,2.54,7200,0(0.00 %),10,72000,0,0,7200,7200,7200
2011-12-23,2.54,7200,0(0.00 %),50,360000,0,0,7200,7200,7200
2011-12-26,2.54,7200,0(0.00 %),10,72000,0,0,7200,7200,7200
2011-12-27,2.54,7200,0(0.00 %),50,360000,0,0,7200,7200,7200
2011-12-28,2.54,7200,0(0.00 %),20,144000,0,0,7200,7200,7200
2011-12-29,2.65,7500,0.3(4.17 %),1750,12681000,0,0,7200,7500,7200
2011-12-30,2.75,7800,0.3(4.00 %),2820,21171000,0,0,7500,7800,7400
2012-01-03,2.82,8000,0.2(2.56 %),30,240000,0,0,8000,8000,8000
2012-01-04,2.68,7600,-0.4(-5.00 %),40,322000,0,0,8200,8200,7600
2012-01-05,2.75,7800,0.2(2.63 %),40,312000,0,0,7800,7800,7800
2012-01-06,2.65,7500,-0.3(-3.85 %),10,75000,0,0,7500,7500,7500
2012-01-09,2.68,7600,0.1(1.33 %),70,527000,0,0,7500,7600,7500
2012-01-10,2.72,7700,0.1(1.32 %),190,1432000,0,0,7600,7700,7500
2012-01-11,2.61,7400,-0.3(-3.90 %),40,305000,0,0,7700,7700,7400
