Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2019-01-16,7.08,11750,0.75(6.82 %),27940,319000000,0,0,11000,11750,11000
2019-01-17,7.56,12550,0.8(6.81 %),119080,1494000000,0,0,12550,12550,12550
2019-01-18,7.56,12550,0(0.00 %),50480,652000000,0,0,13100,13200,12550
2019-01-21,7.17,11900,-0.65(-5.18 %),13560,165000000,0,0,12550,12550,11900
2019-01-22,6.75,11200,-0.7(-5.88 %),44240,502000000,0,0,11600,11600,11200
2019-01-23,6.63,11000,-0.2(-1.79 %),32640,360000000,0,0,11000,11200,11000
2019-01-24,6.57,10900,-0.1(-0.91 %),25700,283000000,0,0,11000,11500,10900
2019-01-25,6.57,10900,0(0.00 %),49630,537000000,0,0,10800,11000,10700
2019-01-28,6.33,10500,-0.4(-3.67 %),14490,154000000,0,0,11000,11000,10500
2019-01-29,6.21,10300,-0.2(-1.90 %),17290,180000000,0,0,10500,10500,10300
2019-01-30,6.63,11000,0.7(6.80 %),13100,142000000,0,0,10500,11000,10500
2019-01-31,6.99,11600,0.6(5.45 %),13540,147000000,0,0,10300,11600,10300
2019-02-01,7.23,12000,0.4(3.45 %),26280,315000000,0,0,11800,12200,11800
2019-02-11,7.17,11900,-0.1(-0.83 %),19240,229000000,0,0,11900,12150,11200
2019-02-12,7.23,12000,0.1(0.84 %),6110,71000000,0,0,12200,12200,11600
2019-02-13,6.84,11350,-0.65(-5.42 %),12030,138000000,0,0,11450,12000,11350
2019-02-14,7.17,11900,0.55(4.85 %),44960,520000000,0,0,11400,11900,11400
2019-02-15,7.2,11950,0.05(0.42 %),710,8000000,0,0,12000,12000,11750
2019-02-18,7.05,11700,-0.25(-2.09 %),8130,95000000,0,0,11750,11850,11550
2019-02-19,6.93,11500,-0.2(-1.71 %),10110,117000000,0,0,11500,11750,11500
2019-02-20,7.05,11700,0.2(1.74 %),240,3000000,0,0,11500,11800,11500
2019-02-21,7.05,11700,0(0.00 %),11650,135000000,0,0,11400,11800,11400
2019-02-22,6.84,11350,-0.35(-2.99 %),4700,54000000,0,0,11200,11650,11200
2019-02-25,6.9,11450,0.1(0.88 %),6120,70000000,0,0,11750,11750,11300
2019-02-26,6.87,11400,-0.05(-0.44 %),26740,305000000,0,0,11350,11600,11300
2019-02-27,6.84,11350,-0.05(-0.44 %),9660,110000000,0,0,11400,11400,11350
2019-02-28,6.69,11100,-0.25(-2.20 %),28330,318000000,0,0,11300,11300,11100
2019-03-01,6.84,11350,0.25(2.25 %),6140,69000000,0,0,11400,11400,11200
2019-03-04,6.84,11350,0(0.00 %),34570,390000000,20000,220000000,11300,11350,11200
2019-03-05,6.93,11500,0.15(1.32 %),56010,631000000,0,0,11350,11500,11100
2019-03-06,6.99,11600,0.1(0.87 %),33470,389000000,0,0,11300,11800,11300
