Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2024-01-10,20.84,24400,-1.1(-4.31 %),359660,9031586000,0,0,26000,26500,24000
2024-01-11,20.24,23700,-1.4(-5.58 %),201929,4883978400,0,0,24800,24900,23600
2024-01-12,19.73,23100,-1.1(-4.55 %),213092,4952165900,0,0,24000,24000,23000
2024-01-15,20.33,23800,0.6(2.59 %),193918,4522360500,214038,4237952400,23000,24000,21500
2024-01-16,20.58,24100,0.8(3.43 %),44305,1056958000,0,0,23800,24100,23500
2024-01-17,20.24,23700,-0.2(-0.84 %),44329,1058658500,234531,4784432400,24000,24000,23600
2024-01-18,20.16,23600,-0.3(-1.26 %),13306,315132200,0,0,23700,23800,23500
2024-01-19,20.41,23900,0.2(0.84 %),79800,1887640000,152280,3076056000,23600,24000,23300
2024-01-22,19.82,23200,-0.5(-2.11 %),131697,3063681000,0,0,23500,23700,23000
2024-01-23,19.65,23000,-0.3(-1.29 %),68700,1582660000,0,0,23200,23200,22900
2024-01-24,19.56,22900,-0.1(-0.43 %),60646,1393811800,0,0,23000,23100,22800
2024-01-25,19.56,22900,-0.1(-0.43 %),14800,338610000,0,0,22800,22900,22800
2024-01-26,19.65,23000,0.1(0.44 %),63614,1462846100,0,0,22900,23500,22800
2024-01-29,19.73,23100,0.1(0.43 %),50900,1158830000,0,0,23000,23100,22600
2024-01-30,19.39,22700,-0.1(-0.44 %),20304,460161500,0,0,22700,23000,22500
2024-01-31,19.3,22600,-0.1(-0.44 %),56600,1276740000,0,0,22600,22600,22400
2024-02-01,19.3,22600,0(0.00 %),220770,4949910000,0,0,21700,22600,21600
2024-02-02,19.13,22400,0(0.00 %),28717,644754200,0,0,24200,24200,22200
2024-02-05,18.96,22200,-0.3(-1.33 %),42900,967710000,0,0,22800,23100,22200
2024-02-06,19.22,22500,-0.1(-0.44 %),47700,1078430000,0,0,22500,22800,22400
2024-02-07,19.3,22600,0(0.00 %),36700,820170000,0,0,22600,22600,22100
2024-02-15,19.05,22300,0(0.00 %),46520,1039926000,0,0,22300,23000,22300
2024-02-16,19.22,22500,0.1(0.45 %),30303,679667600,0,0,22500,22800,22300
2024-02-19,19.13,22400,0(0.00 %),77537,1722670400,0,0,22700,22700,22000
2024-02-20,18.79,22000,-0.2(-0.90 %),89450,1964950000,0,0,22200,22200,21800
2024-02-21,18.45,21600,-0.4(-1.82 %),83404,1803492000,0,0,22000,22000,21500
2024-02-22,18.45,21600,0(0.00 %),49743,1076178800,0,0,21600,21900,21500
2024-02-23,18.19,21300,-0.3(-1.39 %),112702,2418493000,0,0,21400,21700,21300
2024-02-26,18.19,21300,-0.2(-0.93 %),28802,615642000,0,0,21500,21500,21200
2024-02-27,18.02,21100,-0.3(-1.40 %),113142,2392911000,0,0,21400,21400,21000
2024-02-28,17.94,21000,-0.2(-0.94 %),59503,1255176900,0,0,21200,21200,21000
2024-02-29,18.02,21100,0(0.00 %),30334,639817200,0,0,22450,22450,20900
2024-03-01,18.11,21200,0.1(0.47 %),6732,142601000,0,0,21200,21500,21100
2024-03-04,18.02,21100,-0.1(-0.47 %),37900,804130000,0,0,21400,21500,21100
2024-03-05,18.28,21400,0.2(0.94 %),21400,455330000,0,0,21000,21400,21000
2024-03-06,18.28,21400,0.1(0.47 %),19800,421610000,0,0,21400,21400,21100
2024-03-07,18.19,21300,0(0.00 %),15750,335185000,0,0,21300,21300,21200
2024-03-08,18.19,21300,0(0.00 %),37000,778284600,0,0,21100,21300,21000
2024-03-11,17.94,21000,0(0.00 %),45200,953100000,0,0,21000,21300,20900
2024-03-12,18.11,21200,0.1(0.47 %),28800,606190000,0,0,21000,21200,21000
2024-03-13,18.71,21900,0.9(4.29 %),34211,739223100,0,0,21400,21900,21300
2024-03-14,18.62,21800,0.2(0.93 %),20710,445640000,0,0,22000,22000,21500
2024-03-15,19.05,22300,0.8(3.72 %),106333,2364060500,0,0,22000,23000,21800
2024-03-18,18.88,22100,-0.1(-0.45 %),53210,1160543000,0,0,22400,22500,21200
2024-03-19,18.79,22000,0.2(0.92 %),8610,188178000,0,0,22000,22000,21800
2024-03-20,18.79,22000,0.1(0.46 %),13001,286052000,0,0,21900,22400,21900
2024-03-21,18.88,22100,0.1(0.45 %),68008,1501620000,0,0,22000,22300,22000
2024-03-22,18.96,22200,0.1(0.45 %),95100,2109790000,0,0,22400,22400,22100
2024-03-25,18.79,22000,-0.2(-0.90 %),14654,322609000,0,0,22500,22500,22000
2024-03-26,18.71,21900,-0.1(-0.45 %),22300,489420000,0,0,22000,22000,21800
2024-03-27,18.71,21900,0(0.00 %),6000,131530000,0,0,22000,22000,21900
2024-03-28,18.53,21700,-0.2(-0.91 %),65900,1470210000,0,0,21800,22500,21700
2024-03-29,18.71,21900,-0.4(-1.79 %),44600,974270000,0,0,22300,22300,21800
2024-04-01,18.53,21700,-0.1(-0.46 %),42600,924720000,0,0,22000,22000,21700
2024-04-02,18.62,21800,0.1(0.46 %),33600,727180000,0,0,21700,21800,21500
2024-04-03,18.45,21600,0(0.00 %),30007,649661900,0,0,21700,21700,21600
2024-04-04,18.53,21700,0(0.00 %),12200,264670000,0,0,21700,21800,21600
2024-04-05,18.45,21600,-0.1(-0.46 %),3900,84410000,0,0,21600,21700,21600
2024-04-08,18.36,21500,-0.1(-0.46 %),11701,252082200,0,0,21600,21600,21500
2024-04-09,18.36,21500,0(0.00 %),121400,2629140000,0,0,21700,21800,21500
2024-04-10,18.53,21700,0(0.00 %),2400,52100000,0,0,21800,21800,21700
