Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-08-30,6.32,26500,-0.4(-1.49 %),47300,1253820000,0,0,29500,29500,26300
2006-08-31,6.37,26700,0.2(0.75 %),20400,543650000,0,0,26600,26700,26300
2006-09-01,6.44,27000,0.3(1.12 %),67200,1798640000,0,0,26900,27000,26500
2006-09-05,6.68,28000,1.2(4.48 %),38800,1074870000,0,0,27000,28000,27000
2006-09-06,6.87,28800,1.1(3.97 %),59900,1723690000,0,0,29950,29950,28300
2006-09-07,6.82,28600,-0.2(-0.69 %),62400,1801850000,0,0,29500,29500,28600
2006-09-08,6.85,28700,-0.2(-0.69 %),36800,1057450000,0,0,28600,29000,28600
2006-09-11,6.78,28400,-0.3(-1.05 %),22100,629930000,0,0,28800,28800,28400
2006-09-12,6.58,27600,-0.9(-3.16 %),13500,375230000,0,0,28400,28400,27500
2006-09-13,6.63,27800,0(0.00 %),17300,483150000,0,0,27800,28000,27800
2006-09-14,6.56,27500,-0.4(-1.43 %),34100,939360000,0,0,27500,27700,27500
2006-09-15,6.56,27500,0(0.00 %),18200,499970000,0,0,28000,28000,27400
2006-09-18,6.54,27400,-0.1(-0.36 %),19500,534810000,0,0,27500,27500,27300
2006-09-19,6.51,27300,-0.1(-0.36 %),24100,658480000,0,0,27500,27500,27200
2006-09-20,6.51,27300,0(0.00 %),11900,323580000,0,0,27300,27300,27000
2006-09-21,6.44,27000,-0.2(-0.74 %),33200,897200000,0,0,27100,27100,26800
2006-09-22,6.39,26800,-0.2(-0.74 %),4700,126100000,0,0,27000,27000,26800
2006-09-25,6.37,26700,-0.1(-0.37 %),27600,739410000,0,0,27000,27000,26500
2006-09-26,6.32,26500,-0.3(-1.12 %),24500,649450000,0,0,26700,26700,26400
2006-09-27,6.27,26300,-0.2(-0.75 %),55900,1473760000,0,0,26500,26500,26300
2006-09-28,6.3,26400,0(0.00 %),23300,612100000,0,0,26300,26400,26100
2006-09-29,6.32,26500,0.2(0.76 %),28000,738230000,0,0,26500,26500,26200
2006-10-02,6.3,26400,0(0.00 %),12100,318710000,0,0,26400,26500,26300
2006-10-03,6.23,26100,-0.2(-0.76 %),16200,424960000,0,0,27000,27000,26100
2006-10-04,6.2,26000,-0.2(-0.76 %),12700,330990000,0,0,26200,26200,26000
2006-10-05,6.23,26100,0(0.00 %),63900,1660000000,0,0,26200,26200,25800
2006-10-06,6.16,25800,-0.2(-0.77 %),36000,932160000,0,0,26000,26000,25800
2006-10-09,6.25,26200,0.3(1.16 %),28700,738960000,0,0,25700,26200,25600
2006-10-10,6.18,25900,0.2(0.78 %),22700,588160000,0,0,25600,26000,25600
2006-10-11,6.2,26000,0.1(0.39 %),12700,329920000,0,0,25500,26000,25500
2006-10-12,6.13,25700,-0.3(-1.15 %),10200,262900000,0,0,26000,26000,25700
2006-10-13,6.08,25500,-0.3(-1.16 %),26500,681820000,0,0,25700,25800,25500
2006-10-16,5.96,25000,-0.7(-2.72 %),5300,133040000,0,0,25300,25300,25000
2006-10-17,5.85,24500,-0.6(-2.39 %),8800,217240000,0,0,24800,24800,24500
2006-10-18,5.77,24200,-0.5(-2.02 %),5300,127760000,0,0,24500,24500,24000
2006-10-19,5.73,24000,-0.1(-0.41 %),25200,605400000,0,0,24200,24200,24000
2006-10-20,5.77,24200,0.2(0.83 %),17300,414070000,0,0,24000,24200,23700
2006-10-23,5.73,24000,0.1(0.42 %),2100,50400000,0,0,24000,24000,24000
2006-10-24,5.73,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2006-10-25,5.73,24000,0(0.00 %),1000,24000000,0,0,24000,24000,24000
2006-10-26,5.73,24000,0(0.00 %),0,0,0,0,24000,24000,24000
2006-10-27,5.77,24200,0.2(0.83 %),5300,128910000,0,0,24500,24500,24200
2006-10-30,5.73,24000,-0.3(-1.23 %),6100,147400000,0,0,24300,24300,24000
2006-10-31,5.75,24100,-0.1(-0.41 %),6200,149150000,0,0,24000,24200,24000
2006-11-01,5.73,24000,-0.1(-0.41 %),9500,228120000,0,0,24100,24100,24000
2006-11-02,5.73,24000,0(0.00 %),9200,221000000,0,0,24000,24100,24000
2006-11-03,5.7,23900,-0.1(-0.42 %),11100,265490000,0,0,24000,24000,23900
2006-11-06,5.68,23800,-0.1(-0.42 %),8600,205090000,0,0,23900,23900,23800
2006-11-07,5.73,24000,0.2(0.84 %),9500,226870000,0,0,23800,24000,23800
2006-11-08,5.73,24000,0.1(0.42 %),5700,136800000,0,0,24000,24000,24000
2006-11-09,5.7,23900,-0.1(-0.42 %),17700,424050000,0,0,24000,24100,23900
2006-11-10,5.73,24000,0(0.00 %),23600,566160000,0,0,24000,24200,23900
2006-11-13,5.7,23900,-0.1(-0.42 %),15900,381510000,0,0,24000,24100,23900
2006-11-14,5.7,23900,-0.1(-0.42 %),15200,363020000,0,0,23900,24000,23800
2006-11-15,5.73,24000,0.1(0.42 %),24800,595000000,0,0,24000,24100,23800
2006-11-16,5.7,23900,-0.1(-0.42 %),10000,239530000,0,0,23900,24000,23900
2006-11-17,5.7,23900,-0.1(-0.42 %),28300,676210000,0,0,23900,23900,23800
2006-11-20,5.75,24100,0.2(0.84 %),30500,732010000,0,0,24000,24100,23900
2006-11-21,5.77,24200,0.2(0.83 %),25800,617600000,0,0,23900,24200,23900
2006-11-22,6.23,25900,2.2(9.21 %),33600,860440000,0,0,24500,25900,24500
2006-11-23,6.7,27950,2.5(9.77 %),148700,4160160000,0,0,26200,27950,26100
2006-11-27,6.8,28500,-1.8(-5.94 %),62600,1887640000,0,0,30050,30050,27800
2006-11-28,6.49,27200,-3(-9.93 %),13800,378290000,0,0,29000,29000,27200
2006-12-01,6.35,26600,0.7(2.70 %),19100,509570000,0,0,27000,27000,26200
2006-12-06,6.13,25700,0.2(0.78 %),14200,363100000,0,0,25500,26000,25200
