Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-06-05,15.12,96000,-6.4(-6.25 %),1357500,136004000000,332000,34212600000,99100,106000,96000
2018-06-06,14.49,92000,-4(-4.17 %),1605480,149273000000,296200,28146740000,95000,96000,91000
2018-06-07,15.49,98400,6.4(6.96 %),1376540,133518000000,100000,9588000000,94500,98400,93100
2018-06-08,16.56,105200,6.8(6.91 %),2008500,208546000000,0,0,101000,105200,99500
2018-06-11,17.16,109000,3.8(3.61 %),1229830,131239000000,0,0,104800,109000,103200
2018-06-12,16.53,105000,-4(-3.67 %),1139130,119534000000,44500,5188700000,108000,108000,102900
2018-06-13,16.6,105400,0.4(0.38 %),772670,81435000000,115660,12988618000,105000,108000,104500
2018-06-14,16.53,105000,-0.4(-0.38 %),617130,64816000000,175000,19722500000,106500,106500,103500
2018-06-15,16.56,105200,0.2(0.19 %),723460,75845000000,1835473,206123617900,105500,105500,103500
2018-06-18,15.74,100000,-5.2(-4.94 %),825810,84139000000,1216997,124024494300,104100,105000,98000
2018-06-19,14.96,95000,-5(-5.00 %),2092720,195913000000,2109000,225663000000,95100,97000,93000
2018-06-20,14.99,95200,0.2(0.21 %),554870,52735000000,22000,1958000000,95000,96500,93100
2018-06-21,14.99,95200,0(0.00 %),497790,46936000000,0,0,95400,95400,93300
2018-06-22,14.96,95000,-0.2(-0.21 %),328710,31006000000,0,0,95100,95100,93600
2018-06-25,15.1,95900,0.9(0.95 %),918340,88228000000,181000,18046400000,96000,97000,95700
2018-06-26,14.96,95000,-0.9(-0.94 %),493790,46844000000,0,0,94400,95500,94200
2018-06-27,14.74,93600,-1.4(-1.47 %),394860,37123000000,0,0,93500,95000,93500
2018-06-28,14.52,92200,-1.4(-1.50 %),1319230,120962000000,89000,8908900000,93000,93500,88500
2018-06-29,14.44,91700,-0.5(-0.54 %),1583700,143625000000,171300,16890180000,91000,92000,87000
2018-07-02,13.84,87900,-3.8(-4.14 %),669570,59374000000,0,0,91800,91800,87000
2018-07-03,12.88,81800,-6.1(-6.94 %),2112230,174442000000,964382,83322470000,87500,88300,81800
2018-07-04,12.75,81000,-0.8(-0.98 %),1102650,86048000000,993117,75576203700,80500,81000,76100
2018-07-05,13.3,75300,1.15(4.26 %),1583450,45290000000,0,0,75300,75300,75300
2018-07-06,13.6,28800,0.65(2.31 %),1160990,32803000000,0,0,28000,29000,27000
2018-07-09,13.46,28500,-0.3(-1.04 %),631240,18031000000,62660,1929928000,29000,29200,27850
2018-07-10,13.06,27650,-0.85(-2.98 %),549100,15383000000,0,0,28500,28500,27500
2018-07-11,12.16,25750,-1.9(-6.87 %),1134570,29636000000,480000,14184000000,27100,27100,25750
2018-07-12,12.28,26000,0.25(0.97 %),686180,17682000000,167900,4625645000,26000,26000,25100
2018-07-13,12.38,26200,0.2(0.77 %),406500,10651000000,22400,622720000,26400,26500,26000
2018-07-16,12.38,26200,0(0.00 %),430160,11198000000,0,0,26000,26200,25750
2018-07-17,12.8,27100,0.9(3.44 %),1174520,31371000000,0,0,26200,27500,25700
2018-07-18,13.2,27950,0.85(3.14 %),1139340,31966000000,0,0,27500,28500,27300
2018-07-19,13.18,27900,-0.05(-0.18 %),680430,18920000000,28000,837200000,28000,28000,27500
2018-07-20,13.18,27900,0(0.00 %),1473990,40599000000,44200,1319370000,27900,27900,27200
2018-07-23,12.57,26600,-1.3(-4.66 %),878370,23959000000,42320,1263252000,26600,27850,26600
