Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-05-29,3.99,14500,-1(-6.45 %),207850,3117000000,836025,12373170000,16000,16000,14500
2017-05-30,4.27,15500,1(6.90 %),431520,6551000000,3298500,44579750000,14200,15500,14200
2017-05-31,4.35,15800,0.3(1.94 %),217970,3447000000,0,0,15500,16000,15500
2017-06-01,4.35,15800,0(0.00 %),145790,2327000000,40000,588000000,15850,16300,15800
2017-06-02,4.21,15300,-0.5(-3.16 %),106380,1631000000,0,0,15300,15700,15100
2017-06-05,4.16,15100,-0.2(-1.31 %),323430,4783000000,0,0,15000,15800,14500
2017-06-06,4.16,15100,0(0.00 %),185100,2797000000,340000,4964000000,15100,15350,15000
2017-06-07,4.16,15100,0(0.00 %),131010,1989000000,300000,4440000000,15500,15500,15100
2017-06-08,4.19,15200,0.1(0.66 %),202290,3070000000,150000,2190000000,15200,15400,15000
2017-06-09,4.48,16250,1.05(6.91 %),442270,7078000000,536000,7852400000,15600,16250,15150
2017-06-12,4.63,16800,0.55(3.38 %),247680,4145000000,0,0,17100,17100,16250
2017-06-13,4.63,16800,0(0.00 %),165320,2792000000,219000,3663500000,17700,17700,16600
2017-06-14,4.63,16800,0(0.00 %),275460,4598000000,0,0,16500,16900,16500
2017-06-15,4.63,16800,0(0.00 %),503990,8304000000,0,0,16800,17100,16000
2017-06-16,4.74,17200,0.4(2.38 %),194300,3274000000,0,0,16600,17200,16550
2017-06-19,4.6,16700,-0.5(-2.91 %),62890,1064000000,0,0,16800,17000,16700
2017-06-20,4.6,16700,0(0.00 %),124660,2071000000,635266,10164256000,16600,16800,16500
2017-06-21,4.63,16800,0.1(0.60 %),79650,1344000000,0,0,16800,17000,16700
2017-06-22,4.9,17800,1(5.95 %),237730,4156000000,0,0,17100,17950,17100
2017-06-23,4.9,17800,0(0.00 %),144270,2560000000,0,0,17650,17900,17650
2017-06-26,4.87,17700,-0.1(-0.56 %),212320,3762000000,0,0,17050,18000,17050
2017-06-27,4.87,17700,0(0.00 %),251940,4466000000,0,0,17600,18200,17500
2017-06-28,4.96,18000,0.3(1.69 %),244480,4342000000,0,0,17700,18200,17500
2017-06-29,4.94,17950,-0.05(-0.28 %),145810,2594000000,0,0,18000,18100,17600
2017-06-30,4.94,17950,0(0.00 %),70220,1252000000,459000,8170200000,17950,17950,17600
2017-07-03,4.94,17950,0(0.00 %),191870,3431000000,0,0,17750,18200,17700
2017-07-04,4.86,17650,-0.3(-1.67 %),140600,2502000000,0,0,17700,18000,17650
2017-07-05,5.15,17650,1(6.01 %),238610,4086000000,0,0,17500,17800,16400
2017-07-06,5.2,17800,0.15(0.85 %),184470,3365000000,0,0,17400,18500,17400
2017-07-07,5.17,17700,-0.1(-0.56 %),56910,1009000000,0,0,17600,18000,17500
2017-07-10,5.11,17500,-0.2(-1.13 %),143180,2449000000,0,0,17700,17700,16950
2017-07-11,5.05,17300,-0.2(-1.14 %),115030,1960000000,0,0,17200,17400,16900
2017-07-12,5.08,17400,0.1(0.58 %),344820,5949000000,0,0,17200,17500,16800
2017-07-13,5.08,17400,0(0.00 %),235920,4056000000,0,0,17400,17500,16950
2017-07-14,4.92,16850,-0.55(-3.16 %),183620,3146000000,0,0,17400,17400,16850
2017-07-17,4.9,16800,-0.05(-0.30 %),243970,4066000000,0,0,16850,16900,16500
2017-07-18,4.88,16700,-0.1(-0.60 %),129150,2136000000,0,0,16800,16850,16400
2017-07-19,4.9,16800,0.1(0.60 %),153530,2549000000,0,0,16700,16900,16400
2017-07-20,4.9,16800,0(0.00 %),124950,2065000000,0,0,16500,16950,16400
2017-07-21,4.86,16650,-0.15(-0.89 %),65060,1053000000,0,0,16500,16850,16100
2017-07-24,4.86,16650,0(0.00 %),130450,2112000000,0,0,16200,16650,15600
2017-07-25,4.79,16400,-0.25(-1.50 %),77200,1259000000,0,0,16650,16650,16050
2017-07-26,4.82,16500,0.1(0.61 %),139690,2294000000,0,0,16400,16700,16000
2017-07-27,4.82,16500,0(0.00 %),124780,2037000000,0,0,16500,16700,16000
2017-07-28,4.76,16300,-0.2(-1.21 %),70250,1135000000,0,0,16500,16500,15900
2017-07-31,4.77,16350,0.05(0.31 %),159740,2576000000,0,0,16000,16350,15800
2017-08-01,4.8,16450,0.1(0.61 %),187260,3079000000,0,0,16500,16800,16350
2017-08-02,4.76,16300,-0.15(-0.91 %),115820,1888000000,0,0,16300,16450,16000
2017-08-03,4.76,16300,0(0.00 %),205020,3346000000,0,0,16300,16400,16200
2017-08-04,4.77,16350,0.05(0.31 %),156120,2565000000,0,0,16300,16750,16200
2017-08-07,4.64,15900,-0.45(-2.75 %),136710,2211000000,0,0,16100,16400,15900
2017-08-08,4.58,15700,-0.2(-1.26 %),116440,1844000000,0,0,16000,16000,15600
2017-08-09,4.58,15700,0(0.00 %),78190,1225000000,0,0,15600,15800,15500
2017-08-10,4.58,15700,0(0.00 %),67230,1051000000,0,0,15500,15750,15500
2017-08-11,4.58,15700,0(0.00 %),269580,4194000000,0,0,15500,16000,15300
2017-08-14,4.55,15600,-0.1(-0.64 %),133400,2072000000,0,0,15700,15700,15500
2017-08-15,4.55,15600,0(0.00 %),113600,1762000000,0,0,15600,15600,15300
2017-08-16,4.55,15600,0(0.00 %),111600,1734000000,130000,2028000000,15500,15600,15400
2017-08-17,4.52,15500,-0.1(-0.64 %),165200,2561000000,0,0,15600,15600,15400
2017-08-18,4.52,15500,0(0.00 %),33300,512000000,0,0,15500,15500,15300
2017-08-21,4.64,15900,0.4(2.58 %),210820,3279000000,190000,2945000000,15500,16000,15400
2017-08-22,4.64,15900,0(0.00 %),52600,832000000,0,0,15500,15900,15500
2017-08-23,4.66,15950,0.05(0.31 %),59110,939000000,0,0,15900,16000,15800
2017-08-24,4.67,16000,0.05(0.31 %),45270,719000000,0,0,15900,16000,15600
2017-08-25,4.67,16000,0(0.00 %),53920,859000000,0,0,15700,16200,15700
2017-08-28,4.7,16100,0.1(0.62 %),159220,2557000000,0,0,15800,16200,15800
2017-08-29,4.73,16200,0.1(0.62 %),200860,3234000000,0,0,15750,16200,15750
2017-08-30,4.67,16000,-0.2(-1.23 %),66470,1065000000,0,0,16500,16500,15900
2017-08-31,4.82,16500,0.5(3.12 %),540540,8705000000,0,0,16000,16500,15950
2017-09-01,5.15,17650,1.15(6.97 %),326400,5586000000,310000,4805000000,16100,17650,16100
2017-09-05,5.46,18700,1.05(5.95 %),331550,6102000000,0,0,18000,18800,17800
2017-09-06,5.33,18250,-0.45(-2.41 %),221100,4048000000,0,0,18650,18700,18000
2017-09-07,5.43,18600,0.35(1.92 %),303450,5532000000,0,0,17700,18600,17700
2017-09-08,5.43,18600,0(0.00 %),160350,2934000000,0,0,18600,18600,18000
2017-09-11,5.34,18300,-0.3(-1.61 %),140070,2576000000,0,0,18300,18600,18100
2017-09-12,5.4,18500,0.2(1.09 %),201290,3678000000,0,0,17950,18500,17900
2017-09-13,5.5,18850,0.35(1.89 %),244930,4539000000,0,0,18300,18850,18300
2017-09-14,5.55,19000,0.15(0.80 %),151930,2874000000,20000,360000000,18850,19000,18750
2017-09-15,5.55,19000,0(0.00 %),103200,1949000000,0,0,18900,19000,18700
2017-09-18,5.72,19600,0.6(3.16 %),195420,3769000000,0,0,19000,19700,18900
2017-09-19,5.66,19400,-0.2(-1.02 %),140570,2704000000,0,0,19600,19600,19000
2017-09-20,5.59,19150,-0.25(-1.29 %),178270,3433000000,0,0,19400,19500,19000
2017-09-21,5.49,18800,-0.35(-1.83 %),168340,3186000000,0,0,19100,19250,18750
2017-09-22,5.53,18950,0.15(0.80 %),188530,3558000000,0,0,18600,19100,18600
2017-09-25,5.58,19100,0.15(0.79 %),173910,3309000000,20000,360000000,19000,19400,18800
2017-09-26,5.6,19200,0.1(0.52 %),171250,3250000000,0,0,19100,19400,18700
2017-09-27,5.62,19250,0.05(0.26 %),130720,2504000000,0,0,19100,19250,18800
2017-09-28,5.55,19000,-0.25(-1.30 %),124140,2369000000,0,0,19250,19400,18950
2017-09-29,5.56,19050,0.05(0.26 %),191910,3654000000,0,0,18900,19200,18800
2017-10-02,5.31,18200,-0.85(-4.46 %),109090,2066000000,0,0,19050,19100,18200
2017-10-03,5.39,18450,0.25(1.37 %),122690,2230000000,0,0,18150,18500,17950
2017-10-04,5.43,18600,0.15(0.81 %),102630,1901000000,0,0,18400,18700,18400
2017-10-05,5.49,18800,0.2(1.08 %),112380,2107000000,0,0,18600,19000,18600
2017-10-06,5.52,18900,0.1(0.53 %),105100,1981000000,0,0,18700,19000,18700
2017-10-09,5.53,18950,0.05(0.26 %),141260,2673000000,0,0,18800,19100,18800
2017-10-10,5.46,18700,-0.25(-1.32 %),149310,2793000000,0,0,19000,19000,18500
2017-10-11,5.43,18600,-0.1(-0.53 %),124800,2340000000,0,0,18600,18900,18600
2017-10-12,5.4,18500,-0.1(-0.54 %),107470,1990000000,107000,1926000000,18500,18700,18400
2017-10-13,5.39,18450,-0.05(-0.27 %),90880,1673000000,0,0,18400,18600,18350
2017-10-16,5.39,18450,0(0.00 %),52260,963000000,0,0,18450,18500,18300
2017-10-17,5.31,18200,-0.25(-1.36 %),64310,1172000000,0,0,18450,18450,18000
2017-10-18,5.25,18000,-0.2(-1.10 %),48320,873000000,0,0,18200,18200,17800
2017-10-19,5.25,18000,0(0.00 %),45410,817000000,0,0,18000,18100,17500
2017-10-20,5.25,18000,0(0.00 %),45890,830000000,0,0,18000,18400,17900
2017-10-23,5.23,17900,-0.1(-0.56 %),217740,3888000000,0,0,17900,18300,17200
2017-10-24,5.17,17700,-0.2(-1.12 %),41020,727000000,0,0,17900,18000,17500
2017-10-25,5.11,17500,-0.2(-1.13 %),39250,690000000,0,0,17700,17800,17500
2017-10-26,5.08,17400,-0.1(-0.57 %),35960,625000000,0,0,17500,17650,17300
2017-10-27,4.99,17100,-0.3(-1.72 %),27720,475000000,0,0,17400,17450,16700
2017-10-30,4.9,16800,-0.3(-1.75 %),65450,1120000000,55000,943250000,17100,17300,16800
2017-10-31,4.9,16800,0(0.00 %),10960,182000000,0,0,16800,16900,16500
2017-11-01,4.9,16800,0(0.00 %),2670,45000000,0,0,16800,16900,16800
2017-11-02,4.93,16900,0.1(0.60 %),6730,112000000,0,0,16700,16900,16400
2017-11-03,5.25,18000,1.1(6.51 %),48560,839000000,0,0,16900,18000,16900
2017-11-06,5.2,17800,-0.2(-1.11 %),14310,257000000,0,0,18000,18100,17700
2017-11-07,5.2,17800,0(0.00 %),106540,1859000000,0,0,17700,17900,17400
2017-11-08,5.23,17900,0.1(0.56 %),100730,1776000000,0,0,17800,18000,17600
2017-11-09,5.14,17600,-0.3(-1.68 %),103280,1838000000,0,0,17800,17900,17600
2017-11-10,5.14,17600,0(0.00 %),100030,1752000000,93000,1627500000,17500,17600,16900
2017-11-13,4.96,17000,-0.6(-3.41 %),112400,1955000000,102000,1774800000,17500,17500,16500
2017-11-14,5.08,17400,0.4(2.35 %),2350,41000000,0,0,17000,17400,17000
2017-11-15,5.02,17200,-0.2(-1.15 %),11690,202000000,0,0,17200,17600,17100
2017-11-16,5.05,17300,0.1(0.58 %),4400,76000000,0,0,17200,17400,16900
2017-11-17,5.08,17400,0.1(0.58 %),24060,415000000,20500,352600000,17200,17400,17200
2017-11-20,5.11,17500,0.1(0.57 %),198630,3412000000,48000,835200000,17400,17600,17000
2017-11-21,5.11,17500,0(0.00 %),61210,1066000000,0,0,17400,17600,17100
2017-11-22,5.08,17400,-0.1(-0.57 %),26240,456000000,0,0,17500,17500,17300
2017-11-23,5.08,17400,0(0.00 %),19490,337000000,2000000,34000000000,17400,17500,17200
2017-11-24,4.96,17000,-0.4(-2.30 %),73070,1255000000,75010,1335178000,17400,17400,17000
2017-11-27,5.08,17400,0.4(2.35 %),25850,448000000,0,0,17000,17400,17000
2017-11-28,5.11,17500,0.1(0.57 %),26560,461000000,0,0,17400,17600,17200
2017-11-29,5.08,17400,-0.1(-0.57 %),42440,734000000,0,0,17500,17500,17200
2017-11-30,5.06,17350,-0.05(-0.29 %),36180,623000000,0,0,17400,17400,17000
2017-12-01,5.05,17300,-0.05(-0.29 %),36750,634000000,0,0,17350,17400,17200
2017-12-04,5.02,17200,-0.1(-0.58 %),45230,774000000,0,0,17300,17400,16700
2017-12-05,5.02,17200,0(0.00 %),35220,604000000,0,0,17200,17250,17000
2017-12-06,5.02,17200,0(0.00 %),34780,597000000,0,0,17200,17300,17000
2017-12-07,5.02,17200,0(0.00 %),59630,1019000000,0,0,17200,17200,17000
2017-12-08,4.99,17100,-0.1(-0.58 %),38710,655000000,0,0,17200,17200,16500
2017-12-11,4.96,17000,-0.1(-0.58 %),61100,1042000000,0,0,17100,17200,16950
2017-12-12,4.96,17000,0(0.00 %),35590,605000000,0,0,17000,17100,16800
2017-12-13,4.99,17100,0.1(0.59 %),55320,941000000,0,0,17000,17300,16900
2017-12-14,5.08,17400,0.3(1.75 %),46310,797000000,0,0,17100,17400,17100
2017-12-15,5.09,17450,0.05(0.29 %),35750,622130000,0,0,17500,17700,17250
2017-12-18,5.34,18300,0.85(4.87 %),106960,1879000000,0,0,17450,18300,17300
2017-12-19,5.34,18300,0(0.00 %),70070,1287000000,0,0,18300,18700,18000
2017-12-20,5.28,18100,-0.2(-1.09 %),53620,978000000,0,0,18300,18400,17900
2017-12-21,5.25,18000,-0.1(-0.55 %),42170,755000000,0,0,18100,18300,17600
2017-12-22,5.25,18000,0(0.00 %),42350,765000000,0,0,18000,18300,18000
2017-12-25,5.25,18000,0(0.00 %),38630,697000000,0,0,18000,18300,17800
