Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-10-06,8.21,19250,1.25(6.94 %),14250,274000000,0,0,19250,19250,19250
2016-10-07,8.76,20550,1.3(6.75 %),30910,635000000,0,0,20550,20550,20550
2016-10-10,9.36,21950,1.4(6.81 %),450360,9885000000,0,0,21950,21950,21950
2016-10-11,10.0,23450,1.5(6.83 %),799790,18755000000,0,0,23450,23450,23450
2016-10-12,10.68,25050,1.6(6.82 %),1130610,28322000000,0,0,25050,25050,25050
2016-10-13,11.43,26800,1.75(6.99 %),3145880,84309000000,0,0,26800,26800,26750
2016-10-14,12.22,28650,1.85(6.90 %),2242380,64138000000,0,0,28500,28650,28000
2016-10-17,13.07,30650,2(6.98 %),1428260,43769000000,0,0,30600,30650,30400
2016-10-18,13.97,32750,2.1(6.85 %),1439460,47138000000,0,0,32750,32750,32700
2016-10-19,13.01,30500,-2.25(-6.87 %),1389260,43592000000,0,0,34950,34950,30500
2016-10-20,12.11,28400,-2.1(-6.89 %),805310,22871000000,0,0,28400,28400,28400
2016-10-21,12.37,29000,0.6(2.11 %),3892820,105046000000,0,0,26450,29550,26450
2016-10-24,12.64,29650,0.65(2.24 %),1239320,36308000000,0,0,29100,29850,29050
2016-10-25,12.13,28450,-1.2(-4.05 %),1387380,40066000000,0,0,29750,30600,27900
2016-10-26,12.15,28500,0.05(0.18 %),2192960,59476000000,0,0,27000,28500,26550
2016-10-27,12.71,29800,1.3(4.56 %),1137290,33327000000,0,0,28650,29850,28650
2016-10-28,12.88,30200,0.4(1.34 %),1771130,52319000000,0,0,28100,30400,28100
2016-10-31,12.07,28300,-1.9(-6.29 %),557560,16006000000,0,0,28300,29850,28100
2016-11-01,12.07,28300,0(0.00 %),941280,25646000000,0,0,26700,28800,26350
2016-11-02,11.24,26350,-1.95(-6.89 %),733570,19740000000,0,0,28350,28350,26350
2016-11-03,10.47,24550,-1.8(-6.83 %),280160,6898000000,0,0,24550,25400,24550
2016-11-04,10.11,23700,-0.85(-3.46 %),1020320,23932000000,0,0,22850,23950,22850
2016-11-07,9.4,22050,-1.65(-6.96 %),179850,4012000000,0,0,23000,24000,22050
2016-11-08,10.04,23550,1.5(6.80 %),1175430,25881000000,0,0,20550,23550,20550
2016-11-09,10.17,23850,0.3(1.27 %),1376620,32808000000,0,0,23650,24550,22500
2016-11-10,10.19,23900,0.05(0.21 %),617110,15114000000,0,0,23950,25500,23900
2016-11-11,9.49,22250,-1.65(-6.90 %),610960,13933000000,0,0,22500,23900,22250
2016-11-14,9.32,21850,-0.4(-1.80 %),910960,19750000000,0,0,22000,22100,21000
2016-11-15,9.51,22300,0.45(2.06 %),717210,15925000000,0,0,21900,22350,21900
2016-11-16,9.64,22600,0.3(1.35 %),1183670,26872000000,0,0,22400,22950,22400
2016-11-17,9.51,22300,-0.3(-1.33 %),775880,17281000000,0,0,22000,22600,22000
2016-11-18,9.94,23300,1(4.48 %),1545900,35313000000,0,0,22400,23450,22400
2016-11-21,9.96,23350,0.05(0.21 %),265960,6246000000,0,0,23500,24800,23350
2016-11-22,10.0,23450,0.1(0.43 %),1039110,24494000000,0,0,23350,23850,23350
2016-11-23,9.47,22200,-1.25(-5.33 %),352320,7852000000,0,0,23450,23800,21850
2016-11-24,9.04,21200,-1(-4.50 %),282950,6067000000,0,0,22200,22450,21000
2016-11-25,8.74,20500,-0.7(-3.30 %),260410,5332000000,0,0,21200,21400,19800
2016-11-28,8.23,19300,-1.2(-5.85 %),164100,3218000000,0,0,20550,20600,19100
2016-11-29,8.81,20650,1.35(6.99 %),377890,7423000000,0,0,18100,20650,18050
2016-11-30,8.85,20750,0.1(0.48 %),410010,8701000000,0,0,20800,22000,20400
2016-12-01,8.4,19700,-1.05(-5.06 %),152600,3029000000,0,0,20750,20750,19500
2016-12-02,8.19,19200,-0.5(-2.54 %),338550,6484000000,0,0,18700,19700,18700
2016-12-05,8.75,18650,1.2(6.87 %),403940,7506000000,0,0,18000,18650,18000
2016-12-06,8.77,18700,0.05(0.27 %),447500,8487000000,0,0,18800,19400,18650
2016-12-07,8.96,19100,0.4(2.14 %),457640,8472000000,0,0,18100,19150,18100
2016-12-08,9.29,19800,0.7(3.66 %),541740,10529000000,0,0,19500,19800,19100
2016-12-09,9.29,19800,0(0.00 %),395990,7731000000,0,0,19300,19800,19300
2016-12-12,8.75,18650,-1.15(-5.81 %),154710,2957000000,0,0,19300,19500,18650
2016-12-13,8.21,17500,-1.15(-6.17 %),115150,2055000000,0,0,18350,18450,17500
2016-12-14,8.23,17550,0.05(0.29 %),188730,3316000000,0,0,17100,18200,16900
2016-12-15,8.26,17600,0.05(0.28 %),254330,4449000000,0,0,17450,17650,17300
