Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-25,6.57,41000,0(0.00 %),106960,4311224000,0,0,39800,41500,39000
2009-12-28,6.52,40700,-0.3(-0.73 %),20770,835965000,0,0,41000,41500,39000
2009-12-29,6.49,40500,-0.2(-0.49 %),49170,1971980000,0,0,39100,40500,39100
2009-12-30,6.41,40000,-0.5(-1.23 %),34930,1398241000,0,0,40000,40400,39400
2009-12-31,6.61,41300,1.3(3.25 %),103820,4272193000,0,0,40500,42000,40100
2010-01-04,6.65,41500,0.2(0.48 %),62160,2606398000,0,0,42500,42500,41000
2010-01-05,6.66,41600,0.1(0.24 %),127890,5398224000,0,0,42700,43000,41600
2010-01-06,6.98,43600,2(4.81 %),131360,5673623000,0,0,41700,43600,41700
2010-01-07,7.32,45700,2.1(4.82 %),21830,997631000,0,0,45700,45700,45700
2010-01-08,7.67,47900,2.2(4.81 %),149840,7177336000,0,0,47900,47900,47900
2010-01-11,8.01,50000,2.1(4.38 %),303270,15099968000,0,0,50000,50000,48000
2010-01-12,7.61,47500,-2.5(-5.00 %),316980,16249995000,0,0,52500,52500,47500
2010-01-13,7.97,49800,2.3(4.84 %),117560,5705298000,0,0,47500,49800,45500
2010-01-14,7.69,48000,-1.8(-3.61 %),51060,2521796000,0,0,50500,50500,47800
2010-01-15,7.53,47000,-1(-2.08 %),158230,7433561000,0,0,46600,47500,46600
2010-01-18,7.15,43700,-2.2(-4.94 %),85190,3693774000,0,0,45000,46000,43700
2010-01-19,7.15,42300,0(0.00 %),70630,3028230000,0,0,43000,44400,41000
2010-01-20,7.1,42000,-0.3(-0.71 %),50540,2122627000,0,0,43000,43000,41500
2010-01-21,6.77,40000,-2(-4.76 %),54730,2221887000,0,0,41500,41500,40000
2010-01-22,6.77,40000,0(0.00 %),35480,1385884000,0,0,39000,40200,38500
2010-01-25,6.46,38200,-1.8(-4.50 %),60510,2333806000,0,0,39000,40000,38000
2010-01-26,6.78,40100,1.9(4.97 %),43210,1730216000,0,0,39500,40100,39500
2010-01-27,6.77,40000,-0.1(-0.25 %),67050,2727505000,0,0,41200,41600,40000
2010-01-28,6.6,39000,-1(-2.50 %),8140,317283000,0,0,38300,40000,38300
2010-01-29,6.63,39200,0.2(0.51 %),14550,563635000,0,0,38200,39500,38200
2010-02-01,6.68,39500,0.3(0.77 %),7770,303538000,0,0,39200,39800,38000
2010-02-02,6.6,39000,-0.5(-1.27 %),30110,1173288000,0,0,39000,39200,38600
2010-02-03,6.65,39300,0.3(0.77 %),31300,1224922000,0,0,39300,39500,38900
2010-02-04,6.77,40000,0.7(1.78 %),32850,1309513000,0,0,39500,40900,39200
2010-02-05,6.68,39500,-0.5(-1.25 %),19180,758543000,0,0,39600,40000,39200
2010-02-08,6.68,39500,0(0.00 %),27760,1085830000,0,0,39100,39500,39000
2010-02-09,6.6,39000,-0.5(-1.27 %),20410,796025000,0,0,39600,39600,39000
2010-02-10,6.53,38600,-0.4(-1.03 %),1060,40959000,0,0,39400,39400,38600
2010-02-11,6.6,39000,0.4(1.04 %),13870,539563000,0,0,39300,39300,38500
2010-02-12,6.77,40000,1(2.56 %),16070,635894000,0,0,39500,40900,39400
2010-02-22,6.85,40500,0.5(1.25 %),3280,133095000,0,0,41000,41000,40500
