Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-10-08,1.82,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2009-10-09,1.82,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2009-10-12,1.82,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2009-10-13,2.01,10700,1(10.00 %),10,110000,0,0,10000,10700,10000
2009-10-14,2.01,11000,0(0.00 %),0,0,0,0,11000,11000,11000
2009-10-15,2.01,11000,0(0.00 %),2350,25850000,0,0,11000,11000,11000
2009-10-16,2.19,11750,1(9.09 %),1150,13800000,0,0,11000,11750,11000
2009-10-19,2.37,12850,1(8.33 %),0,0,0,0,12000,12850,12000
2009-10-20,2.59,13900,1.2(9.23 %),1000,14200000,0,0,13000,13900,13000
2009-10-21,2.59,13700,0(0.00 %),0,0,0,0,13700,13700,13700
2009-10-22,2.84,14650,1.3(9.49 %),1020,15300000,0,0,13700,14650,13700
2009-10-23,3.12,16050,1.5(10.00 %),20,330000,10000,135000000,15000,16050,15000
2009-10-26,3.06,16200,-0.3(-1.82 %),1000,16200000,0,0,16500,16500,16200
2009-10-27,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-10-28,3.03,16000,0(0.00 %),0,0,0,0,16000,16000,16000
2009-10-29,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-10-30,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-02,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-03,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-04,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-05,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-06,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-09,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-10,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-11,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-12,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2009-11-13,3.06,16200,0(0.00 %),0,0,0,0,16200,16200,16200
