Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-05-05,5.01,37800,1.8(5.00 %),590,22302000,0,0,37800,37800,37800
2010-05-06,5.25,39600,1.8(4.76 %),870,34452000,0,0,39600,39600,39600
2010-05-07,5.5,41500,1.9(4.80 %),423600,17577800000,0,0,41500,41500,41400
2010-05-10,5.77,43500,2(4.82 %),34160,1485960000,0,0,43500,43500,43500
2010-05-11,6.05,45600,2.1(4.83 %),510,23256000,0,0,45600,45600,45600
2010-05-12,6.05,45600,0(0.00 %),371330,17064388000,0,0,46000,47700,45600
2010-05-13,5.75,43400,-2.2(-4.82 %),260590,11393436000,0,0,44800,45500,43400
2010-05-14,5.49,41400,-2(-4.61 %),97900,4088262000,0,0,43000,43400,41300
2010-05-17,5.49,41400,0(0.00 %),107530,4492306000,0,0,42200,42500,41400
2010-05-18,5.25,39600,-1.8(-4.35 %),122700,4921076000,0,0,41000,41400,39600
2010-05-19,5.0,37700,-1.9(-4.80 %),99110,3742249000,0,0,38000,40000,37700
2010-05-20,5.0,37700,0(0.00 %),118850,4304663000,0,0,36000,38000,35900
2010-05-21,4.76,35900,-1.8(-4.77 %),18340,658466000,0,0,35900,36200,35900
2010-05-24,4.57,34500,-1.4(-3.90 %),192470,6628227000,0,0,34800,35800,34200
2010-05-25,4.47,33700,-0.8(-2.32 %),134300,4586035000,0,0,34500,35400,33300
2010-05-26,4.68,35300,1.6(4.75 %),489670,17245282000,0,0,33700,35300,33700
2010-05-27,4.69,35400,0.1(0.28 %),118600,4149946000,0,0,34500,35500,34200
2010-05-28,4.92,37100,1.7(4.80 %),285700,10549612000,0,0,36700,37100,36600
2010-05-31,5.08,38300,1.2(3.23 %),207550,7968218000,0,0,37100,38900,36500
2010-06-01,5.08,38300,0(0.00 %),204990,7849231000,20000,800000000,38300,38600,36600
2010-06-02,5.08,38300,0(0.00 %),129320,4880662000,0,0,37000,38300,37000
2010-06-03,5.0,37700,-0.6(-1.57 %),148380,5666000000,0,0,39300,39300,37700
2010-06-04,4.91,37000,-0.7(-1.86 %),121320,4518554000,0,0,38000,38000,36700
2010-06-07,4.67,35200,-1.8(-4.86 %),141760,5002964000,0,0,36000,36000,35200
2010-06-08,4.65,35100,-0.1(-0.28 %),63830,2236041000,0,0,35200,35400,34000
2010-06-09,4.52,34100,-1(-2.85 %),116670,4041404000,0,0,35500,35600,34100
2010-06-10,4.65,35100,1(2.93 %),102130,3554050000,0,0,34000,35200,34000
2010-06-11,4.71,35500,0.4(1.14 %),105360,3751637000,0,0,36100,36100,35500
2010-06-14,4.93,37200,1.7(4.79 %),457470,16986039000,0,0,37000,37200,36900
2010-06-15,5.17,39000,1.8(4.84 %),316160,12221732000,0,0,38000,39000,37600
2010-06-16,5.42,40900,1.9(4.87 %),207640,8492476000,0,0,40900,40900,40900
2010-06-17,5.34,40300,-0.6(-1.47 %),340210,14068685000,0,0,41800,42400,40300
2010-06-18,5.21,39300,-1(-2.48 %),319000,12463088000,0,0,40500,40500,38300
2010-06-21,5.16,38900,-0.4(-1.02 %),155000,6032128000,0,0,39000,39300,38700
2010-06-22,5.02,37900,-1(-2.57 %),191350,7329428000,0,0,38900,38900,37900
2010-06-23,5.16,38900,1(2.64 %),162060,6327076000,0,0,37100,39700,37100
2010-06-24,5.09,38400,-0.5(-1.29 %),147560,5689329000,0,0,39900,39900,38200
2010-06-25,4.97,37500,-0.9(-2.34 %),281420,10636639000,20000,806000000,37500,38400,37500
2010-06-28,5.02,37900,0.4(1.07 %),57060,2146650000,0,0,38500,38500,37400
2010-06-29,5.01,37800,-0.1(-0.26 %),102800,3881584000,0,0,38400,38400,37400
2010-06-30,4.91,37000,-0.8(-2.12 %),67770,2500550000,0,0,36800,37000,36700
2010-07-01,4.88,36800,-0.2(-0.54 %),123230,4592541000,0,0,37500,37500,36800
2010-07-02,4.92,37100,0.3(0.82 %),73530,2721273000,0,0,36800,37500,36600
2010-07-05,4.96,37400,0.3(0.81 %),146820,5504881000,0,0,37100,38000,37100
2010-07-06,4.87,36700,-0.7(-1.87 %),77550,2850505000,0,0,37200,37400,36700
2010-07-07,4.73,35700,-1(-2.72 %),51120,1853658000,0,0,36700,36800,35700
2010-07-08,4.77,36000,0.3(0.84 %),175340,6301853000,0,0,36500,36500,35700
2010-07-09,4.79,36100,0.1(0.28 %),142140,5130607000,0,0,35800,36500,35800
2010-07-12,4.8,36200,0.1(0.28 %),37310,1350652000,0,0,36100,36800,36100
2010-07-13,5.04,38000,1.8(4.97 %),142940,5362361000,0,0,37500,38000,36600
2010-07-14,4.88,36800,-1.2(-3.16 %),213370,7930112000,0,0,38000,38000,36600
2010-07-15,4.84,36500,-0.3(-0.82 %),45600,1671748000,0,0,37400,37400,36500
2010-07-16,4.84,36500,0(0.00 %),68710,2515161000,0,0,36500,37000,36500
2010-07-19,4.84,36500,0(0.00 %),32120,1171040000,0,0,36400,36600,36400
2010-07-20,4.76,35900,-0.6(-1.64 %),97880,3535014000,0,0,36500,36500,35900
