Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-06-16,8.97,15400,1(6.94 %),708060,10904000000,0,0,15400,15400,15400
2017-06-19,8.36,14350,-1.05(-6.82 %),335190,4968000000,0,0,16000,16000,14350
2017-06-20,7.78,13350,-1(-6.97 %),35140,469000000,0,0,13350,13350,13350
2017-06-21,7.25,12450,-0.9(-6.74 %),2000,25000000,27200,387600000,12450,12450,12450
2017-06-22,6.76,11600,-0.85(-6.83 %),6040,70000000,0,0,11600,11600,11600
2017-06-23,6.29,10800,-0.8(-6.90 %),1424080,15380000000,0,0,10800,10800,10800
2017-06-26,6.67,11450,0.65(6.02 %),1471710,15876000000,0,0,10050,11450,10050
2017-06-27,6.21,10650,-0.8(-6.99 %),1287780,14397000000,0,0,11450,11700,10650
2017-06-28,6.06,10400,-0.25(-2.35 %),1799430,17966000000,0,0,9920,10450,9910
2017-06-29,6.38,10950,0.55(5.29 %),677090,7225000000,70000,745500000,10400,11000,10350
2017-06-30,6.15,10550,-0.4(-3.65 %),635570,6724000000,0,0,10700,10800,10450
2017-07-03,6.0,10300,-0.25(-2.37 %),432240,4478000000,0,0,10500,10500,10250
2017-07-04,6.0,10300,0(0.00 %),695380,7195000000,0,0,10300,10600,10000
2017-07-05,5.97,10250,-0.05(-0.49 %),801770,8228000000,0,0,10300,10500,10000
2017-07-06,5.86,10050,-0.2(-1.95 %),510330,5167000000,0,0,10250,10300,10000
2017-07-07,5.86,10050,0(0.00 %),459380,4638000000,0,0,10050,10250,9950
2017-07-10,5.89,10100,0.05(0.50 %),404120,4070000000,0,0,10050,10100,10000
2017-07-11,5.91,10150,0.05(0.50 %),345780,3496000000,0,0,10100,10200,10000
2017-07-12,5.86,10050,-0.1(-0.99 %),407930,4119000000,0,0,10100,10150,10050
2017-07-13,6.12,10500,0.45(4.48 %),1246500,12910000000,0,0,10000,10600,10000
2017-07-14,5.94,10200,-0.3(-2.86 %),909290,9137000000,0,0,9770,11000,9770
2017-07-17,5.94,10200,0(0.00 %),308780,3146000000,0,0,10200,10250,10150
2017-07-18,6.24,10700,0.5(4.90 %),1787570,18918000000,0,0,10200,10750,10050
2017-07-19,6.21,10650,-0.05(-0.47 %),161780,1730000000,0,0,10700,10750,10600
2017-07-20,6.18,10600,-0.05(-0.47 %),202500,2153000000,0,0,10650,10650,10600
2017-07-21,6.18,10600,0(0.00 %),384580,4064000000,0,0,10550,10650,10550
2017-07-24,6.15,10550,-0.05(-0.47 %),142820,1507000000,0,0,10600,10600,10500
2017-07-25,6.15,10550,0(0.00 %),130640,1378000000,0,0,10550,10600,10500
2017-07-26,5.97,10250,-0.3(-2.84 %),160350,1647000000,0,0,10550,10550,10200
2017-07-27,5.59,9600,-0.65(-6.34 %),109940,1106000000,0,0,10250,10250,9600
2017-07-28,5.21,8940,-0.66(-6.88 %),119550,1174000000,0,0,9000,10250,8930
2017-07-31,5.42,9300,0.36(4.03 %),237500,2268000000,0,0,9550,9560,9000
2017-08-01,5.8,9950,0.65(6.99 %),247910,2411000000,0,0,9950,9950,9000
2017-08-02,5.97,10250,0.3(3.02 %),140720,1345000000,0,0,10500,10500,9400
2017-08-03,5.94,10200,-0.05(-0.49 %),185750,1859000000,0,0,9560,10400,9560
2017-08-04,5.94,10200,0(0.00 %),200640,2004000000,0,0,10200,10200,9600
2017-08-07,6.32,10850,0.65(6.37 %),830710,8289000000,0,0,9900,10850,9500
2017-08-08,6.76,11600,0.75(6.91 %),386310,4120000000,0,0,10200,11600,10200
2017-08-09,7.23,12400,0.8(6.90 %),1180170,14628000000,0,0,12350,12400,12000
2017-08-10,7.31,12550,0.15(1.21 %),207280,2595000000,0,0,12550,12550,12500
2017-08-11,7.23,12400,-0.15(-1.20 %),175140,2183000000,0,0,12550,12600,12350
2017-08-14,7.28,12500,0.1(0.81 %),292320,3651000000,0,0,12400,12550,12400
2017-08-15,7.28,12500,0(0.00 %),162550,2032000000,0,0,12500,12550,12450
2017-08-16,7.31,12550,0.05(0.40 %),303860,3816000000,0,0,12450,12650,12400
2017-08-17,7.31,12550,0(0.00 %),204010,2557000000,0,0,12500,12600,12500
2017-08-18,7.34,12600,0.05(0.40 %),1083010,13832000000,0,0,12600,12950,12450
2017-08-21,7.84,13450,0.85(6.75 %),1427730,18750000000,0,0,12600,13450,12500
