Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-15,43.28,315000,15(5.00 %),845440,251350800,0,0,285000,315000,285000
2006-12-18,41.21,300000,-15(-4.76 %),265860,79758000,0,0,300000,300000,300000
2006-12-19,39.15,285000,-15(-5.00 %),26940,7677900,0,0,285000,285000,285000
2006-12-20,37.23,271000,-14(-4.91 %),16420,4449820,0,0,271000,271000,271000
2006-12-21,35.44,258000,-13(-4.80 %),2480,640740,0,0,267000,267000,258000
2006-12-22,33.8,246000,-12(-4.65 %),1530,376780,0,0,247000,247000,246000
2006-12-25,32.15,234000,-12(-4.88 %),1420,333480,0,0,246000,246000,234000
2006-12-26,30.64,223000,-11(-4.70 %),7320,1632360,0,0,223000,223000,223000
2006-12-27,29.13,212000,-11(-4.93 %),20170,4276040,0,0,212000,212000,212000
2006-12-28,27.75,202000,-10(-4.72 %),104850,21179700,0,0,202000,202000,202000
2006-12-29,26.38,192000,-10(-4.95 %),77860,14949120,0,0,192000,192000,192000
2007-01-02,25.14,183000,0(0.00 %),32230,5898000000,0,0,183000,183000,183000
2007-01-03,23.9,174000,-9(-4.92 %),20700,0,0,0,174000,174000,174000
2007-01-04,25.0,182000,8(4.60 %),516290,88485000000,0,0,182000,182000,166000
2007-01-05,26.24,191000,9(4.95 %),510280,0,0,0,191000,191000,191000
2007-01-08,27.48,200000,9(4.71 %),202610,17668000000,0,0,200000,200000,191000
2007-01-09,28.3,206000,6(3.00 %),233690,47142000000,0,0,200000,206000,195000
2007-01-10,27.48,200000,-6(-2.91 %),232550,46840000000,0,0,200000,206000,200000
2007-01-11,26.1,190000,-10(-5.00 %),101070,19462000000,0,0,195000,195000,190000
2007-01-12,25.55,186000,-4(-2.11 %),127110,23596000000,0,0,185000,186000,185000
2007-01-15,25.83,188000,2(1.08 %),98990,18559000000,0,0,185000,188000,185000
2007-01-16,27.06,197000,9(4.79 %),167700,33037000000,0,0,197000,197000,197000
2007-01-17,27.06,197000,0(0.00 %),283390,57951000000,0,0,206000,206000,197000
2007-01-18,27.06,197000,0(0.00 %),189370,37361000000,0,0,197000,199000,197000
2007-01-19,27.48,200000,3(1.52 %),97540,19821000000,0,0,200000,204000,200000
2007-01-22,28.85,210000,10(5.00 %),250220,52010000000,0,0,200000,210000,200000
2007-01-23,30.16,219000,9.5(4.53 %),93440,20463000000,0,0,219000,219000,219000
2007-01-24,28.78,209000,-10(-4.57 %),130520,29021000000,0,0,229000,229000,209000
2007-01-25,27.4,199000,-10(-4.78 %),70490,14028000000,0,0,199000,199000,199000
2007-01-26,26.17,190000,-9(-4.52 %),335060,63661000000,0,0,199000,199000,190000
2007-01-29,26.17,190000,0(0.00 %),181360,34458000000,0,0,190000,190000,190000
2007-01-30,27.4,199000,9(4.74 %),38950,7751000000,0,0,199000,199000,199000
2007-01-31,28.64,208000,9(4.52 %),136910,13691000000,0,0,199000,208000,199000
2007-02-01,30.02,218000,10(4.81 %),520530,52053000000,0,0,218000,218000,215000
2007-02-02,30.02,218000,0(0.00 %),229640,22964000000,0,0,218000,218000,218000
2007-02-05,28.64,208000,-10(-4.59 %),22150,4727000000,0,0,208000,218000,208000
2007-02-06,28.92,210000,2(0.96 %),60250,12578000000,0,0,210000,210000,208000
2007-02-07,27.68,201000,-9(-4.29 %),76830,15599000000,0,0,201000,205000,201000
2007-02-08,27.54,200000,-1(-0.50 %),47470,9524000000,0,0,200000,201000,200000
2007-02-09,27.54,200000,0(0.00 %),68180,13535000000,0,0,200000,200000,195000
2007-02-12,28.92,210000,10(5.00 %),64600,13566000000,0,0,210000,210000,210000
2007-02-13,28.92,210000,0(0.00 %),42690,9247000000,0,0,210000,218000,210000
2007-02-14,29.61,215000,5(2.38 %),88700,19022000000,0,0,215000,215000,210000
2007-02-15,30.3,220000,5(2.33 %),134980,30314000000,0,0,220000,225000,220000
2007-02-26,31.81,231000,11(5.00 %),90600,20929000000,0,0,231000,231000,231000
2007-02-27,33.33,242000,11(4.76 %),166680,40337000000,0,0,242000,242000,242000
2007-02-28,31.67,230000,-12(-4.96 %),43190,9956000000,0,0,230000,233000,230000
2007-03-01,30.57,222000,-8(-3.48 %),35460,7950000000,0,0,222000,230000,222000
2007-03-02,31.67,230000,8(3.60 %),88130,20196000000,0,0,220000,233000,220000
2007-03-05,31.54,229000,-1(-0.43 %),67800,15911000000,0,0,229000,241000,229000
2007-03-06,30.85,224000,-5(-2.18 %),21860,4873000000,0,0,224000,225000,221000
2007-03-07,30.85,224000,0(0.00 %),21100,4715000000,0,0,220000,224000,220000
2007-03-08,30.85,224000,0(0.00 %),44730,10020000000,0,0,224000,224000,224000
2007-03-09,31.4,228000,4(1.79 %),85200,19657000000,0,0,235000,235000,228000
2007-03-12,31.4,228000,0(0.00 %),141350,32713000000,0,0,224000,235000,224000
2007-03-13,29.88,217000,-11(-4.82 %),137100,30108000000,0,0,217000,228000,217000
2007-03-14,28.51,207000,-10(-4.61 %),56890,12192000000,0,0,207000,217000,207000
2007-03-15,27.54,200000,-7(-3.38 %),70090,13942000000,0,0,197000,200000,197000
2007-03-16,28.92,210000,10(5.00 %),52450,11015000000,0,0,210000,210000,210000
