Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-04-04,5.23,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2016-04-05,5.23,10000,0(0.00 %),27500,330200000,0,0,10700,10700,10000
2016-04-06,5.23,10000,-2(-16.67 %),0,0,0,0,10700,10700,10000
2016-04-07,5.23,10000,-2(-16.67 %),0,0,0,0,10700,10700,10000
2016-04-08,7.17,10700,1.7(14.17 %),100,1370000,0,0,10700,10700,10700
2016-04-11,8.11,14650,1.8(13.14 %),400,6210000,0,0,14650,14650,14650
2016-04-12,9.31,16600,2.3(14.84 %),1100,19580000,0,0,16600,16600,16600
2016-04-13,10.67,19050,2.6(14.61 %),2500,48920000,0,0,18000,19050,18000
2016-04-14,11.77,21850,2.9(14.80 %),1500,33750000,0,0,21850,21850,21850
2016-04-15,13.5,24100,3.3(14.67 %),300,7740000,0,0,24100,24100,24100
2016-04-19,15.38,27600,3.6(13.95 %),600,17710000,0,0,27600,27600,27600
2016-04-20,17.68,31450,4.3(14.58 %),100,3380000,0,0,31450,31450,31450
2016-04-21,18.31,35000,1.2(3.55 %),800,30660000,0,0,36150,36150,35000
2016-04-22,20.82,37450,1.5(3.92 %),800,31840000,0,0,37450,37450,37450
2016-04-25,20.4,39000,-0.8(-2.01 %),300,11800000,0,0,40000,40000,39000
2016-04-26,20.4,39000,-0.3(-0.76 %),0,0,0,0,39300,39300,39000
2016-04-27,20.4,39000,-0.3(-0.76 %),0,0,0,0,39300,39300,39000
2016-04-28,17.52,36250,-5.8(-14.76 %),200,6700000,0,0,36250,36250,36250
2016-04-29,17.52,33500,0(0.00 %),0,0,0,0,33500,33500,33500
2016-05-04,17.52,33500,0(0.00 %),0,0,0,0,33500,33500,33500
2016-05-05,14.91,31150,-5(-14.93 %),400,11400000,0,0,31150,31150,31150
2016-05-06,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-09,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-10,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-11,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-12,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-13,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-16,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-17,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-18,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-19,14.91,28500,0(0.00 %),0,0,0,0,28500,28500,28500
2016-05-20,12.71,26500,-4.2(-14.74 %),100,2430000,0,0,26500,26500,26500
2016-05-23,12.71,24300,0(0.00 %),0,0,0,0,24300,24300,24300
2016-05-24,12.71,24300,0(0.00 %),0,0,0,0,24300,24300,24300
2016-05-25,12.71,24300,0(0.00 %),0,0,0,0,24300,24300,24300
2016-05-26,12.71,24300,0(0.00 %),0,0,0,0,24300,24300,24300
2016-05-27,12.71,24300,0(0.00 %),0,0,0,0,24300,24300,24300
2016-05-30,12.71,24300,0(0.00 %),0,0,0,0,24300,24300,24300
2016-05-31,12.71,24300,0(0.00 %),0,0,0,0,24300,24300,24300
2016-06-01,10.83,22600,-3.6(-14.81 %),100,2070000,0,0,22600,22600,22600
2016-06-02,9.21,19250,-3.1(-14.98 %),200,3520000,0,0,19250,19250,19250
2016-06-03,7.85,16350,-2.6(-14.77 %),200,3000000,0,0,16350,16350,16350
2016-06-06,6.7,13950,-2.2(-14.67 %),100,1280000,30000,384000000,13950,13950,13950
2016-06-07,7.69,13700,1.9(14.84 %),100,1470000,0,0,13700,13700,13700
2016-06-08,7.69,14700,0(0.00 %),0,0,0,0,14700,14700,14700
2016-06-09,7.69,14700,0(0.00 %),0,0,0,0,14700,14700,14700
2016-06-10,8.84,15750,2.2(14.97 %),100,1690000,0,0,15750,15750,15750
2016-06-13,8.84,16900,0(0.00 %),0,0,0,0,16900,16900,16900
2016-06-14,8.84,16900,0(0.00 %),0,0,0,0,16900,16900,16900
2016-06-15,8.84,16900,0(0.00 %),0,0,0,0,16900,16900,16900
2016-06-16,10.15,18100,2.5(14.79 %),100,1940000,0,0,18100,18100,18100
2016-06-17,11.67,20750,2.9(14.95 %),200,4450000,0,0,20750,20750,20750
2016-06-20,11.67,22300,0(0.00 %),0,0,0,0,22300,22300,22300
2016-06-21,12.82,23850,2.2(9.87 %),100,2450000,0,0,23850,23850,23850
2016-06-22,12.82,24500,0(0.00 %),0,0,0,0,24500,24500,24500
2016-06-23,12.82,24500,0(0.00 %),0,0,0,0,24500,24500,24500
2016-06-24,13.6,26000,1.5(6.12 %),110,2809000,0,0,26000,26000,26000
2016-06-27,13.6,26000,0(0.00 %),0,0,0,0,26000,26000,26000
2016-06-28,13.6,26000,0(0.00 %),0,0,0,0,26000,26000,26000
2016-06-29,13.6,26000,0(0.00 %),0,0,0,0,26000,26000,26000
2016-06-30,13.6,26000,0(0.00 %),0,0,0,0,26000,26000,26000
2016-07-01,13.6,26000,0(0.00 %),0,0,0,0,26000,26000,26000
2016-07-04,11.56,24200,-3.9(-15.00 %),100,2210000,0,0,24200,24200,24200
2016-07-05,11.56,22100,0(0.00 %),0,0,0,0,22100,22100,22100
2016-07-06,11.56,22100,0(0.00 %),0,0,0,0,22100,22100,22100
2016-07-07,11.56,22100,0(0.00 %),0,0,0,0,22100,22100,22100
2016-07-08,9.99,20550,-3(-13.57 %),500,9550000,0,0,20550,20550,20550
2016-07-11,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-12,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-13,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-14,9.99,19100,0(0.00 %),200,3820000,0,0,19100,19100,19100
2016-07-15,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-18,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-19,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-20,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-21,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-22,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-25,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-26,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-27,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-28,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-07-29,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-08-01,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-08-02,9.99,19100,0(0.00 %),0,0,112500,2148750000,19100,19100,19100
2016-08-03,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-08-04,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-08-05,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-08-08,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-08-09,9.99,19100,0(0.00 %),0,0,0,0,19100,19100,19100
2016-08-10,9.99,19100,0(0.00 %),0,0,127750,2440025000,19100,19100,19100
2016-08-11,11.46,20450,2.8(14.66 %),200,4380000,0,0,20450,20450,20450
2016-08-12,13.13,23450,3.2(14.61 %),100,2510000,0,0,23450,23450,23450
2016-08-15,13.13,25100,0(0.00 %),0,0,63750,1364250000,25100,25100,25100
2016-08-16,13.13,25100,0(0.00 %),0,0,53250,1139550000,25100,25100,25100
2016-08-17,15.07,26850,3.7(14.74 %),100,2880000,0,0,26850,26850,26850
2016-08-18,15.07,28800,0(0.00 %),0,0,0,0,28800,28800,28800
2016-08-19,15.07,28800,0(0.00 %),0,0,0,0,28800,28800,28800
2016-08-22,15.07,28800,0(0.00 %),0,0,0,0,28800,28800,28800
2016-08-23,15.07,28800,0(0.00 %),0,0,0,0,28800,28800,28800
2016-08-24,15.07,28800,0(0.00 %),0,0,0,0,28800,28800,28800
2016-08-25,15.07,28800,0(0.00 %),0,0,0,0,28800,28800,28800
2016-08-26,15.07,28800,0(0.00 %),0,0,0,0,28800,28800,28800
2016-08-29,17.32,30800,4.3(14.93 %),162,5362200,0,0,30800,30800,30800
2016-08-30,17.32,33100,0(0.00 %),0,0,0,0,33100,33100,33100
2016-08-31,17.32,33100,0(0.00 %),0,0,0,0,33100,33100,33100
2016-09-01,17.32,33100,0(0.00 %),0,0,0,0,33100,33100,33100
2016-09-05,17.32,33100,0(0.00 %),9,282700,0,0,33100,33100,33100
2016-09-06,17.32,33100,0(0.00 %),0,0,0,0,33100,33100,33100
2016-09-07,17.32,33100,0(0.00 %),0,0,0,0,33100,33100,33100
2016-09-08,14.75,30800,-4.9(-14.80 %),500,14100000,0,0,30800,30800,30800
2016-09-09,12.56,26250,-4.2(-14.89 %),200,4800000,0,0,26250,26250,26250
2016-09-12,10.67,22300,-3.6(-15.00 %),1800,36720000,0,0,22300,22300,22300
2016-09-13,9.1,18950,-3(-14.71 %),400,6960000,0,0,18950,18950,18950
2016-09-14,9.1,17400,0(0.00 %),100,1740000,0,0,17400,17400,17400
2016-09-15,9.1,17400,0(0.00 %),0,0,0,0,17400,17400,17400
2016-09-16,9.42,18000,0.6(3.45 %),2000,36000000,0,0,18000,18000,18000
2016-09-19,9.42,18000,0(0.00 %),0,0,0,0,18000,18000,18000
2016-09-20,9.42,18000,0(0.00 %),100,1800000,0,0,18000,18000,18000
2016-09-21,9.42,18000,0(0.00 %),0,0,0,0,18000,18000,18000
2016-09-22,9.42,18000,0(0.00 %),0,0,0,0,18000,18000,18000
2016-09-23,9.42,18000,0(0.00 %),0,0,0,0,18000,18000,18000
2016-09-26,8.16,16750,-2.4(-13.33 %),100,1560000,0,0,16750,16750,16750
