Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-11-13,9.46,17100,2.2(14.77 %),14800,253080000,0,0,17100,17100,17100
2018-11-14,9.46,17100,0(0.00 %),0,0,0,0,17100,17100,17100
2018-11-15,9.46,17100,0(0.00 %),0,0,0,0,17100,17100,17100
2018-11-16,8.13,15900,-2.4(-14.04 %),3300,58810000,0,0,18300,18300,15900
2018-11-19,9.84,15750,0(0.00 %),0,0,0,0,15750,15750,15750
2018-11-20,9.84,17800,0(0.00 %),0,0,0,0,17800,17800,17800
2018-11-21,9.84,17800,0(0.00 %),0,0,0,0,17800,17800,17800
2018-11-22,9.84,17800,0(0.00 %),0,0,0,0,17800,17800,17800
2018-11-23,9.84,17800,0(0.00 %),0,0,0,0,17800,17800,17800
2018-11-26,9.84,17800,0(0.00 %),0,0,0,0,17800,17800,17800
2018-11-27,9.4,17000,-0.8(-4.49 %),3600,61320000,0,0,17400,17400,17000
2018-11-28,9.07,16400,-0.6(-3.53 %),3600,58900000,0,0,16000,16500,16000
2018-11-29,8.85,16000,-0.4(-2.44 %),2000,32000000,0,0,16000,16000,16000
2018-11-30,8.57,15500,-0.5(-3.12 %),1500,23250000,0,0,15500,15500,15500
2018-12-03,8.57,15500,0(0.00 %),1500,23250000,0,0,15500,15500,15500
2018-12-04,8.57,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2018-12-05,8.35,15100,-0.4(-2.58 %),7200,108230000,100000,1500000000,15000,15200,14800
2018-12-06,8.29,15000,0(0.00 %),0,0,100000,1500000000,15000,15000,15000
2018-12-07,8.29,15000,0(0.00 %),5100,76140000,106667,1600005000,14700,15000,14700
2018-12-10,8.29,15000,0.1(0.67 %),52000,780000000,40000,600000000,15000,15000,15000
2018-12-11,8.24,14900,-0.1(-0.67 %),1000,14900000,0,0,14900,14900,14900
2018-12-12,8.18,14800,-0.1(-0.67 %),4000,59350000,34000,510000000,14900,14900,14800
2018-12-13,8.29,15000,0.2(1.35 %),2500,37500000,62000,930000000,15000,15000,15000
2018-12-14,8.29,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2018-12-17,8.29,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2018-12-18,8.29,15000,0(0.00 %),2000,30000000,0,0,15000,15000,15000
2018-12-19,8.18,14800,-0.2(-1.33 %),5000,74500000,0,0,15000,15000,14800
2018-12-20,8.24,14900,0(0.00 %),2600,38740000,0,0,14900,14900,14900
2018-12-21,8.29,15000,0.1(0.67 %),2500,37500000,0,0,15000,15000,15000
2018-12-24,8.29,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2018-12-25,8.24,14900,-0.1(-0.67 %),4000,59600000,40000,600000000,14900,14900,14900
2018-12-26,8.24,14900,0(0.00 %),7700,115230000,0,0,15000,15000,14900
2018-12-27,8.18,14800,-0.2(-1.33 %),2600,38480000,0,0,14800,14800,14800
2018-12-28,8.07,14600,-0.2(-1.35 %),2800,40880000,0,0,14600,14600,14600
2019-01-02,8.13,14700,0.1(0.68 %),3600,52920000,0,0,14700,14700,14700
2019-01-03,8.46,15300,0.6(4.08 %),400,6120000,0,0,15300,15300,15300
2019-01-04,8.4,15200,-0.1(-0.65 %),5400,82080000,0,0,15200,15200,15200
2019-01-07,8.4,15200,0(0.00 %),0,0,0,0,15200,15200,15200
2019-01-08,8.29,15000,-0.2(-1.32 %),4200,63000000,0,0,15000,15000,15000
2019-01-09,8.29,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2019-01-10,8.24,14900,-0.1(-0.67 %),3900,58000000,0,0,14900,14900,14900
2019-01-11,8.24,14900,0(0.00 %),3400,50660000,0,0,14900,14900,14900
2019-01-14,8.24,14900,0(0.00 %),0,0,0,0,14900,14900,14900
2019-01-15,8.29,15000,0.1(0.67 %),11400,169320000,0,0,13850,15000,13850
2019-01-16,8.4,15200,0.3(2.01 %),4200,63840000,0,0,15200,15200,15200
2019-01-17,9.4,16250,1.8(11.84 %),3100,52700000,0,0,16250,16250,16250
2019-01-18,9.4,17000,0(0.00 %),0,0,0,0,17000,17000,17000
2019-01-21,8.85,16000,-1(-5.88 %),5500,88750000,0,0,16300,16300,16000
2019-01-22,8.9,16100,0(0.00 %),0,0,0,0,16100,16100,16100
2019-01-23,8.9,16100,0(0.00 %),0,0,0,0,16100,16100,16100
2019-01-24,8.35,15100,-1(-6.21 %),5000,75500000,0,0,15100,15100,15100
2019-01-25,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-01-28,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-01-29,8.18,14800,-0.3(-1.99 %),5000,74000000,0,0,14800,14800,14800
2019-01-30,7.96,14400,-0.4(-2.70 %),2500,36000000,0,0,14400,14400,14400
2019-01-31,7.96,14400,0(0.00 %),0,0,0,0,14400,14400,14400
2019-02-01,8.79,15400,1.5(10.42 %),27500,414750000,0,0,15000,15400,15000
2019-02-11,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-02-12,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-02-13,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-02-14,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-02-15,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-02-18,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-02-19,8.24,14900,-0.2(-1.32 %),5000,74500000,0,0,14900,14900,14900
2019-02-20,8.24,14900,0(0.00 %),0,0,0,0,14900,14900,14900
2019-02-21,8.24,14900,0(0.00 %),0,0,0,0,14900,14900,14900
2019-02-22,8.18,14800,-0.1(-0.67 %),7300,108040000,0,0,14800,14800,14800
2019-02-25,8.18,14800,0(0.00 %),0,0,0,0,14800,14800,14800
2019-02-26,8.07,14600,-0.2(-1.35 %),3000,43800000,0,0,14600,14600,14600
2019-02-27,8.24,14900,0.3(2.05 %),36000,539700000,0,0,15000,15000,14900
2019-02-28,8.29,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2019-03-01,8.24,14900,-0.1(-0.67 %),6700,99830000,0,0,14900,14900,14900
2019-03-04,8.24,14900,0(0.00 %),0,0,0,0,14900,14900,14900
2019-03-05,8.13,14700,-0.2(-1.34 %),3000,44100000,0,0,14700,14700,14700
2019-03-06,8.13,14700,0(0.00 %),3100,47970000,0,0,15500,15500,14700
2019-03-07,8.13,14700,-0.8(-5.16 %),2800,41160000,0,0,14700,14700,14700
2019-03-08,8.46,15300,0.6(4.08 %),3900,59670000,0,0,15300,15300,15300
2019-03-11,8.46,15300,0(0.00 %),0,0,0,0,15300,15300,15300
2019-03-12,8.46,15300,0(0.00 %),0,0,0,0,15300,15300,15300
2019-03-13,8.57,15500,0.2(1.31 %),5000,77500000,0,0,15500,15500,15500
2019-03-14,8.57,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2019-03-15,9.4,16600,1.5(9.68 %),8500,137000000,0,0,15500,16600,15500
2019-03-18,9.12,16500,0.4(2.48 %),3100,51150000,0,0,16500,16500,16500
2019-03-19,9.12,16500,0(0.00 %),0,0,0,0,16500,16500,16500
2019-03-20,9.12,16500,0(0.00 %),0,0,0,0,16500,16500,16500
2019-03-21,9.4,17000,0.5(3.03 %),5000,84400000,0,0,16700,17000,16700
2019-03-22,9.01,16300,-0.6(-3.55 %),5800,94000000,0,0,16000,16300,16000
2019-03-25,8.96,16200,0(0.00 %),0,0,0,0,16200,16200,16200
2019-03-26,8.63,15600,-0.6(-3.70 %),5900,91740000,0,0,15500,15600,15500
2019-03-27,8.57,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2019-03-28,8.57,15500,0(0.00 %),0,0,0,0,15500,15500,15500
2019-03-29,8.35,15100,-0.4(-2.58 %),100,1510000,0,0,15100,15100,15100
2019-04-01,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-04-02,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-04-03,8.35,15100,0(0.00 %),0,0,0,0,15100,15100,15100
2019-04-04,8.18,14800,-0.3(-1.99 %),6300,93240000,0,0,14800,14800,14800
2019-04-05,8.02,14500,-0.3(-2.03 %),6300,91350000,0,0,14500,14500,14500
2019-04-08,8.02,14500,0(0.00 %),0,0,0,0,14500,14500,14500
2019-04-09,8.29,15000,0.5(3.45 %),6200,92700000,0,0,14300,15000,14300
2019-04-10,8.52,15400,0.4(2.67 %),6000,91500000,0,0,15100,15400,15100
2019-04-11,8.46,15300,0(0.00 %),0,0,0,0,15300,15300,15300
2019-04-12,8.24,14900,-0.4(-2.61 %),5700,84330000,0,0,14700,14900,14700
2019-04-16,8.24,14900,0.1(0.68 %),6200,92380000,0,0,14900,14900,14900
2019-04-17,8.46,15300,0.4(2.68 %),6100,93070000,0,0,13850,15300,13850
2019-04-18,8.46,15300,0(0.00 %),5400,82620000,0,0,15300,15300,15300
2019-04-19,8.35,15100,-0.2(-1.31 %),6000,90200000,0,0,14900,15100,14900
