Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-11-12,3.64,9900,0(0.00 %),5620,54234000,0,0,9900,9900,9500
2010-11-15,3.49,9500,-0.4(-4.04 %),30,285000,0,0,9500,9500,9500
2010-11-16,3.35,9100,-0.4(-4.21 %),1620,14744000,0,0,9200,9200,9100
2010-11-17,3.49,9500,0.4(4.40 %),5440,48281000,0,0,8700,9500,8700
2010-11-18,3.6,9800,0.3(3.16 %),3340,32214000,0,0,9800,9800,9100
2010-11-19,3.46,9400,-0.4(-4.08 %),1320,12508000,0,0,9500,9500,9400
2010-11-22,3.53,9600,0.2(2.13 %),110,1051000,0,0,9100,9600,9100
2010-11-23,3.53,9600,0(0.00 %),1810,16696000,0,0,9600,9600,9200
2010-11-24,3.38,9200,-0.4(-4.17 %),310,2852000,0,0,9200,9200,9200
2010-11-25,3.24,8800,-0.4(-4.35 %),3560,31349000,0,0,9400,9600,8800
2010-11-26,3.31,9000,0.2(2.27 %),11790,102800000,0,0,8600,9000,8400
2010-11-29,3.46,9400,0.4(4.44 %),50,466000,0,0,9200,9400,9200
2010-11-30,3.46,9400,0(0.00 %),1020,9560000,0,0,9600,9600,9300
2010-12-01,3.31,9000,-0.4(-4.26 %),5440,48960000,0,0,9000,9000,9000
2010-12-02,3.46,9400,0.4(4.44 %),11310,98292000,0,0,9000,9400,8600
2010-12-03,3.53,9600,0.2(2.13 %),7630,72508000,0,0,9800,9800,9100
2010-12-06,3.57,9700,0.1(1.04 %),5810,54800000,0,0,9200,9700,9200
2010-12-07,3.42,9300,-0.4(-4.12 %),2590,24255000,0,0,9700,9700,9300
2010-12-08,3.27,8900,-0.4(-4.30 %),7500,67125000,0,0,9000,9200,8900
2010-12-09,3.27,8900,0(0.00 %),20,178000,0,0,8900,8900,8900
2010-12-10,3.35,9100,0.2(2.25 %),1110,10061000,0,0,8700,9100,8700
2010-12-13,3.35,9100,0(0.00 %),680,6189000,0,0,9100,9200,9100
