Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-12-23,7.04,11700,0(0.00 %),17000,198900000,0,0,11700,11700,11700
2015-12-24,7.22,12000,0.3(2.56 %),109000,1285950000,0,0,11700,12000,11700
2015-12-25,7.16,11900,-0.1(-0.83 %),54300,646110000,0,0,11700,11900,11700
2015-12-28,7.22,12000,0.1(0.84 %),54300,646620000,0,0,11900,12000,11900
2015-12-29,7.22,12000,0(0.00 %),27500,329500000,0,0,12000,12000,11900
2015-12-30,7.52,12500,0.5(4.17 %),72600,890600000,0,0,12100,12500,12100
2015-12-31,8.25,13400,1.2(9.60 %),165900,2170440000,0,0,12500,13400,12500
2016-01-04,8.55,14200,0.5(3.65 %),98100,1350170000,0,0,12750,14200,12750
2016-01-05,9.03,15000,0.8(5.63 %),195500,2821320000,0,0,14200,15000,13900
2016-01-06,9.09,15100,0.1(0.67 %),189100,2843330000,0,0,15000,15100,14900
2016-01-07,9.21,15300,0.2(1.32 %),186100,2793470000,0,0,14900,15300,14600
2016-01-08,9.39,15600,0.3(1.96 %),193400,2961680000,0,0,14900,15600,14900
2016-01-11,9.51,15800,0.2(1.28 %),230900,3624410000,0,0,15600,15800,15600
2016-01-12,9.33,15500,-0.3(-1.90 %),138400,2182590000,0,0,15800,15800,15500
2016-01-13,9.27,15400,-0.1(-0.65 %),119300,1831610000,0,0,15400,15500,15000
2016-01-14,9.45,15700,0.3(1.95 %),87400,1360390000,0,0,15400,15800,15400
2016-01-15,9.57,15900,0.2(1.27 %),22800,363610000,0,0,15700,16100,15700
2016-01-18,9.27,15400,-0.5(-3.14 %),16300,250220000,0,0,15500,15500,15300
2016-01-19,10.17,16500,1.5(9.74 %),160200,2608240000,0,0,15500,16500,15500
2016-01-20,10.35,17200,0.3(1.78 %),166300,2834250000,707600,11958440000,16900,17200,16900
2016-01-21,10.35,17200,0(0.00 %),111800,1915740000,0,0,17000,17500,16800
2016-01-22,11.37,18400,1.7(9.88 %),175300,3177960000,0,0,17900,18400,17700
2016-01-25,11.43,19000,0.1(0.53 %),63400,1198320000,0,0,18800,19100,18700
2016-01-26,11.19,18600,-0.4(-2.11 %),18600,346970000,0,0,18700,18800,18500
2016-01-27,12.1,19900,1.5(8.06 %),51400,976540000,0,0,18600,19900,18600
2016-01-28,12.1,20100,0(0.00 %),92100,1849790000,0,0,20100,20200,19900
2016-01-29,11.92,19800,-0.3(-1.49 %),42500,845450000,0,0,19900,20000,19800
2016-02-01,11.31,18800,-1(-5.05 %),160300,3019660000,0,0,19700,19700,18500
2016-02-02,11.49,19100,0.3(1.60 %),107000,2013720000,0,0,18700,19100,18000
2016-02-03,11.62,19300,0.2(1.05 %),17000,325110000,0,0,19000,19300,19000
2016-02-04,11.62,19300,0(0.00 %),4100,78820000,0,0,19200,19300,19200
2016-02-05,11.49,19100,-0.2(-1.04 %),3200,61080000,0,0,19100,19100,19000
2016-02-15,11.49,19100,0(0.00 %),236500,4485760000,0,0,19200,19200,18900
2016-02-16,11.8,19600,0.5(2.62 %),201800,3887030000,0,0,19000,19700,19000
