Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-12-08,12.21,15400,1(6.94 %),1260740,18994000000,0,0,14550,15400,14450
2017-12-11,12.52,15800,0.4(2.60 %),643090,10197000000,0,0,15600,16100,15500
2017-12-12,11.65,14700,-1.1(-6.96 %),646450,9504000000,0,0,15000,15000,14700
2017-12-13,10.86,13700,-1(-6.80 %),522310,7156000000,0,0,13700,13700,13700
2017-12-14,10.11,12750,-0.95(-6.93 %),443330,5652000000,0,0,12750,12750,12750
2017-12-15,9.99,12600,-0.15(-1.18 %),1432860,17251420000,0,0,11900,12700,11900
2017-12-18,9.99,12600,0(0.00 %),507270,6501000000,0,0,12700,13000,12550
2017-12-19,9.83,12400,-0.2(-1.59 %),246780,3090000000,0,0,12550,12700,12350
2017-12-20,9.63,12150,-0.25(-2.02 %),408080,4969000000,0,0,12300,12500,12100
2017-12-21,9.59,12100,-0.05(-0.41 %),210900,2558000000,0,0,12100,12300,12050
2017-12-22,9.59,12100,0(0.00 %),274450,3320000000,0,0,12050,12200,12000
2017-12-25,9.59,12100,0(0.00 %),192340,2333000000,0,0,12200,12250,12000
2017-12-26,9.47,11950,-0.15(-1.24 %),482240,5790000000,0,0,12000,12200,11950
2017-12-27,9.47,11950,0(0.00 %),185500,2209000000,0,0,11950,12000,11850
2017-12-28,9.59,12100,0.15(1.26 %),206790,2497000000,0,0,12100,12200,11950
2017-12-29,9.55,12050,-0.05(-0.41 %),276930,3333000000,0,0,12150,12150,11950
2018-01-02,9.47,11950,-0.1(-0.83 %),176650,2113730000,0,0,11950,12150,11900
2018-01-03,9.99,12600,0.65(5.44 %),826360,10272000000,0,0,12100,12600,11950
2018-01-04,10.38,13100,0.5(3.97 %),617570,7944000000,0,0,12650,13100,12500
2018-01-05,10.5,13250,0.15(1.15 %),520330,6836000000,0,0,13000,13400,13000
2018-01-08,10.66,13450,0.2(1.51 %),1334250,17638000000,0,0,13200,13500,13200
2018-01-09,10.58,13350,-0.1(-0.74 %),320920,4285000000,0,0,13350,13500,13300
2018-01-10,10.54,13300,-0.05(-0.37 %),203270,2706000000,0,0,13400,13500,13250
2018-01-11,10.5,13250,-0.05(-0.38 %),265600,3508000000,0,0,13250,13300,13150
2018-01-12,10.54,13300,0.05(0.38 %),462910,6141410000,0,0,13000,13350,13000
2018-01-15,10.58,13350,0.05(0.38 %),170320,2275830000,0,0,13300,13500,13200
2018-01-16,10.58,13350,0(0.00 %),211640,2835000000,0,0,13350,13500,13300
2018-01-17,11.06,13950,0.6(4.49 %),839670,11565000000,0,0,13400,14000,13350
2018-01-18,11.34,14300,0.35(2.51 %),593910,8361000000,0,0,14000,14300,13900
2018-01-19,11.26,14200,-0.1(-0.70 %),287470,4100000000,0,0,14400,14450,14200
2018-01-22,11.18,14100,-0.1(-0.70 %),169370,2385000000,0,0,14100,14200,14000
2018-01-25,11.18,14100,0(0.00 %),169940,2402000000,0,0,14100,14250,14050
2018-01-26,11.26,14200,0.1(0.71 %),284450,4020000000,0,0,14150,14250,14100
2018-01-29,11.26,14200,0(0.00 %),235090,3345000000,0,0,14200,14250,14150
2018-01-30,11.34,14300,0.1(0.70 %),140490,2004000000,0,0,14250,14350,14250
2018-01-31,12.13,15300,1(6.99 %),2194850,32676000000,0,0,14350,15300,14300
2018-02-01,12.41,15650,0.35(2.29 %),760650,11820000000,0,0,15350,15750,15300
2018-02-02,12.45,15700,0.05(0.32 %),464150,7318000000,0,0,15700,15900,15700
2018-02-05,11.85,14950,-0.75(-4.78 %),233270,3474200000,0,0,15000,15700,14800
2018-02-06,11.57,14600,-0.35(-2.34 %),197700,2874000000,0,0,14600,14900,14350
2018-02-07,11.73,14800,0.2(1.37 %),319310,4711390000,0,0,14600,14850,14600
2018-02-08,12.01,15150,0.35(2.36 %),1084100,16122000000,0,0,14850,15150,14850
2018-02-09,11.93,15050,-0.1(-0.66 %),168500,2540000000,0,0,15200,15250,15000
2018-02-12,11.85,14950,-0.1(-0.66 %),403360,6048000000,0,0,15100,15100,14900
2018-02-13,11.69,14750,-0.2(-1.34 %),290890,4306000000,0,0,14850,14900,14750
2018-02-21,11.69,14750,0(0.00 %),192270,2834000000,0,0,14650,14850,14600
2018-02-22,11.89,15000,0.25(1.69 %),312170,4635000000,0,0,14850,15000,14750
2018-02-23,12.09,15250,0.25(1.67 %),236920,3604000000,0,0,15000,15300,15000
2018-02-26,12.29,15500,0.25(1.64 %),620650,9619000000,0,0,15350,15650,15300
2018-02-27,12.17,15350,-0.15(-0.97 %),182160,2802000000,0,0,15550,15550,15300
2018-02-28,12.13,15300,-0.05(-0.33 %),202590,3084000000,0,0,15200,15350,15100
2018-03-01,12.09,15250,-0.05(-0.33 %),108210,1651000000,0,0,15250,15350,15200
2018-03-02,11.97,15100,-0.15(-0.98 %),154960,2340000000,0,0,15100,15200,15000
2018-03-05,12.8,16150,1.05(6.95 %),1374000,21614000000,0,0,15100,16150,15100
2018-03-06,13.4,16900,0.75(4.64 %),980110,16276000000,0,0,16200,17150,16050
2018-03-07,14.31,18050,1.15(6.80 %),1265920,22119000000,0,0,16950,18050,16850
2018-03-08,15.3,19300,1.25(6.93 %),1473520,27018000000,0,0,18050,19300,16800
2018-03-09,16.33,20600,1.3(6.74 %),1512470,30394000000,0,0,19350,20650,19350
2018-03-12,17.44,22000,1.4(6.80 %),1249580,26671000000,0,0,22000,22000,20650
2018-03-13,18.63,23500,1.5(6.82 %),2007600,46102000000,0,0,22150,23500,22050
2018-03-14,19.9,25100,1.6(6.81 %),1860630,44164000000,0,0,23650,25100,21900
2018-03-15,18.51,23350,-1.75(-6.97 %),1639990,42100000000,0,0,25350,26850,23350
