Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-03-29,4.03,34000,-1(-2.86 %),44380,1508208000,0,0,34000,35000,33500
2010-03-30,4.22,35600,1.6(4.71 %),88950,3142795000,0,0,32400,35700,32400
2010-03-31,4.4,37200,1.6(4.49 %),18750,685380000,0,0,35600,37200,35000
2010-04-01,4.38,37000,-0.2(-0.54 %),43270,1594110000,0,0,38000,38000,36500
2010-04-02,4.4,37200,0.2(0.54 %),57030,2108451000,0,0,37100,37200,35500
2010-04-05,4.4,37200,0(0.00 %),35660,1324512000,0,0,36100,37300,36100
2010-04-06,4.32,36500,-0.7(-1.88 %),56670,2074025000,0,0,36600,37000,36500
2010-04-07,4.31,36400,-0.1(-0.27 %),18530,671192000,0,0,35000,36400,35000
2010-04-08,4.14,35000,-1.4(-3.85 %),4820,173632000,0,0,36500,36600,35000
2010-04-09,4.14,35000,0(0.00 %),4160,143280000,0,0,36000,36000,34000
2010-04-12,4.14,35000,0(0.00 %),47370,1654510000,0,0,36000,36000,34000
2010-04-13,4.2,35500,0.5(1.43 %),5610,197155000,0,0,35000,35500,35000
2010-04-14,4.14,35000,-0.5(-1.41 %),22350,792530000,0,0,35400,35500,35000
2010-04-15,4.14,35000,0(0.00 %),45190,1579888000,0,0,34000,36000,34000
2010-04-16,4.26,36000,1(2.86 %),46840,1680235000,0,0,34200,36200,34000
2010-04-19,4.26,36000,0(0.00 %),5110,183773000,0,0,36000,36000,34300
2010-04-20,4.09,34500,-1.5(-4.17 %),6000,208500000,0,0,36000,36000,34500
2010-04-21,4.26,36000,1.5(4.35 %),24890,889790000,0,0,36000,36100,35000
2010-04-22,4.26,36000,0(0.00 %),2700,98000000,0,0,36500,36900,36000
2010-04-26,4.26,36000,0(0.00 %),3140,111125000,0,0,34500,36000,34200
2010-04-27,4.09,34500,-1.5(-4.17 %),2800,96665000,0,0,34700,35000,34500
2010-04-28,4.2,35500,1(2.90 %),4640,164626000,0,0,35700,35700,35000
2010-04-29,4.14,35000,-0.5(-1.41 %),15500,542590000,0,0,35900,35900,35000
2010-05-04,4.14,35000,0(0.00 %),6090,212200000,0,0,34100,35000,34000
2010-05-05,3.99,33700,-1.3(-3.71 %),9500,321881000,0,0,34100,34100,33700
2010-05-06,4.03,34000,0.3(0.89 %),2950,101350000,0,0,35000,35000,34000
2010-05-07,4.12,34800,0.8(2.35 %),3010,104748000,0,0,34800,34800,34800
2010-05-10,3.92,33100,-1.7(-4.89 %),6460,213916000,0,0,33100,33400,33100
2010-05-11,3.95,33400,0.3(0.91 %),40,1336000,0,0,33400,33400,33400
2010-05-12,4.01,33900,0.5(1.50 %),10,339000,0,0,33900,33900,33900
2010-05-13,3.91,33000,-0.9(-2.65 %),18630,605150000,0,0,33000,33000,32300
2010-05-14,3.72,31400,-1.6(-4.85 %),9780,307142000,0,0,31600,31600,31400
2010-05-17,3.54,29900,-1.5(-4.78 %),10390,310706000,0,0,30000,30000,29900
2010-05-18,3.45,29100,-0.8(-2.68 %),17430,509212000,0,0,29000,29900,29000
2010-05-19,3.28,27700,-1.4(-4.81 %),12250,346475000,0,0,29000,29000,27700
2010-05-20,3.4,28700,1(3.61 %),4100,111972000,0,0,27000,28700,27000
2010-05-21,3.4,28700,0(0.00 %),360,10332000,0,0,28700,28700,28700
2010-05-24,3.4,28700,0(0.00 %),680,19389000,0,0,28000,28700,28000
2010-05-25,3.37,28500,-0.2(-0.70 %),260,7440000,0,0,28700,28700,28500
2010-05-26,3.53,29800,1.3(4.56 %),4950,143582000,0,0,28000,29800,28000
2010-05-27,3.55,30000,0.2(0.67 %),2740,82128000,0,0,29900,30000,29900
2010-05-28,3.72,31400,1.4(4.67 %),500,15700000,0,0,31400,31400,31400
2010-05-31,3.55,30000,-1.4(-4.46 %),3030,91900000,0,0,31000,31000,30000
2010-06-01,3.72,31400,1.4(4.67 %),3540,105819000,0,0,29000,31400,29000
2010-06-02,3.9,32900,1.5(4.78 %),14960,467456000,0,0,30100,32900,30100
2010-06-03,3.79,32000,-0.9(-2.74 %),10600,344276000,0,0,32900,33000,32000
2010-06-04,3.89,32000,0.8(2.56 %),14410,459970000,0,0,32000,32000,29750
2010-06-07,3.98,32800,0.8(2.50 %),5400,177120000,0,0,32800,32800,32800
2010-06-08,4.0,32900,0.1(0.30 %),5060,166372000,0,0,31200,32900,31200
