Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-03-17,10.07,33000,-1.7(-4.90 %),267090,9082246000,0,0,34700,34700,33000
2010-03-18,9.91,32500,-0.5(-1.52 %),219340,7111012000,0,0,33000,33000,31800
2010-03-19,9.43,30900,-1.6(-4.92 %),505910,15723739000,0,0,31500,32000,30900
2010-03-22,9.03,29600,-1.3(-4.21 %),321290,9758259000,0,0,30800,31500,29600
2010-03-23,8.6,28200,-1.4(-4.73 %),1278160,36248447000,0,0,29100,29700,28200
2010-03-24,9.03,29600,1.4(4.96 %),1381290,40886184000,120000,3552000000,29600,29600,29600
2010-03-25,9.46,31000,1.4(4.73 %),1242520,38478613000,0,0,31000,31000,30500
2010-03-26,9.46,31000,0(0.00 %),611670,18301182000,0,0,31000,31000,29500
2010-03-29,9.0,29500,-1.5(-4.84 %),927490,27473557000,0,0,30000,30100,29500
2010-03-30,9.15,30000,0.5(1.69 %),1352640,41334696000,0,0,29500,30900,29400
2010-03-31,8.85,29000,-1(-3.33 %),471070,13920390000,0,0,30300,30300,29000
2010-04-01,8.85,29000,0(0.00 %),367970,10533787000,0,0,28800,29500,28000
2010-04-02,8.85,29000,0(0.00 %),411120,11990816000,0,0,29100,29700,28800
2010-04-05,9.27,30400,1.4(4.83 %),1184610,36012144000,20000,608000000,30400,30400,30400
2010-04-06,9.73,31900,1.5(4.93 %),2669790,85163338000,0,0,31900,31900,31700
2010-04-07,9.85,32300,0.4(1.25 %),1208140,38623545000,0,0,32100,32900,31000
2010-04-08,9.76,32000,-0.3(-0.93 %),1204200,38847343000,30000,960000000,32400,32600,31900
2010-04-09,9.49,31100,-0.9(-2.81 %),1085380,34316524000,38000,1216000000,32000,32100,31100
2010-04-12,9.39,30800,-0.3(-0.96 %),911410,28349817000,30000,942000000,31100,31400,30700
2010-04-13,9.15,30000,-0.8(-2.60 %),716250,21831925000,0,0,30800,31000,30000
2010-04-14,9.3,30500,0.5(1.67 %),642910,19545112000,0,0,30500,30800,29800
2010-04-15,9.36,30700,0.2(0.66 %),724520,22244465000,0,0,31000,31000,30500
2010-04-16,9.61,31500,0.8(2.61 %),1448390,45461357000,0,0,30700,31900,30700
2010-04-19,9.43,30900,-0.6(-1.90 %),817030,25434478000,0,0,31500,31500,30600
2010-04-20,9.43,30900,0(0.00 %),853300,26574946000,0,0,30800,31500,30800
2010-04-21,9.36,30700,-0.2(-0.65 %),370040,11409743000,38000,1178000000,31000,31100,30700
2010-04-22,9.33,30600,-0.1(-0.33 %),905520,28284000000,0,0,31000,31900,30600
2010-04-26,9.03,29600,-1(-3.27 %),609710,18251734000,0,0,30600,30800,29600
2010-04-27,8.94,29300,-0.3(-1.01 %),465260,13702544000,114320,3383872000,29600,30000,29200
2010-04-28,8.85,29000,-0.3(-1.02 %),672160,19545707000,0,0,29000,29500,29000
2010-04-29,8.88,29100,0.1(0.34 %),834890,24241674000,0,0,29400,29400,28900
2010-05-04,8.94,29300,0.2(0.69 %),732720,21599117000,0,0,29500,30000,29100
2010-05-05,8.85,29000,-0.3(-1.02 %),601970,17496679000,0,0,29000,29400,28500
2010-05-06,9.27,30400,1.4(4.83 %),1905740,57743518000,20000,608000000,29900,30400,29800
2010-05-07,9.0,29500,-0.9(-2.96 %),602380,17743482000,0,0,29600,30100,29000
2010-05-10,8.6,28200,-1.3(-4.41 %),430030,12275854000,94000,2650800000,29100,29200,28200
2010-05-11,8.54,28000,-0.2(-0.71 %),529190,14917481000,40000,1120000000,28600,28600,28000
2010-05-12,8.11,26600,-1.4(-5.00 %),895510,23952522000,20000,588000000,27000,27300,26600
2010-05-13,7.93,26000,-0.6(-2.26 %),381310,10103925000,0,0,27000,27400,26000
2010-05-14,8.17,26800,0.8(3.08 %),467360,12342229000,30000,780000000,26800,26800,26000
2010-05-17,7.93,26000,-0.8(-2.99 %),266330,6914832000,0,0,26800,26800,25600
2010-05-18,7.84,25200,-0.3(-1.18 %),582220,14646733000,0,0,25700,25700,24900
2010-05-19,7.46,24000,-1.2(-4.76 %),635670,15279482000,0,0,24500,25100,24000
2010-05-20,7.31,23500,-0.5(-2.08 %),878630,20347050000,0,0,22900,23800,22800
2010-05-21,6.97,22400,-1.1(-4.68 %),372760,8350206000,0,0,22400,22500,22400
2010-05-24,6.62,21300,-1.1(-4.91 %),714950,15363032000,20000,460000000,22000,22400,21300
2010-05-25,6.31,20300,-1(-4.69 %),875220,17911239000,0,0,20400,21300,20300
2010-05-26,6.62,21300,1(4.93 %),240820,5129466000,0,0,21300,21300,21300
2010-05-27,6.94,22300,1(4.69 %),1192910,26593835000,0,0,22300,22300,21600
2010-05-28,7.28,23400,1.1(4.93 %),804440,18823896000,0,0,23400,23400,23400
2010-05-31,7.37,23700,0.3(1.28 %),1289950,30776109000,0,0,23900,24500,23000
2010-06-01,7.37,23700,0(0.00 %),599350,13940370000,0,0,23200,23700,22900
2010-06-02,7.28,23400,-0.3(-1.27 %),429490,9963222000,25000,600000000,23100,23700,22900
2010-06-03,7.28,23400,0(0.00 %),447600,10542209000,0,0,23600,23900,23300
2010-06-04,7.03,22600,-0.8(-3.42 %),344960,7889518000,0,0,23200,23500,22600
2010-06-07,6.69,21500,-1.1(-4.87 %),515010,11119783000,0,0,21800,22000,21500
2010-06-08,6.78,21800,0.3(1.40 %),242840,5224356000,50000,1100000000,21100,22000,21000
2010-06-09,6.69,21500,-0.3(-1.38 %),204610,4463015000,30000,684000000,22000,22100,21500
2010-06-10,6.69,21500,0(0.00 %),299470,6417011000,0,0,21500,21700,21300
2010-06-11,6.69,21500,0(0.00 %),206770,4450877000,0,0,21500,21900,21400
2010-06-14,6.59,21200,-0.3(-1.40 %),311300,6649657000,0,0,21400,21700,21200
2010-06-15,6.78,21800,0.6(2.83 %),588880,12695297000,0,0,21300,21800,21300
2010-06-16,6.97,22400,0.6(2.75 %),519430,11602935000,0,0,22400,22500,22100
2010-06-17,6.75,21700,-0.7(-3.12 %),396800,8761588000,0,0,22100,22500,21700
2010-06-18,6.69,21500,-0.2(-0.92 %),359310,7755894000,0,0,22000,22000,21500
2010-06-21,6.69,21500,0(0.00 %),437120,9380660000,0,0,21500,21600,21300
2010-06-22,6.87,22100,0.6(2.79 %),1664030,37138374000,0,0,21500,22500,21300
2010-06-23,6.78,21800,-0.3(-1.36 %),399850,8751969000,0,0,21800,22100,21700
2010-06-24,6.75,21700,-0.1(-0.46 %),406170,8840282000,0,0,21800,21900,21600
2010-06-25,6.59,21200,-0.5(-2.30 %),253580,5404922000,0,0,21300,21500,21200
2010-06-28,6.5,20900,-0.3(-1.42 %),348910,7319032000,0,0,21000,21700,20800
2010-06-29,6.56,21100,0.2(0.96 %),372390,7891377000,281000,5591900000,21000,21500,21000
2010-06-30,6.38,20500,-0.6(-2.84 %),342410,7035457000,20000,440000000,20500,20800,20400
2010-07-01,6.38,20500,0(0.00 %),203520,4191277000,0,0,20700,20800,20400
2010-07-02,6.38,20500,0(0.00 %),234650,4803849000,20000,430000000,20500,20600,20400
2010-07-05,6.38,20500,0(0.00 %),241900,4989080000,0,0,20500,20900,20300
2010-07-06,6.38,20500,0(0.00 %),388440,7946775000,0,0,20500,20600,20300
2010-07-07,6.41,20600,0.1(0.49 %),412430,8640413000,0,0,21200,21200,20600
2010-07-08,6.66,21400,0.8(3.88 %),1019820,21721664000,0,0,21000,21600,20800
2010-07-09,6.53,21000,-0.4(-1.87 %),342400,7242295000,0,0,21100,21500,20900
