Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-06-19,6.82,25200,1.2(5.00 %),1010,25452000,0,0,25200,25200,25200
2009-06-22,7.14,26400,1.2(4.76 %),213500,5636000000,0,0,26400,26400,26000
2009-06-23,7.14,26400,0(0.00 %),197450,5307781000,0,0,27600,27600,26400
2009-06-24,6.79,25100,-1.3(-4.92 %),81740,2115694000,0,0,26400,26500,25100
2009-06-25,6.47,23900,-1.2(-4.78 %),37430,909575000,0,0,25000,25200,23900
2009-06-26,6.17,22800,-1.1(-4.60 %),11920,271776000,0,0,22800,22800,22800
2009-06-29,5.87,21700,-1.1(-4.82 %),10870,235879000,0,0,21700,21700,21700
2009-06-30,5.6,20700,-1(-4.61 %),8630,178641000,0,0,20700,20700,20700
2009-07-01,5.33,19700,-1(-4.83 %),2250,44325000,0,0,19700,19700,19700
2009-07-02,5.09,18800,-0.9(-4.57 %),75870,1426356000,0,0,18800,18800,18800
2009-07-03,5.17,19100,0.3(1.60 %),58710,1066807000,0,0,17900,19700,17900
2009-07-06,5.19,19200,0.1(0.52 %),54660,1049058000,0,0,19100,19500,18500
2009-07-07,4.98,18400,-0.8(-4.17 %),46060,845000000,0,0,18300,18800,18300
2009-07-08,5.0,18500,0.1(0.54 %),23860,434718000,0,0,18000,18500,17500
2009-07-09,5.03,18600,0.1(0.54 %),14990,278220000,0,0,18500,19000,18400
2009-07-10,5.0,18500,-0.1(-0.54 %),9160,169465000,0,0,18500,19000,18500
2009-07-13,4.95,18300,-0.2(-1.08 %),25080,459071000,0,0,18600,18600,17800
2009-07-14,4.73,17500,-0.8(-4.37 %),16380,289334000,0,0,18300,18300,17400
2009-07-15,4.84,17900,0.4(2.29 %),5360,96366000,0,0,18300,18300,17700
2009-07-16,5.03,18600,0.7(3.91 %),35230,656759000,0,0,18700,18700,18400
2009-07-17,4.87,18000,-0.6(-3.23 %),8720,157190000,0,0,18000,18100,18000
2009-07-20,4.82,17800,-0.2(-1.11 %),18190,319608000,0,0,17500,18000,17200
2009-07-21,4.84,17900,0.1(0.56 %),4760,85603000,0,0,17800,18200,17800
2009-07-22,4.84,17900,0(0.00 %),12730,227547000,0,0,17900,17900,17600
2009-07-23,4.87,18000,0.1(0.56 %),6700,120449000,0,0,17900,18400,17900
2009-07-24,5.11,18900,0.9(5.00 %),82030,1548237000,0,0,18900,18900,18500
2009-07-27,5.25,19400,0.5(2.65 %),51220,1000222000,0,0,19800,19800,19100
2009-07-28,5.03,18600,-0.8(-4.12 %),22570,419300000,0,0,18500,19500,18500
2009-07-29,5.0,18500,-0.1(-0.54 %),38390,710238000,0,0,18300,18700,18300
2009-07-30,4.87,18000,-0.5(-2.70 %),19950,361090000,0,0,18200,18200,18000
2009-07-31,4.92,18200,0.2(1.11 %),20790,377765000,0,0,18500,18500,18000
2009-08-03,4.84,17900,-0.3(-1.65 %),25320,454294000,0,0,17800,18000,17800
2009-08-04,4.84,17900,0(0.00 %),30660,553016000,0,0,18300,18300,17900
2009-08-05,4.95,18300,0.4(2.23 %),31270,566513000,0,0,17800,18300,17800
2009-08-06,5.0,18500,0.2(1.09 %),21300,392328000,0,0,18200,18600,18200
2009-08-07,4.87,18000,-0.5(-2.70 %),34420,626890000,0,0,18400,18400,18000
2009-08-10,5.03,18600,0.6(3.33 %),48120,891627000,0,0,18700,18700,18000
2009-08-11,5.0,18500,-0.1(-0.54 %),14880,274055000,0,0,18500,18500,18400
2009-08-12,4.9,18100,-0.4(-2.16 %),38040,690931000,0,0,18100,18500,18100
2009-08-13,4.92,18200,0.1(0.55 %),38360,699445000,0,0,18100,18400,18100
2009-08-14,4.98,18400,0.2(1.10 %),66180,1213844000,0,0,18400,18400,18100
2009-08-17,5.22,19300,0.9(4.89 %),109270,2105165000,0,0,19200,19300,19200
2009-08-18,5.41,20000,0.7(3.63 %),146440,2932175000,0,0,20100,20100,19800
2009-08-19,5.36,19800,-0.2(-1.00 %),57990,1155788000,0,0,20100,20200,19600
2009-08-20,5.19,19200,-0.6(-3.03 %),45040,867141000,0,0,19200,19500,19200
2009-08-21,5.14,19000,-0.2(-1.04 %),46000,886050000,0,0,19000,19500,19000
