Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2005-09-16,3.5,33700,0.6(1.81 %),12820,433442,0,0,34100,34100,33700
2005-09-19,3.64,35000,1.3(3.86 %),11770,411905,0,0,34500,35000,34500
2005-09-20,3.74,36000,1(2.86 %),20680,744480,0,0,36000,36000,36000
2005-09-21,3.56,34200,-1.8(-5.00 %),19200,668830,0,0,36500,36500,34200
2005-09-22,3.48,33500,-0.7(-2.05 %),12060,408427,0,0,34200,34200,33500
2005-09-23,3.54,34000,0.5(1.49 %),19020,656600,12000,382800,34800,34800,34000
2005-09-26,3.54,34000,0(0.00 %),10660,362440,0,0,34000,34000,34000
2005-09-27,3.52,33900,-0.1(-0.29 %),20700,701230,0,0,33800,33900,33800
2005-09-28,3.51,33800,-0.1(-0.29 %),13720,463441,0,0,33700,33800,33700
2005-09-29,3.54,34000,0.2(0.59 %),24290,825260,0,0,33800,34000,33800
2005-09-30,3.71,35700,1.7(5.00 %),14730,525861,0,0,35700,35700,35700
2005-10-03,3.89,37400,1.7(4.76 %),64440,2410056,0,0,37400,37400,37400
2005-10-04,3.84,36900,-0.5(-1.34 %),15980,590162,0,0,37400,37400,36900
2005-10-05,3.88,37300,0.4(1.08 %),21990,819567,0,0,36700,37300,36700
2005-10-06,3.96,38100,0.8(2.14 %),24500,931655,0,0,37600,38100,37600
2005-10-07,4.15,39900,1.8(4.72 %),41290,1639110,0,0,39000,39900,39000
2005-10-10,4.23,40700,0.8(2.01 %),34760,1417342,0,0,41000,41000,40700
2005-10-11,4.23,40700,0(0.00 %),25500,1038681,0,0,41000,41000,40700
2005-10-12,4.2,40400,-0.3(-0.74 %),18280,735812,0,0,40000,40400,40000
2005-10-13,4.26,41000,0.6(1.49 %),10400,425356,0,0,40700,41000,40700
2005-10-14,4.39,42200,1.2(2.93 %),11180,471256,0,0,41800,42200,41800
2005-10-17,4.47,43000,0.8(1.90 %),14730,639253,0,0,44100,44100,43000
2005-10-18,4.36,41900,-1.1(-2.56 %),18850,801398,0,0,43000,43000,41900
2005-10-19,4.36,41900,0(0.00 %),24900,1043310,0,0,41900,41900,41900
2005-10-20,4.46,42900,1(2.39 %),32960,1407657,0,0,42000,42900,42000
2005-10-21,4.47,43000,0.1(0.23 %),11700,503662,0,0,43200,43200,43000
2005-10-24,4.58,44000,1(2.33 %),10150,444895,12926,544185,43500,44000,43500
2005-10-25,4.58,44000,0(0.00 %),26020,1144880,0,0,44000,44000,44000
2005-10-26,4.48,43100,-0.9(-2.05 %),37470,1621765,0,0,43900,43900,43100
2005-10-27,4.47,43000,-0.1(-0.23 %),24220,1020530,0,0,41700,43000,41700
2005-10-28,4.5,43300,0.3(0.70 %),40400,1750101,0,0,43400,43400,43300
2005-10-31,4.52,43500,0.2(0.46 %),19100,830850,13550,582650,43500,43500,43500
2005-11-01,4.59,44100,0.6(1.38 %),31640,1393888,0,0,43700,44100,43700
2005-11-02,4.7,45200,1.1(2.49 %),18980,855214,0,0,44600,45200,44600
2005-11-03,4.78,46000,0.8(1.77 %),27350,1254080,0,0,45600,46000,45600
2005-11-04,4.7,45200,-0.8(-1.74 %),8310,376860,0,0,45500,45500,45200
2005-11-07,4.71,45300,0.1(0.22 %),15500,714990,0,0,46500,46500,45300
2005-11-08,4.71,45300,0(0.00 %),32020,1450506,0,0,45300,45300,45300
2005-11-09,4.78,46000,0.7(1.55 %),23240,1069040,0,0,46000,46000,46000
