Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2019-05-31,6.24,38500,2.5(6.94 %),30,1000000,0,0,38500,38500,38500
2019-06-03,6.67,41150,2.65(6.88 %),30,1000000,0,0,41150,41150,41150
2019-06-04,6.67,41150,0(0.00 %),0,0,0,0,41150,41150,41150
2019-06-05,7.14,44000,2.85(6.93 %),30,1000000,0,0,44000,44000,44000
2019-06-06,7.63,47050,3.05(6.93 %),30,1000000,0,0,47050,47050,47050
2019-06-07,7.79,48000,0.95(2.02 %),3000,144000000,0,0,48000,48000,48000
2019-06-10,8.32,51300,3.3(6.87 %),40,2000000,0,0,51300,51300,51300
2019-06-11,8.6,53000,1.7(3.31 %),470,26000000,0,0,54800,54800,53000
2019-06-12,9.2,56700,3.7(6.98 %),380,22000000,0,0,56700,56700,56700
2019-06-13,9.83,60600,3.9(6.88 %),430,26000000,0,0,60600,60600,60600
2019-06-14,9.41,58000,-2.6(-4.29 %),1000,58000000,0,0,64800,64800,58000
2019-06-17,8.76,54000,-4(-6.90 %),440,24000000,0,0,56000,56000,54000
2019-06-18,8.84,54500,0.5(0.93 %),590,30000000,0,0,50300,54500,50300
2019-06-19,8.84,54500,0(0.00 %),1030,52000000,0,0,54500,54500,50700
2019-06-20,8.22,50700,-3.8(-6.97 %),1340,68000000,0,0,50700,50700,50700
2019-06-21,8.79,54200,3.5(6.90 %),1120,54000000,0,0,54200,54200,47200
2019-06-24,8.92,55000,0.8(1.48 %),1320,72000000,0,0,54000,55000,54000
2019-06-25,8.92,55000,0(0.00 %),2030,112000000,0,0,55000,55000,54900
2019-06-26,9.08,56000,1(1.82 %),330,18000000,0,0,56000,56000,55500
2019-06-27,9.0,55500,-0.5(-0.89 %),570,32000000,0,0,55500,56000,53500
2019-06-28,9.0,55500,0(0.00 %),680,38000000,0,0,55500,55500,55400
2019-07-01,8.92,55000,-0.5(-0.90 %),1630,88000000,0,0,55000,59300,51700
2019-07-02,8.76,54000,-1(-1.82 %),1410,76000000,0,0,54000,54000,51200
2019-07-03,8.68,53500,-0.5(-0.93 %),1530,82000000,0,0,53500,53500,53500
2019-07-04,8.11,50000,-3.5(-6.54 %),1310,69000000,0,0,53500,53500,50000
2019-07-05,8.6,53000,3(6.00 %),810,43000000,0,0,53500,53500,46500
2019-07-08,9.05,55800,2.8(5.28 %),1600,83000000,0,0,52000,55800,50100
2019-07-09,9.05,55800,0(0.00 %),1100,59000000,0,0,53200,55800,53200
2019-07-10,8.56,52800,-3(-5.38 %),920,51000000,0,0,55000,56000,52800
