Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-08-23,13.59,42000,2(5.00 %),455590,19135000000,55000,2020000000,42000,42000,42000
2007-08-24,14.27,44100,2.1(5.00 %),404010,17817000000,0,0,44100,44100,44100
2007-08-27,14.98,46300,2.2(4.99 %),167100,7737000000,0,0,46300,46300,46300
2007-08-28,15.72,48600,2.3(4.97 %),10970,533000000,0,0,48600,48600,48600
2007-08-29,16.5,51000,2.4(4.94 %),824980,41823000000,0,0,51000,51000,46200
2007-08-30,15.85,49000,-2(-3.92 %),295860,14455000000,20000,970000000,50000,51000,48500
2007-08-31,16.18,50000,1(2.04 %),237860,11878000000,0,0,50000,50000,49000
2007-09-04,16.18,50000,0(0.00 %),132380,6655000000,70000,3500000000,50500,51000,50000
2007-09-05,15.69,48500,-1.5(-3.00 %),132070,6435000000,20000,950000000,49000,49000,48500
2007-09-06,15.24,47100,-1.4(-2.89 %),105570,5004000000,0,0,47500,48000,47000
2007-09-07,15.82,48900,1.8(3.82 %),169670,8265000000,0,0,49000,49000,47900
2007-09-10,15.53,48000,-0.9(-1.84 %),62770,3013000000,0,0,48000,48500,47900
2007-09-11,15.27,47200,-0.8(-1.67 %),57910,2736000000,25458,1222000000,47000,48000,46800
2007-09-12,15.18,46900,-0.3(-0.64 %),70980,3334000000,0,0,47100,47100,46900
2007-09-13,15.14,46800,-0.1(-0.21 %),35940,1684000000,0,0,46800,47500,46800
2007-09-14,15.14,46800,0(0.00 %),42400,1985000000,0,0,46800,47000,46500
2007-09-17,15.05,46500,-0.3(-0.64 %),35480,1651000000,0,0,46500,46700,46500
2007-09-18,14.82,45800,-0.7(-1.51 %),115240,5243000000,0,0,45100,46000,45100
2007-09-19,15.18,46900,1.1(2.40 %),67540,3170000000,0,0,47000,47000,46500
2007-09-20,15.01,46400,-0.5(-1.07 %),119500,5548000000,0,0,46500,46500,46000
2007-09-21,14.88,46000,-0.4(-0.86 %),94000,4348000000,0,0,46400,47000,46000
2007-09-24,14.88,46000,0(0.00 %),141800,6503000000,0,0,45800,46000,45600
2007-09-25,15.21,47000,1(2.17 %),216100,10088000000,0,0,46500,47500,46000
2007-09-26,15.05,46500,-0.5(-1.06 %),156010,7311000000,0,0,47000,47500,46500
2007-09-27,14.82,45800,-0.7(-1.51 %),108410,4976000000,0,0,46000,46000,45800
2007-09-28,15.21,47000,1.2(2.62 %),381570,17696000000,0,0,46000,47000,45800
2007-10-01,15.95,49300,2.3(4.89 %),289690,14282000000,0,0,49300,49300,49300
2007-10-02,16.66,51500,2.2(4.46 %),671850,34533000000,0,0,51500,51500,50000
2007-10-03,17.47,54000,2.5(4.85 %),535810,28826000000,0,0,54000,54000,52500
2007-10-04,16.66,51500,-2.5(-4.63 %),367880,19073000000,0,0,52000,52500,51500
2007-10-05,16.34,50500,-1(-1.94 %),157450,7918000000,20000,1030000000,50000,51500,50000
2007-10-08,16.18,50000,-0.5(-0.99 %),183310,9217000000,0,0,50500,51000,50000
2007-10-09,16.34,50500,0.5(1.00 %),158290,8013000000,0,0,50500,51000,50000
2007-10-10,16.34,50500,0(0.00 %),160450,8122000000,0,0,51000,51500,50000
2007-10-11,16.18,50000,-0.5(-0.99 %),157910,7918000000,0,0,50500,50500,49900
2007-10-12,16.02,49500,-0.5(-1.00 %),94080,4655000000,0,0,49500,50000,49000
2007-10-15,15.89,49100,-0.4(-0.81 %),142020,6974000000,0,0,49000,49500,48900
2007-10-16,16.18,50000,0.9(1.83 %),177860,8819000000,0,0,49100,50000,49100
2007-10-17,16.18,50000,0(0.00 %),234710,11816000000,0,0,51000,51000,50000
2007-10-18,15.85,49000,-1(-2.00 %),120930,5983000000,20000,1000000000,49500,50000,49000
2007-10-19,15.63,48300,-0.7(-1.43 %),120340,5800000000,0,0,48000,49000,48000
2007-10-22,15.5,47900,-0.4(-0.83 %),146910,6991000000,20000,1000000000,47300,48000,47200
2007-10-23,15.43,47700,-0.2(-0.42 %),141260,6783000000,30920,1484000000,48500,48500,47700
2007-10-24,15.53,48000,0.3(0.63 %),148070,7054000000,50000,2400000000,47000,48000,47000
2007-10-25,15.66,48400,0.4(0.83 %),170440,8263000000,0,0,49000,49000,48000
2007-10-26,15.53,48000,-0.4(-0.83 %),133770,6500000000,20000,1000000000,49000,49000,48000
2007-10-29,15.85,49000,1(2.08 %),216700,10769000000,0,0,50000,50000,48500
2007-10-30,15.53,48000,-1(-2.04 %),89170,4234000000,30920,1484000000,47000,48900,47000
2007-10-31,15.27,47200,-0.8(-1.67 %),93710,4432000000,60000,2880000000,47200,47900,47100
2007-11-01,15.11,46700,-0.5(-1.06 %),91900,4309000000,30490,1433000000,47000,47400,46700
2007-11-02,14.95,46200,-0.5(-1.07 %),109160,5052000000,0,0,46500,47000,46000
2007-11-05,14.56,45000,-1.2(-2.60 %),95670,4315000000,0,0,45000,45600,44600
2007-11-06,13.98,43200,-1.8(-4.00 %),113150,4928000000,0,0,43800,44000,43200
2007-11-07,14.24,44000,0.8(1.85 %),101910,4489000000,25000,1100000000,44500,44500,43600
2007-11-08,14.17,43800,-0.2(-0.45 %),55080,2416000000,0,0,43900,44000,43500
2007-11-09,13.88,42900,-0.9(-2.05 %),53600,2305000000,0,0,43000,43600,42900
2007-11-12,13.49,41700,-1.2(-2.80 %),77300,3244000000,27430,1179000000,42000,43000,41700
2007-11-13,12.85,39700,-2(-4.80 %),115180,4655000000,0,0,41000,41500,39700
2007-11-14,13.46,41600,1.9(4.79 %),209630,8683000000,0,0,41000,41600,40800
2007-11-15,13.27,41000,-0.6(-1.44 %),87800,3632000000,0,0,41600,41800,41000
2007-11-16,13.27,41000,0(0.00 %),35180,1434000000,0,0,40600,41000,40100
2007-11-19,13.17,40700,-0.3(-0.73 %),27110,1107000000,0,0,41000,41000,40500
2007-11-20,12.97,40100,-0.6(-1.47 %),59430,2402000000,27430,1116000000,40600,40700,40100
2007-11-21,12.78,39500,-0.6(-1.50 %),51330,2033000000,0,0,40000,40000,39400
2007-11-22,12.94,40000,0.5(1.27 %),113800,4538000000,0,0,39500,40500,39300
2007-11-23,12.88,39800,-0.2(-0.50 %),34250,1365000000,0,0,40000,40000,39500
2007-11-26,12.88,39800,0(0.00 %),86090,3436000000,0,0,39800,40000,39800
2007-11-27,12.88,39800,0(0.00 %),60470,2436000000,0,0,40800,40900,39800
2007-11-28,12.94,40000,0.2(0.50 %),149360,5971000000,0,0,39800,40200,39800
2007-11-29,12.94,40000,0(0.00 %),41330,1652000000,20000,800000000,40000,40000,39800
2007-11-30,12.88,39800,-0.2(-0.50 %),44610,1779000000,20000,800000000,39800,40000,39800
2007-12-03,12.88,39800,0(0.00 %),32230,1284000000,0,0,39800,40000,39800
2007-12-04,12.85,39700,-0.1(-0.25 %),51910,2064000000,0,0,39900,39900,39700
2007-12-05,12.81,39600,-0.1(-0.25 %),27740,1099000000,0,0,39700,39700,39500
2007-12-06,12.62,39000,-0.6(-1.52 %),26530,1025000000,20000,780000000,37800,39500,37800
2007-12-07,12.62,39000,0(0.00 %),74880,2911000000,20000,800000000,39000,39000,38000
2007-12-10,12.36,38200,-0.8(-2.05 %),37720,1446000000,0,0,38600,38900,38200
2007-12-11,11.97,37000,-1.2(-3.14 %),53060,1985000000,25000,908000000,38000,38000,37000
2007-12-12,12.26,37900,0.9(2.43 %),34550,1297000000,29470,1120000000,37000,38100,36600
2007-12-13,12.04,37200,-0.7(-1.85 %),17710,659000000,0,0,37100,37600,37100
2007-12-14,11.94,36900,-0.3(-0.81 %),31920,1179000000,0,0,36900,37000,36900
2007-12-17,11.65,36000,-0.9(-2.44 %),43770,1583000000,0,0,36200,36800,36000
2007-12-18,11.65,36000,0(0.00 %),33550,1206000000,0,0,36000,36000,35500
2007-12-19,11.97,37000,1(2.78 %),75280,2779000000,20000,740000000,37000,37000,36600
2007-12-20,11.81,36500,-0.5(-1.35 %),37810,1402000000,0,0,37800,37800,36300
2007-12-21,11.71,36200,-0.3(-0.82 %),47290,1720000000,0,0,36500,36500,36200
2007-12-24,11.62,35900,-0.3(-0.83 %),50910,1831000000,0,0,36100,36500,35800
2007-12-25,11.42,35300,-0.6(-1.67 %),21150,751000000,0,0,35800,35800,35300
2007-12-26,11.49,35500,0.2(0.57 %),35450,1263000000,0,0,36500,36500,35500
2007-12-27,11.58,35800,0.3(0.85 %),49370,1773000000,0,0,35500,36300,35500
2007-12-28,11.81,36500,0.7(1.96 %),68260,2487000000,0,0,36300,36500,36000
2008-01-02,11.91,36800,0.3(0.82 %),36320,1340000000,0,0,37000,37000,36700
2008-01-03,11.65,36000,-0.8(-2.17 %),27930,1014000000,0,0,36800,36800,36000
2008-01-04,11.49,35500,-0.5(-1.39 %),30380,1077000000,0,0,35500,35500,35100
2008-01-07,11.03,34100,-1.4(-3.94 %),40100,1381000000,0,0,35100,35100,34000
2008-01-08,11.07,34200,0.1(0.29 %),40180,1384000000,0,0,34500,35200,34100
2008-01-09,10.68,33000,-1.2(-3.51 %),65100,2209000000,0,0,34200,34600,33000
2008-01-10,10.19,31500,-1.5(-4.55 %),53970,1725000000,0,0,32800,32800,31500
2008-01-11,10.42,32200,0.7(2.22 %),43920,1412000000,0,0,32000,32500,32000
2008-01-14,9.9,30600,-1.6(-4.97 %),71450,2203000000,0,0,31800,31800,30600
2008-01-15,9.42,29100,-1.5(-4.90 %),95320,2785000000,0,0,29500,30000,29100
2008-01-16,9.87,30500,1.4(4.81 %),28990,884000000,0,0,30500,30500,30000
2008-01-17,9.74,30100,-0.4(-1.31 %),93140,2869000000,0,0,31100,31700,30000
2008-01-18,9.97,30800,0.7(2.33 %),45830,1389000000,0,0,30000,30800,30000
2008-01-21,9.77,30200,-0.6(-1.95 %),19950,604000000,0,0,30400,30400,30200
2008-01-22,9.54,29500,-0.7(-2.32 %),50590,1478000000,0,0,29000,29500,29000
2008-01-23,9.09,28100,-1.4(-4.75 %),87870,2482000000,0,0,29000,29000,28100
2008-01-24,8.99,27800,-0.3(-1.07 %),48000,1368000000,0,0,28900,29000,27800
2008-01-25,8.99,27800,0(0.00 %),36810,1015000000,0,0,27000,28000,27000
2008-01-28,8.87,27400,-0.4(-1.44 %),28560,789000000,0,0,27900,27900,27400
2008-01-29,9.25,28600,1.2(4.38 %),51950,1449000000,0,0,27100,28600,27000
2008-01-30,9.71,30000,1.4(4.90 %),68490,2052000000,0,0,29900,30000,29800
2008-01-31,9.71,30000,0(0.00 %),65380,1958000000,0,0,30500,30500,29000
2008-02-01,10.19,31500,1.5(5.00 %),61610,1913000000,0,0,30500,31500,30500
2008-02-12,9.97,30800,-0.7(-2.22 %),52010,1609000000,0,0,31500,32000,30000
2008-02-13,9.51,29400,-1.4(-4.55 %),46650,1372000000,0,0,29600,29600,29300
2008-02-14,9.51,29400,0(0.00 %),68010,2016000000,0,0,29200,30000,29200
2008-02-15,9.25,28600,-0.8(-2.72 %),38600,1112000000,0,0,29100,29200,28500
2008-02-18,8.8,27200,-1.4(-4.90 %),103160,2825000000,0,0,27800,27900,27200
2008-02-19,8.9,27500,0.3(1.10 %),60600,1635000000,0,0,26500,27500,26500
2008-02-20,8.51,26300,-1.2(-4.36 %),68620,1842000000,0,0,27500,27500,26300
2008-02-21,8.09,25000,-1.3(-4.94 %),132860,3324000000,0,0,25100,25100,25000
2008-02-22,8.25,25500,0.5(2.00 %),162510,3910000000,0,0,23800,25500,23800
2008-02-25,8.64,26700,1.2(4.71 %),54690,1460000000,0,0,26700,26700,26600
2008-02-26,8.22,25400,-1.3(-4.87 %),107860,2897000000,0,0,27500,27500,25400
2008-02-27,8.38,25900,0.5(1.97 %),74950,1955000000,0,0,25600,26600,25600
2008-02-28,8.32,25700,-0.2(-0.77 %),87570,2270000000,0,0,26200,26300,25700
2008-02-29,8.22,25400,-0.3(-1.17 %),54670,1386000000,0,0,25700,25700,25000
2008-03-03,7.83,24200,-1.2(-4.72 %),89790,2192690000,0,0,25000,25000,24200
2008-03-04,7.44,23000,-1.2(-4.96 %),74210,1706930000,0,0,23000,23100,23000
2008-03-05,7.09,21900,-1.1(-4.78 %),53890,1180191000,0,0,21900,21900,21900
2008-03-06,7.41,22900,1(4.57 %),71850,1645365000,0,0,22900,22900,22900
2008-03-07,7.77,24000,1.1(4.80 %),10350,248400000,0,0,24000,24000,24000
2008-03-10,7.77,24000,0(0.00 %),124460,3125478000,0,0,25200,25200,24000
2008-03-11,7.38,22800,-1.2(-5.00 %),79670,1834745000,0,0,23500,23500,22800
2008-03-12,7.44,23000,0.2(0.88 %),23040,531446000,0,0,22500,23800,22500
2008-03-13,7.38,22800,-0.2(-0.87 %),35060,808534000,0,0,23200,23500,22800
2008-03-14,7.31,22600,-0.2(-0.88 %),38570,872632000,0,0,22500,22800,22200
2008-03-17,6.96,21500,-1.1(-4.87 %),63120,1357811000,0,0,21500,21700,21500
2008-03-18,6.63,20500,-1(-4.65 %),45630,935415000,0,0,20500,20500,20500
2008-03-19,6.63,20500,0(0.00 %),75140,1581720000,0,0,20500,21500,20500
2008-03-20,6.63,20500,0(0.00 %),44590,919064000,0,0,20600,21000,20500
2008-03-21,6.41,19800,-0.7(-3.41 %),66670,1343397000,0,0,20300,20400,19800
2008-03-24,6.12,18900,-0.9(-4.55 %),59840,1131091000,0,0,18900,19000,18900
2008-03-25,5.82,18000,-0.9(-4.76 %),69600,1253132000,0,0,18000,18400,18000
2008-03-26,6.12,18900,0.9(5.00 %),96770,1817603000,0,0,18600,18900,18500
2008-03-27,6.15,19000,0.1(0.53 %),2100,39900000,0,0,19000,19000,19000
