Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-05-30,12.86,13450,0.4(3.07 %),4453270,60549000000,0,0,13250,13950,13050
2017-05-31,12.28,12850,-0.6(-4.46 %),1562860,21020000000,0,0,13500,13850,12850
2017-06-01,11.47,12000,-0.85(-6.61 %),743410,8921000000,0,0,12000,12000,12000
2017-06-02,10.71,11200,-0.8(-6.67 %),924640,10356000000,0,0,11200,11200,11200
2017-06-05,9.99,10450,-0.75(-6.70 %),2266580,23701000000,0,0,10450,10650,10450
2017-06-06,9.33,9760,-0.69(-6.60 %),4493100,43863000000,0,0,9720,10100,9720
2017-06-07,9.39,9820,0.06(0.61 %),1339010,13296000000,0,0,9780,10250,9700
2017-06-08,8.74,9140,-0.68(-6.92 %),725280,6708000000,0,0,9650,9820,9140
2017-06-09,8.17,8550,-0.59(-6.46 %),1217110,10391000000,0,0,8510,8700,8510
2017-06-12,7.89,8250,-0.3(-3.51 %),474890,3902000000,0,0,8300,8500,8100
2017-06-13,7.89,8250,0(0.00 %),441090,3615000000,0,0,8250,8380,8100
2017-06-14,8.27,8650,0.4(4.85 %),714910,6039000000,0,0,8260,8670,8200
2017-06-15,8.39,8780,0.13(1.50 %),552760,4793000000,0,0,8600,8800,8500
2017-06-16,8.62,9020,0.24(2.73 %),1020660,9113000000,0,0,8780,9200,8610
2017-06-19,8.63,9030,0.01(0.11 %),309490,2802000000,0,0,8950,9120,8950
2017-06-20,8.63,9030,0(0.00 %),323580,2921000000,0,0,9030,9100,8850
2017-06-21,8.7,9100,0.07(0.78 %),351730,3178000000,0,0,8900,9150,8900
2017-06-22,9.2,9620,0.52(5.71 %),1053230,9906000000,0,0,9100,9650,9100
2017-06-23,9.75,10200,0.58(6.03 %),1688050,16829000000,0,0,9620,10250,9500
2017-06-26,9.56,10000,-0.2(-1.96 %),1083220,11088000000,0,0,10350,10700,9880
2017-06-27,9.46,9900,-0.1(-1.00 %),639010,6353000000,0,0,10100,10300,9780
2017-06-28,9.46,9900,0(0.00 %),560480,5546000000,0,0,9850,10000,9680
2017-06-29,10.08,10550,0.65(6.57 %),2766130,28426000000,21250,210375000,9880,10550,9800
2017-06-30,10.75,11250,0.7(6.64 %),3403220,37194000000,0,0,10650,11250,10300
2017-07-03,10.61,11100,-0.15(-1.33 %),1445620,16141000000,0,0,11350,11500,10900
2017-07-04,10.04,10500,-0.6(-5.41 %),1766700,19084000000,0,0,11000,11600,10350
2017-07-05,9.42,9850,-0.65(-6.19 %),444190,4387000000,0,0,10200,10500,9780
2017-07-06,9.48,9920,0.07(0.71 %),679320,6813000000,0,0,9850,10300,9600
2017-07-07,9.54,9980,0.06(0.60 %),561300,5597000000,0,0,9920,10200,9850
2017-07-10,9.8,10250,0.27(2.71 %),456150,4587000000,0,0,9900,10250,9800
2017-07-11,9.65,10100,-0.15(-1.46 %),392960,3987000000,0,0,10250,10350,9900
2017-07-12,9.46,9900,-0.2(-1.98 %),230490,2313000000,0,0,10000,10200,9850
2017-07-13,9.46,9900,0(0.00 %),405440,4031000000,0,0,9800,10200,9800
2017-07-14,9.46,9900,0(0.00 %),366250,3533000000,0,0,9900,9900,9360
2017-07-17,9.7,10150,0.25(2.53 %),2633310,26790000000,0,0,9950,10300,9900
2017-07-18,9.56,10000,-0.15(-1.48 %),128910,1296000000,0,0,10150,10200,9900
2017-07-19,9.37,9800,-0.2(-2.00 %),240410,2393000000,0,0,10000,10200,9800
2017-07-20,9.32,9750,-0.05(-0.51 %),197230,1911000000,0,0,10000,10000,9500
2017-07-21,9.32,9750,0(0.00 %),360270,3541000000,0,0,9700,9950,9700
2017-07-24,9.48,9920,0.17(1.74 %),266380,2621000000,0,0,9750,9920,9600
2017-07-25,9.55,9990,0.07(0.71 %),261490,2591000000,0,0,9920,9990,9750
2017-07-26,9.46,9900,-0.09(-0.90 %),821370,8053000000,0,0,9990,10100,9470
2017-07-27,10.08,10550,0.65(6.57 %),2351700,24306000000,0,0,9920,10550,9800
2017-07-28,10.08,10550,0(0.00 %),2347610,25749000000,0,0,10650,11250,10450
2017-07-31,9.55,9990,-0.56(-5.31 %),1838920,18118000000,0,0,10300,10600,9820
2017-08-01,8.89,9300,-0.69(-6.91 %),2051260,19128000000,0,0,9990,9990,9300
2017-08-02,8.27,8650,-0.65(-6.99 %),1631670,14114000000,0,0,8650,9200,8650
2017-08-03,7.87,8230,-0.42(-4.86 %),2490530,20087000000,0,0,8050,8300,8050
2017-08-04,8.41,8800,0.57(6.93 %),3140940,27006000000,0,0,8250,8800,8250
2017-08-07,8.22,8600,-0.2(-2.27 %),1982240,16715000000,0,0,8920,8920,8190
2017-08-08,7.65,8000,-0.6(-6.98 %),1967520,15760000000,0,0,8100,8490,8000
2017-08-09,7.11,7440,-0.56(-7.00 %),2128050,15835000000,0,0,7500,8000,7440
2017-08-10,7.07,7400,-0.04(-0.54 %),1396910,10083000000,0,0,6930,7600,6930
2017-08-11,7.07,7400,0(0.00 %),933540,6780000000,0,0,7200,7450,7150
2017-08-14,7.31,7650,0.25(3.38 %),1706900,12630000000,0,0,7400,7720,7120
2017-08-15,7.22,7550,-0.1(-1.31 %),1541170,12032000000,0,0,7800,8080,7370
2017-08-16,7.17,7500,-0.05(-0.66 %),787130,5673000000,0,0,7300,7500,7140
2017-08-17,6.77,7080,-0.42(-5.60 %),770010,5478000000,0,0,7400,7400,7080
2017-08-18,6.6,6900,-0.18(-2.54 %),921790,6345000000,0,0,7000,7000,6760
2017-08-21,6.63,6940,0.04(0.58 %),267900,1851000000,0,0,6950,6990,6800
2017-08-22,6.64,6950,0.01(0.14 %),456170,3135000000,0,0,6810,6980,6810
2017-08-23,6.68,6990,0.04(0.58 %),317920,2219000000,0,0,6800,7080,6800
2017-08-24,6.77,7080,0.09(1.29 %),452990,3175000000,0,0,6990,7100,6830
2017-08-25,6.83,7150,0.07(0.99 %),741370,5314000000,0,0,7100,7270,7050
2017-08-28,6.64,6950,-0.2(-2.80 %),537680,3792000000,0,0,7150,7230,6900
2017-08-29,6.61,6910,-0.04(-0.58 %),538320,3757000000,0,0,7000,7100,6900
2017-08-30,6.68,6990,0.08(1.16 %),818640,5708000000,0,0,6900,7180,6870
2017-08-31,6.63,6940,-0.05(-0.72 %),378370,2659000000,0,0,7000,7120,6910
2017-09-01,6.69,7000,0.06(0.86 %),1077600,7513000000,0,0,6940,7100,6900
2017-09-05,6.66,6970,-0.03(-0.43 %),545020,3807000000,0,0,6960,7030,6950
2017-09-06,6.69,7000,0.03(0.43 %),664750,4653000000,0,0,6970,7030,6970
2017-09-07,6.7,7010,0.01(0.14 %),778610,5457000000,0,0,6980,7050,6900
2017-09-08,6.74,7050,0.04(0.57 %),587130,4128000000,0,0,7030,7100,6980
2017-09-11,7.08,7410,0.36(5.11 %),1592140,11561000000,0,0,7060,7510,7060
2017-09-12,6.86,7180,-0.23(-3.10 %),704040,5215000000,0,0,7400,7500,7180
2017-09-13,6.91,7230,0.05(0.70 %),646750,4669000000,0,0,7200,7350,7090
2017-09-14,6.83,7150,-0.08(-1.11 %),264760,1901000000,0,0,7210,7250,7100
2017-09-15,6.79,7100,-0.05(-0.70 %),355240,2522000000,0,0,7060,7150,7060
2017-09-18,6.81,7120,0.02(0.28 %),346530,2458000000,0,0,7080,7140,7050
2017-09-19,6.82,7130,0.01(0.14 %),448760,3228000000,0,0,7110,7270,7110
2017-09-20,6.76,7070,-0.06(-0.84 %),492470,3496000000,0,0,7140,7180,7050
2017-09-21,6.87,7190,0.12(1.70 %),427660,3029000000,0,0,7100,7190,7050
