Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-04-20,9.53,32500,0.05(0.15 %),1970610,63801000000,0,0,32800,32800,31900
2018-04-23,9.03,30800,-1.7(-5.23 %),918490,28948000000,0,0,30800,32600,30300
2018-04-24,9.03,30800,0(0.00 %),1084620,32699000000,0,0,30300,31000,28700
2018-04-26,8.71,29700,-1.1(-3.57 %),618040,18673000000,0,0,30700,30900,29500
2018-04-27,8.85,30200,0.5(1.68 %),783680,23248000000,0,0,29950,30200,29350
2018-05-02,8.73,29800,-0.4(-1.32 %),468940,14162000000,0,0,29800,30900,29700
2018-05-03,8.73,29800,0(0.00 %),407660,12007000000,0,0,29800,29800,29000
2018-05-04,8.73,29800,0(0.00 %),267600,8015000000,0,0,30450,30450,29500
2018-05-07,8.79,30000,0.2(0.67 %),269800,8034000000,0,0,29900,30000,29200
2018-05-08,8.82,30100,0.1(0.33 %),556210,16730000000,0,0,31000,31000,29800
2018-05-09,8.79,30000,-0.1(-0.33 %),368930,11040000000,0,0,30100,30100,29600
2018-05-10,8.65,29500,-0.5(-1.67 %),184990,5493000000,0,0,30000,30000,29000
2018-05-11,8.73,29800,0.3(1.02 %),725410,21188000000,0,0,29500,29800,28600
2018-05-14,8.65,29500,-0.3(-1.01 %),252920,7415000000,0,0,29800,29800,28800
2018-05-15,8.73,29800,0.3(1.02 %),468650,13841000000,0,0,29500,29850,28800
2018-05-16,8.65,29500,-0.3(-1.01 %),525340,15538000000,0,0,29800,29850,29200
2018-05-17,8.65,29500,0(0.00 %),385710,11383000000,0,0,29600,29800,29300
2018-05-18,8.71,29700,0.2(0.68 %),465950,13747000000,0,0,29400,29800,29150
2018-05-21,8.66,29550,-0.15(-0.51 %),339500,10056000000,0,0,29750,29750,29450
2018-05-22,8.59,29300,-0.25(-0.85 %),414600,12141000000,0,0,29550,29750,28600
2018-05-23,8.62,29400,0.1(0.34 %),506080,14801000000,0,0,29300,29450,28900
2018-05-24,8.59,29300,-0.1(-0.34 %),366890,10758000000,0,0,29350,29450,29100
2018-05-25,8.5,29000,-0.3(-1.02 %),307990,8999000000,0,0,29300,29400,28950
2018-05-28,7.94,27100,-1.9(-6.55 %),197040,5462000000,0,0,28800,28900,27100
2018-05-29,8.44,28800,1.7(6.27 %),590410,16759000000,0,0,27500,28850,27500
2018-05-30,8.41,28700,-0.1(-0.35 %),171480,4919000000,0,0,28750,28950,28400
2018-05-31,8.21,28000,-0.7(-2.44 %),287350,8162000000,0,0,28600,28650,28000
2018-06-01,8.21,28000,0(0.00 %),100550,2846000000,0,0,28600,28600,28000
2018-06-04,8.65,29500,1.5(5.36 %),387700,11211000000,0,0,28100,29800,27950
2018-06-05,8.62,29400,-0.1(-0.34 %),459200,13463000000,0,0,29600,29600,28900
2018-06-06,8.47,28900,-0.5(-1.70 %),847910,24720000000,0,0,29200,29300,28800
2018-06-07,8.47,28900,0(0.00 %),675570,19531000000,0,0,29000,29000,28700
2018-06-08,8.4,28650,-0.25(-0.87 %),1162520,33464000000,0,0,28900,29000,28500
2018-06-11,8.35,28500,-0.15(-0.52 %),38710,1107000000,0,0,28900,28900,28200
2018-06-12,8.27,28200,-0.3(-1.05 %),42180,1186000000,0,0,28500,28500,27800
2018-06-13,8.27,28200,0(0.00 %),111190,3126000000,0,0,28200,28300,28000
2018-06-14,8.21,28000,-0.2(-0.71 %),22990,643000000,0,0,28200,28200,27750
2018-06-18,7.91,27000,-0.8(-2.88 %),44490,1216000000,0,0,27800,27800,27000
2018-06-19,7.94,27100,0.1(0.37 %),648860,17442000000,0,0,26600,27400,25150
2018-06-20,8.03,27400,0.3(1.11 %),648730,17665000000,0,0,27100,27500,27100
2018-06-21,8.03,27400,0(0.00 %),43660,1197000000,0,0,27600,27900,27000
2018-06-22,8.06,27500,0.1(0.36 %),115320,3164000000,0,0,27300,27500,27300
2018-06-25,8.15,27800,0.3(1.09 %),204990,5691000000,0,0,27550,28000,27500
2018-06-26,8.15,27800,0(0.00 %),101440,2788000000,0,0,26200,27900,26200
2018-06-27,8.1,27650,-0.15(-0.54 %),42360,1159000000,0,0,27700,27800,27000
2018-06-28,7.91,27000,-0.65(-2.35 %),44370,1206000000,0,0,27650,27650,27000
2018-06-29,8.06,27500,0.5(1.85 %),234590,6384000000,0,0,27500,27500,26900
2018-07-02,7.91,27000,-0.5(-1.82 %),73960,2015000000,0,0,27500,27600,26950
2018-07-03,7.65,26100,-0.9(-3.33 %),182230,4862000000,0,0,27000,27050,25950
2018-07-04,7.46,25450,-0.65(-2.49 %),283830,7246000000,0,0,26100,26200,24800
2018-07-05,7.42,25300,-0.15(-0.59 %),779170,20268000000,0,0,25900,26350,25300
2018-07-06,7.83,26700,1.4(5.53 %),344120,9014000000,0,0,25300,26700,25300
2018-07-09,7.91,27000,0.3(1.12 %),226510,6079000000,0,0,27000,27000,24850
2018-07-10,7.97,27200,0.2(0.74 %),278740,7537000000,784767,19736890050,27000,27200,26900
2018-07-11,7.86,26800,-0.4(-1.47 %),82430,2208000000,0,0,27200,27200,26600
2018-07-12,7.84,26750,-0.05(-0.19 %),138910,3707000000,0,0,26750,26800,26550
2018-07-13,7.94,27100,0.35(1.31 %),303750,8222000000,0,0,27150,27250,26900
2018-07-16,7.91,27000,-0.1(-0.37 %),216440,5814000000,0,0,27000,27000,26500
2018-07-17,7.86,26800,-0.2(-0.74 %),157780,4244000000,0,0,27000,27050,26800
2018-07-18,7.91,27000,0.2(0.75 %),247780,6672000000,0,0,26850,27100,26650
2018-07-19,7.88,26900,-0.1(-0.37 %),55150,1484000000,0,0,26950,27000,26700
2018-07-20,7.88,26900,0(0.00 %),25590,687000000,0,0,26900,27000,26800
2018-07-23,7.87,26850,-0.05(-0.19 %),65750,1767000000,0,0,26850,26950,26700
2018-07-24,7.83,26700,-0.15(-0.56 %),78680,2109000000,0,0,27000,27050,25000
2018-07-25,7.74,26400,-0.3(-1.12 %),98910,2628000000,0,0,26600,26850,25000
2018-07-26,7.77,26500,0.1(0.38 %),73720,1960000000,1650000,40898000000,26400,26800,26350
2018-07-27,7.8,26600,0.1(0.38 %),104230,2773000000,440000,10846000000,26500,26800,26350
2018-07-30,7.5,25600,-1(-3.76 %),217670,5667000000,0,0,25900,26600,25100
2018-07-31,7.47,25500,-0.1(-0.39 %),131670,3342000000,0,0,25050,25600,25050
2018-08-01,7.33,25000,-0.5(-1.96 %),134560,3407000000,0,0,25350,25550,25000
2018-08-02,7.24,24700,-0.3(-1.20 %),188020,4575000000,0,0,24950,25000,24000
2018-08-03,7.22,24650,-0.05(-0.20 %),200320,4958000000,0,0,24000,25000,24000
2018-08-06,7.01,23900,-0.75(-3.04 %),301330,7357000000,0,0,24650,25000,23800
2018-08-07,7.05,24050,0.15(0.63 %),95960,2303000000,0,0,23950,24100,23950
2018-08-08,7.15,24400,0.35(1.46 %),225180,5466000000,0,0,24050,24550,24050
2018-08-09,7.44,25400,1(4.10 %),461210,11682000000,0,0,24500,25700,24500
2018-08-10,7.49,25550,0.15(0.59 %),332110,8438000000,0,0,25450,25700,25100
2018-08-13,7.62,26000,0.45(1.76 %),336850,8697000000,0,0,25600,26050,25350
2018-08-14,7.62,26000,0(0.00 %),312680,8192000000,0,0,26300,26400,26000
2018-08-15,7.55,25750,-0.25(-0.96 %),289650,7546000000,0,0,26000,26250,25700
2018-08-16,7.64,26050,0.3(1.17 %),235000,6075000000,0,0,25600,26100,25600
2018-08-17,7.69,26250,0.2(0.77 %),262420,6910000000,0,0,26300,27000,26050
2018-08-20,7.62,26000,-0.25(-0.95 %),285190,7452000000,0,0,26000,26300,26000
2018-08-21,7.69,26250,0.25(0.96 %),312010,8146000000,0,0,26000,26250,26000
2018-08-22,7.72,26350,0.1(0.38 %),435620,11551000000,146655,3585714750,26250,26650,26100
2018-08-23,7.77,26500,0.15(0.57 %),375720,9971000000,0,0,26200,26700,26200
2018-08-24,7.78,26550,0.05(0.19 %),318750,8451000000,0,0,26550,26550,26400
2018-08-27,7.83,26700,0.15(0.56 %),262880,6999000000,0,0,26600,26700,26600
2018-08-28,7.88,26900,0.2(0.75 %),367780,9866000000,229920,6000912000,26600,26950,26600
2018-08-29,7.93,27050,0.15(0.56 %),353290,9513000000,0,0,26900,27100,26800
2018-08-30,7.93,27050,0(0.00 %),386140,10401000000,0,0,27000,27100,26800
2018-08-31,7.88,26900,-0.15(-0.55 %),344740,9332000000,0,0,27050,27250,26900
2018-09-04,7.86,26800,-0.1(-0.37 %),274950,7377000000,0,0,26850,26950,26750
2018-09-05,7.77,26500,-0.3(-1.12 %),287370,7667000000,0,0,26750,26850,26500
2018-09-06,7.22,24650,-1.85(-6.98 %),314500,8307000000,0,0,26400,26800,24650
2018-09-07,7.72,26350,1.7(6.90 %),334230,8686000000,0,0,25750,26350,25700
2018-09-10,7.72,26350,0(0.00 %),295040,7788000000,0,0,26450,26550,26250
2018-09-11,7.65,26100,-0.25(-0.95 %),306000,8037000000,0,0,26350,26400,26100
2018-09-12,7.65,26100,0(0.00 %),311310,8137000000,0,0,26100,26350,26000
2018-09-13,7.68,26200,0.1(0.38 %),274320,7179000000,0,0,26150,26250,26100
2018-09-14,7.68,26200,0(0.00 %),296230,7760000000,0,0,26200,26300,26150
2018-09-17,7.65,26100,-0.1(-0.38 %),296810,7744000000,0,0,26200,26200,26000
2018-09-18,7.65,26100,0(0.00 %),341310,8832000000,0,0,26100,26100,25550
2018-09-19,7.68,26200,0.1(0.38 %),403380,10532000000,0,0,26150,26250,26000
2018-09-20,7.69,26250,0.05(0.19 %),451650,11867000000,0,0,26250,26450,26200
2018-09-21,7.69,26250,0(0.00 %),458990,12061000000,0,0,26250,26400,26200
2018-09-24,7.69,26250,0(0.00 %),179800,4727000000,0,0,26300,26400,26200
2018-09-25,7.61,25950,-0.3(-1.14 %),352600,9151000000,0,0,25950,26250,25850
2018-09-26,7.62,26000,0.05(0.19 %),280770,7297000000,0,0,26000,26550,25800
2018-09-27,7.62,26000,0(0.00 %),237590,6180000000,0,0,26000,26200,25950
2018-09-28,7.68,26200,0.2(0.77 %),377090,9812000000,0,0,26000,26200,25900
2018-10-01,7.68,26200,0(0.00 %),334990,8787000000,0,0,26200,26350,26150
2018-10-02,7.66,26150,-0.05(-0.19 %),462710,12109000000,0,0,26200,26500,25950
2018-10-03,7.71,26300,0.15(0.57 %),493170,12945000000,150000,3900000000,26200,26350,26150
2018-10-04,7.91,27000,0.7(2.66 %),918360,24659000000,0,0,26300,27200,26300
2018-10-05,7.91,27000,0(0.00 %),691450,18666000000,0,0,27100,27150,26850
2018-10-08,7.81,26650,-0.35(-1.30 %),586980,15690000000,0,0,27050,27050,26500
2018-10-09,7.83,26700,0.05(0.19 %),1065850,28290000000,0,0,26400,26750,26300
2018-10-10,7.83,26700,0(0.00 %),557840,14903000000,0,0,26700,26800,26600
2018-10-11,7.3,24900,-1.8(-6.74 %),500890,12654000000,0,0,24900,26000,24900
2018-10-12,7.37,25150,0.25(1.00 %),376500,9438000000,0,0,24850,25300,24850
2018-10-15,7.03,24000,-1.15(-4.57 %),336550,8333000000,0,0,25100,25150,23400
2018-10-16,7.08,24150,0.15(0.62 %),328810,7929000000,0,0,24050,24250,24000
2018-10-17,7.18,24500,0.35(1.45 %),321550,7929000000,0,0,24500,25000,24200
2018-10-18,7.17,24450,-0.05(-0.20 %),279180,6845000000,0,0,24550,24750,24400
2018-10-19,7.17,24450,0(0.00 %),308190,7513000000,0,0,24400,24500,24200
2018-10-22,7.21,24600,0.15(0.61 %),386440,9574000000,0,0,24450,25100,24450
2018-10-23,7.15,24400,-0.2(-0.81 %),315760,7737000000,0,0,24650,24650,24350
2018-10-24,7.2,24550,0.15(0.61 %),316220,7754000000,0,0,24450,24650,24400
2018-10-25,7.18,24500,-0.05(-0.20 %),249910,6083000000,0,0,24450,24550,24150
2018-10-26,7.28,24850,0.35(1.43 %),269600,6688000000,0,0,24650,25000,24650
2018-10-29,7.28,24850,0(0.00 %),217050,5382000000,0,0,24850,24900,24650
2018-10-30,7.33,25000,0.15(0.60 %),368350,9214000000,0,0,24850,25200,24850
2018-10-31,7.58,25850,0.85(3.40 %),308320,7925000000,0,0,25500,25850,25500
2018-11-01,7.55,25750,-0.1(-0.39 %),285340,7392000000,0,0,26500,26500,25700
2018-11-02,7.03,24000,-1.75(-6.80 %),511310,13123000000,0,0,25800,26050,24000
2018-11-05,7.25,24750,0.75(3.12 %),481700,11863000000,0,0,24500,24800,24450
2018-11-06,7.25,24750,0(0.00 %),248270,6158000000,0,0,24750,24900,24700
2018-11-07,7.33,25000,0.25(1.01 %),255460,6362000000,0,0,24750,25100,24750
2018-11-08,7.42,25300,0.3(1.20 %),631830,15771000000,0,0,25000,25400,24650
2018-11-09,7.36,25100,-0.2(-0.79 %),563400,14218000000,0,0,25300,25600,25000
2018-11-12,7.49,25550,0.45(1.79 %),234920,5900000000,0,0,25100,25550,24950
2018-11-13,7.46,25450,-0.1(-0.39 %),206970,5248000000,0,0,25500,25500,25250
