Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-11-29,7.9,67500,-1.5(-2.17 %),162750,10924000000,0,0,66500,68000,66500
2007-11-30,7.61,65000,-2.5(-3.70 %),27510,1805000000,0,0,67500,68000,65000
2007-12-03,7.38,63000,-2(-3.08 %),17540,1108000000,0,0,67000,67000,63000
2007-12-04,7.14,61000,-2(-3.17 %),100090,6128000000,0,0,62000,62000,60000
2007-12-05,6.85,58500,-2.5(-4.10 %),49750,2937000000,0,0,60000,60000,58500
2007-12-06,7.02,60000,1.5(2.56 %),20270,1209000000,0,0,58000,60000,58000
2007-12-07,7.02,60000,0(0.00 %),14980,898000000,0,0,60000,60000,59500
2007-12-10,6.85,58500,-1.5(-2.50 %),11010,644000000,0,0,58500,58500,58500
2007-12-11,6.67,57000,-1.5(-2.56 %),19050,1082000000,0,0,58500,58500,56000
2007-12-12,6.44,55000,-2(-3.51 %),62960,3515000000,20000,1190000000,55500,59000,55000
2007-12-13,6.38,54500,-0.5(-0.91 %),24250,1324000000,0,0,55000,55000,54500
2007-12-14,6.44,55000,0.5(0.92 %),16180,890000000,0,0,55000,55500,55000
2007-12-17,6.15,52500,-2.5(-4.55 %),34500,1838000000,0,0,53000,54000,52500
2007-12-18,5.97,51000,-1.5(-2.86 %),8300,423000000,0,0,50500,52000,50500
2007-12-19,6.2,53000,2(3.92 %),48490,2574000000,0,0,53000,53500,52500
2007-12-20,6.15,52500,-0.5(-0.94 %),17520,935000000,20000,1050000000,54000,54000,52500
2007-12-21,6.15,52500,0(0.00 %),10410,549000000,0,0,53000,53500,52500
2007-12-24,6.09,52000,-0.5(-0.95 %),10560,549000000,0,0,52000,52000,52000
2007-12-25,6.09,52000,0(0.00 %),15300,796000000,0,0,52000,52000,52000
2007-12-26,5.91,50500,-1.5(-2.88 %),30030,1522000000,0,0,50500,51000,50000
2007-12-27,5.97,51000,0.5(0.99 %),31810,1615000000,0,0,50500,51000,50500
2007-12-28,6.2,53000,2(3.92 %),17450,917000000,0,0,52000,53000,51500
2008-01-02,5.97,51000,-2(-3.77 %),9070,475000000,0,0,53500,53500,51000
2008-01-03,5.97,51000,0(0.00 %),12640,645000000,0,0,51000,51000,51000
2008-01-04,5.97,51000,0(0.00 %),9650,486000000,0,0,51500,51500,49500
2008-01-07,5.68,48500,-2.5(-4.90 %),12670,621000000,75000,3638000000,50000,50000,48500
2008-01-08,5.74,49000,0.5(1.03 %),17050,839000000,0,0,48500,49500,48500
2008-01-09,5.62,48000,-1(-2.04 %),10100,491000000,0,0,49000,49500,48000
2008-01-10,5.34,45600,-2.4(-5.00 %),14930,682000000,0,0,45700,46000,45600
2008-01-11,5.15,44000,-1.6(-3.51 %),9750,436000000,0,0,43900,47000,43800
2008-01-14,4.89,41800,-2.2(-5.00 %),6990,302000000,0,0,44000,44000,41800
2008-01-15,4.66,39800,-2(-4.78 %),21450,855000000,0,0,39800,40100,39800
2008-01-16,4.88,41700,1.9(4.77 %),21100,870000000,0,0,39800,41700,39800
2008-01-17,4.65,39700,-2(-4.80 %),38080,1525000000,20000,800000000,40000,42500,39700
2008-01-18,4.59,39200,-0.5(-1.26 %),8950,350000000,0,0,39000,39200,39000
2008-01-21,4.57,39000,-0.2(-0.51 %),7300,287000000,0,0,39900,39900,39000
2008-01-22,4.68,40000,1(2.56 %),33860,1354000000,0,0,40000,40500,39000
2008-01-23,4.45,38000,-2(-5.00 %),36160,1393000000,0,0,39500,39500,38000
2008-01-24,4.45,38000,0(0.00 %),43250,1647000000,0,0,38000,39800,38000
2008-01-25,4.57,39000,1(2.63 %),21080,811000000,0,0,37100,39000,37100
