Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-11-27,7.15,60500,-3(-4.72 %),20,1240000,0,0,63500,63500,60500
2008-11-28,6.79,57500,-3(-4.96 %),150,8625000,0,0,57500,57500,57500
2008-12-01,6.5,55000,-2.5(-4.35 %),10,550000,0,0,57500,57500,55000
2008-12-02,6.2,52500,-2.5(-4.55 %),100,5250000,0,0,52500,52500,52500
2008-12-03,5.9,49900,-2.55(-4.86 %),10020,499998000,0,0,49900,49900,49900
2008-12-04,5.61,46900,-2.3(-4.67 %),1920,90048000,0,0,46900,46900,46900
2008-12-05,5.33,44600,-2.3(-4.90 %),1010,45046000,0,0,44600,44600,44600
2008-12-08,5.07,42400,-2.2(-4.93 %),2100,89040000,0,0,42400,42400,42400
2008-12-09,4.82,40300,-2.1(-4.95 %),35160,1418268000,0,0,40300,42000,40300
2008-12-10,4.6,38500,-1.8(-4.47 %),35350,1357446000,0,0,38300,40000,38300
2008-12-11,4.83,40400,1.9(4.94 %),25530,1012557000,0,0,39500,40400,39000
2008-12-12,5.07,42400,2(4.95 %),22500,954000000,0,0,42400,42400,42400
2008-12-15,5.32,44500,2.1(4.95 %),19780,880170000,0,0,44500,44500,44100
2008-12-16,5.14,43000,-1.5(-3.37 %),23800,1036707000,0,0,44500,44500,42700
2008-12-17,5.14,43000,0(0.00 %),21080,889460000,0,0,43000,43000,41000
2008-12-18,5.14,43000,0(0.00 %),4400,189600000,0,0,43000,43500,42000
2008-12-19,5.08,42500,-0.5(-1.16 %),5650,240320000,0,0,42900,42900,42500
2008-12-22,4.9,41000,-1.5(-3.53 %),10110,421010000,0,0,43000,43000,41000
2008-12-23,4.84,40500,-0.5(-1.22 %),4290,171250000,0,0,39600,40500,39600
2008-12-24,4.72,39500,-1(-2.47 %),2650,102675000,0,0,38500,39500,38500
2008-12-25,4.78,40000,0.5(1.27 %),2360,94280000,0,0,39500,40000,39500
2008-12-26,4.89,40900,0.9(2.25 %),9600,390570000,0,0,40900,40900,40000
2008-12-29,5.02,42000,1.1(2.69 %),310,12620000,0,0,40000,42000,40000
2008-12-30,5.14,43000,1(2.38 %),6010,254630000,0,0,42000,43000,42000
2008-12-31,5.02,42000,-1(-2.33 %),4010,169050000,0,0,43500,43500,42000
2009-01-02,4.9,41000,-1(-2.38 %),2120,86920000,0,0,41000,41000,41000
2009-01-05,4.9,41000,0(0.00 %),0,0,0,0,41000,41000,41000
2009-01-06,5.0,41800,0.8(1.95 %),420,17340000,0,0,41000,41800,41000
2009-01-07,4.9,41000,-0.8(-1.91 %),5420,231855000,0,0,42500,43000,41000
2009-01-08,5.01,41900,0.9(2.20 %),10240,415782000,0,0,40100,41900,40000
2009-01-09,5.02,42000,0.1(0.24 %),1510,63170000,0,0,41500,42000,41500
2009-01-12,5.02,42000,0(0.00 %),3700,157780000,0,0,43400,43400,42000
2009-01-13,5.0,41800,-0.2(-0.48 %),1120,46816000,0,0,41800,41800,41800
2009-01-14,4.92,41100,-0.7(-1.67 %),490,20139000,0,0,41100,41100,41100
2009-01-15,4.92,41100,0(0.00 %),4000,164246000,0,0,41000,41100,41000
2009-01-16,4.9,41000,-0.1(-0.24 %),2260,92860000,0,0,41100,41100,41000
