Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-07-25,45.24,138000,-7(-4.83 %),14930,2060000000,0,0,138000,138000,138000
2007-07-26,43.27,132000,-6(-4.35 %),9000,1188000000,0,0,132000,132000,132000
2007-07-27,41.3,126000,-6(-4.55 %),10960,1381000000,0,0,126000,126000,126000
2007-07-30,39.34,120000,-6(-4.76 %),200,24000000,0,0,120000,120000,120000
2007-07-31,37.37,114000,-6(-5.00 %),26310,2999000000,0,0,114000,114000,114000
2007-08-01,37.7,115000,1(0.88 %),205320,22684000000,0,0,109000,115000,109000
2007-08-02,36.06,110000,-5(-4.35 %),78080,8589000000,0,0,110000,112000,110000
2007-08-03,34.75,106000,-4(-3.64 %),98400,10550000000,0,0,107000,109000,106000
2007-08-06,33.44,102000,-4(-3.77 %),135260,13809000000,0,0,102000,104000,102000
2007-08-07,34.09,104000,2(1.96 %),117200,11914000000,0,0,101000,105000,100000
2007-08-08,34.75,106000,2(1.92 %),70720,7415000000,0,0,104000,106000,104000
2007-08-09,36.39,111000,5(4.72 %),117980,12963000000,0,0,109000,111000,109000
2007-08-10,37.7,115000,4(3.60 %),220080,25339000000,0,0,116000,116000,110000
2007-08-13,36.06,110000,-5(-4.35 %),110890,12285000000,0,0,111000,112000,110000
2007-08-14,37.7,115000,5(4.55 %),269530,30611000000,0,0,113000,115000,112000
2007-08-15,37.7,115000,0(0.00 %),186580,21522000000,0,0,115000,117000,115000
2007-08-16,37.37,114000,-1(-0.87 %),117410,13465000000,0,0,115000,116000,114000
2007-08-17,37.04,113000,-1(-0.88 %),67530,7605000000,0,0,112000,114000,112000
2007-08-20,38.02,116000,3(2.65 %),102940,11871000000,0,0,114000,116000,114000
2007-08-21,37.7,115000,-1(-0.86 %),83080,9598000000,0,0,116000,116000,114000
2007-08-22,37.37,114000,-1(-0.87 %),48450,5509000000,0,0,113000,115000,113000
2007-08-23,36.71,112000,-2(-1.75 %),62030,7005000000,0,0,113000,114000,112000
2007-08-24,37.04,113000,1(0.89 %),128230,14530000000,0,0,114000,115000,113000
2007-08-27,36.71,112000,-1(-0.88 %),35120,3947000000,0,0,112000,114000,112000
2007-08-28,36.39,111000,-1(-0.89 %),58960,6563000000,0,0,112000,112000,111000
2007-08-29,36.39,111000,0(0.00 %),44320,4917000000,0,0,111000,111000,110000
2007-08-30,36.06,110000,-1(-0.90 %),51570,5653000000,0,0,110000,111000,107000
2007-08-31,36.39,111000,1(0.91 %),134270,14940000000,0,0,111000,113000,111000
2007-09-04,37.04,113000,2(1.80 %),51820,5850000000,0,0,113000,113000,112000
2007-09-05,36.71,112000,-1(-0.88 %),39040,4382000000,0,0,113000,113000,111000
2007-09-06,36.06,110000,-2(-1.79 %),77350,8512000000,0,0,110000,111000,109000
2007-09-07,36.39,111000,1(0.91 %),123670,13717000000,0,0,110000,112000,110000
2007-09-10,36.06,110000,-1(-0.90 %),50680,5600000000,0,0,110000,111000,110000
2007-09-11,35.73,109000,-1(-0.91 %),60100,6594000000,0,0,110000,111000,109000
2007-09-12,35.73,109000,0(0.00 %),35060,3814000000,0,0,108000,110000,108000
2007-09-13,36.06,110000,1(0.92 %),43800,4797000000,0,0,109000,110000,109000
2007-09-14,36.06,110000,0(0.00 %),48650,5351000000,0,0,110000,110000,109000
2007-09-17,35.73,109000,-1(-0.91 %),60710,6618000000,0,0,109000,110000,109000
2007-09-18,35.07,107000,-2(-1.83 %),136070,14688000000,0,0,109000,109000,107000
2007-09-19,36.06,110000,3(2.80 %),85020,9292000000,0,0,108000,110000,108000
2007-09-20,36.06,110000,0(0.00 %),79960,8859000000,0,0,112000,112000,110000
2007-09-21,36.06,110000,0(0.00 %),106110,11667000000,0,0,110000,111000,109000
2007-09-24,37.04,113000,3(2.73 %),121070,13512000000,0,0,110000,113000,110000
2007-09-25,38.02,116000,3(2.65 %),231520,26703000000,0,0,116000,116000,114000
2007-09-26,38.35,117000,1(0.86 %),178130,21110000000,0,0,120000,120000,116000
