Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-10-05,10.53,50000,2(4.17 %),3210,161000000,20000,1000000000,50000,50000,50000
2007-10-08,11.05,52500,2.5(5.00 %),1000,53000000,0,0,52500,52500,52500
2007-10-09,11.58,55000,2.5(4.76 %),410,23000000,0,0,55000,55000,55000
2007-10-10,12.11,57500,2.5(4.55 %),1010,58000000,0,0,57500,57500,57500
2007-10-11,12.63,60000,2.5(4.35 %),2810,169000000,0,0,60000,60000,60000
2007-10-12,13.26,63000,3(5.00 %),810,51000000,0,0,63000,63000,63000
2007-10-15,13.9,66000,3(4.76 %),1000,66000000,0,0,66000,66000,66000
2007-10-16,14.53,69000,3(4.55 %),4000,276000000,0,0,69000,69000,69000
2007-10-17,15.16,72000,3(4.35 %),21490,1547000000,20000,1370000000,72000,72000,72000
2007-10-18,15.9,75500,3.5(4.86 %),7250,547000000,0,0,75500,75500,75500
2007-10-19,16.63,79000,3.5(4.64 %),28360,2240000000,0,0,79000,79000,79000
2007-10-22,17.37,82500,3.5(4.43 %),11630,959000000,0,0,82500,82500,82500
2007-10-23,18.21,86500,4(4.85 %),25070,2169000000,0,0,86500,86500,86500
2007-10-24,19.05,90500,4(4.62 %),32860,2974000000,0,0,90500,90500,90500
2007-10-25,20.0,95000,4.5(4.97 %),120870,11483000000,0,0,95000,95000,95000
2007-10-26,20.95,99500,4.5(4.74 %),50850,5060000000,0,0,99500,99500,99500
2007-10-29,21.47,102000,2.5(2.51 %),268850,27764000000,0,0,104000,104000,102000
2007-10-30,20.42,97000,-5(-4.90 %),65300,6334000000,0,0,97000,97000,97000
2007-10-31,21.26,101000,4(4.12 %),242410,22602000000,0,0,92500,101000,92500
2007-11-01,22.32,106000,5(4.95 %),38320,4062000000,0,0,106000,106000,106000
2007-11-02,23.37,111000,5(4.72 %),136630,15149000000,0,0,111000,111000,109000
2007-11-05,24.42,116000,5(4.50 %),88160,9851000000,0,0,106000,116000,106000
2007-11-06,23.79,113000,-3(-2.59 %),87950,9928000000,0,0,113000,115000,112000
2007-11-07,23.58,112000,-1(-0.88 %),111740,12516000000,0,0,111000,113000,111000
2007-11-08,22.53,107000,-5(-4.46 %),38600,4216000000,0,0,112000,112000,107000
2007-11-09,22.53,107000,0(0.00 %),127040,13061000000,0,0,102000,107000,102000
2007-11-12,22.74,108000,1(0.93 %),44370,4802000000,0,0,110000,110000,108000
2007-11-13,21.69,103000,-5(-4.63 %),144560,14890000000,0,0,103000,108000,103000
2007-11-14,21.69,103000,0(0.00 %),224330,22860000000,0,0,100000,104000,100000
2007-11-15,20.63,98000,-5(-4.85 %),224930,22055000000,0,0,98000,99500,98000
2007-11-16,20.0,95000,-3(-3.06 %),248990,23386000000,0,0,93500,98000,93500
2007-11-19,20.95,99500,4.5(4.74 %),36930,3580000000,0,0,95000,99500,95000
2007-11-20,20.63,98000,-1.5(-1.51 %),28840,2856000000,0,0,99500,99500,96500
2007-11-21,19.79,94000,-4(-4.08 %),62730,5903000000,0,0,94000,96000,93500
2007-11-22,18.84,89500,-4.5(-4.79 %),46310,4277000000,0,0,93000,95500,89500
2007-11-23,18.95,90000,0.5(0.56 %),24470,2196000000,0,0,89500,90500,89500
2007-11-26,19.79,94000,4(4.44 %),40730,3757000000,0,0,91000,94000,91000
2007-11-27,19.58,93000,-1(-1.06 %),17400,1629000000,0,0,94500,94500,90500
2007-11-28,19.68,93500,0.5(0.54 %),15410,1441000000,0,0,93500,93500,93500
2007-11-29,20.0,95000,1.5(1.60 %),12800,1214000000,0,0,94000,95000,93000
2007-11-30,20.53,97500,2.5(2.63 %),18070,1747000000,0,0,94000,97500,93500
2007-12-03,20.74,98500,1(1.03 %),32850,3204000000,0,0,95500,98500,95000
2007-12-04,20.53,97500,-1(-1.02 %),40250,3938000000,0,0,98500,98500,97000
2007-12-05,20.0,95000,-2.5(-2.56 %),17050,1623000000,0,0,95000,96000,95000
2007-12-06,20.42,97000,2(2.11 %),50780,4838000000,0,0,93500,97000,93500
2007-12-07,19.9,94500,-2.5(-2.58 %),5780,547000000,0,0,94500,95000,94500
2007-12-10,19.58,93000,-1.5(-1.59 %),14810,1383000000,0,0,94500,94500,93000
2007-12-11,19.47,92500,-0.5(-0.54 %),23060,2137000000,0,0,93000,93000,92000
2007-12-12,19.16,91000,-1.5(-1.62 %),8060,737000000,0,0,92500,93000,91000
2007-12-13,19.47,92500,1.5(1.65 %),5340,493000000,0,0,92500,92500,90000
2007-12-14,19.9,94500,2(2.16 %),34340,3241000000,0,0,92500,94500,92000
2007-12-17,19.47,92500,-2(-2.12 %),9320,868000000,0,0,94500,94500,92500
2007-12-18,20.32,96500,4(4.32 %),80200,7674000000,0,0,94000,96500,93000
2007-12-19,20.84,99000,2.5(2.59 %),35820,3521000000,0,0,98000,99000,97500
2007-12-20,20.84,99000,0(0.00 %),33770,3366000000,0,0,101000,101000,98000
2007-12-21,20.84,99000,0(0.00 %),9230,913000000,0,0,98000,99000,98000
2007-12-24,21.47,102000,3(3.03 %),62800,6310000000,0,0,99000,102000,98000
2007-12-25,21.69,99000,1.25(1.28 %),38270,3760000000,0,0,98000,99000,97000
2007-12-26,21.36,97500,-1.5(-1.52 %),8360,815000000,0,0,97500,97500,96000
2007-12-27,20.93,95500,-2(-2.05 %),10820,1031000000,0,0,95500,95500,94000
2007-12-28,20.49,93500,-2(-2.09 %),24420,2281000000,0,0,93000,94000,93000
2008-01-02,20.38,93000,-0.5(-0.53 %),4450,413000000,0,0,92500,93000,92500
2008-01-03,19.72,90000,-3(-3.23 %),15010,1363000000,0,0,91000,92000,90000
2008-01-04,19.28,88000,-2(-2.22 %),13360,1177000000,0,0,88000,88500,88000
2008-01-07,18.41,84000,-4(-4.55 %),9360,788000000,0,0,84500,85000,84000
2008-01-08,18.41,84000,0(0.00 %),20750,1736000000,0,0,82000,84500,82000
2008-01-09,17.53,80000,-4(-4.76 %),16670,1346000000,0,0,85000,85000,80000
2008-01-10,18.41,84000,4(5.00 %),21730,1730000000,0,0,76500,84000,76000
2008-01-11,18.08,82500,-1.5(-1.79 %),9800,816000000,0,0,82500,85500,82500
2008-01-14,17.97,82000,-0.5(-0.61 %),53180,4235000000,0,0,78500,82000,78500
2008-01-15,17.53,80000,-2(-2.44 %),44150,3513000000,0,0,84000,84000,78000
2008-01-16,18.41,84000,4(5.00 %),20120,1672000000,0,0,82000,84000,80000
2008-01-17,17.64,80500,-3.5(-4.17 %),11630,938000000,0,0,84000,84000,80500
2008-01-18,18.19,83000,2.5(3.11 %),15270,1255000000,0,0,80000,83000,80000
2008-01-21,18.84,86000,3(3.61 %),31800,2710000000,0,0,86000,86000,83000
2008-01-22,18.84,86000,0(0.00 %),18890,1607000000,0,0,84000,86000,84000
2008-01-23,18.52,84500,-1.5(-1.74 %),17470,1482000000,0,0,86000,86000,82500
2008-01-24,18.41,84000,-0.5(-0.59 %),19210,1650000000,0,0,87000,87000,84000
2008-01-25,18.84,86000,2(2.38 %),16850,1439000000,0,0,84000,86000,83000
2008-01-28,19.28,88000,2(2.33 %),15840,1382000000,0,0,86000,88000,85000
2008-01-29,19.94,91000,3(3.41 %),32650,2940000000,0,0,87500,91000,86000
2008-01-30,20.82,95000,4(4.40 %),47710,4535000000,0,0,95000,95500,91000
2008-01-31,21.04,96000,1(1.05 %),25080,2378000000,0,0,91000,96000,91000
2008-02-01,21.91,100000,4(4.17 %),225120,22497000000,0,0,100000,100000,99000
2008-02-12,23.01,105000,5(5.00 %),69870,7313000000,0,0,105000,105000,100000
2008-02-13,23.01,105000,0(0.00 %),54190,5615000000,0,0,101000,105000,101000
2008-02-14,22.57,103000,-2(-1.90 %),25130,2604000000,0,0,105000,105000,103000
2008-02-15,21.47,98000,-5(-4.85 %),53590,5280000000,0,0,99000,99000,98000
2008-02-18,20.49,93500,-4.5(-4.59 %),102800,9612000000,0,0,93500,94000,93500
2008-02-19,21.15,96500,3(3.21 %),26640,2446000000,0,0,90000,96500,90000
2008-02-20,20.16,92000,-4.5(-4.66 %),31050,2883000000,0,0,96500,96500,92000
2008-02-21,19.17,87500,-4.5(-4.89 %),24010,2101000000,0,0,87500,87500,87500
2008-02-22,18.3,83500,-4(-4.57 %),35400,2956000000,0,0,83500,85000,83500
2008-02-25,19.17,87500,4(4.79 %),30280,2640000000,0,0,86500,87500,86500
2008-02-26,19.72,90000,2.5(2.86 %),48190,4136000000,0,0,83500,90000,83500
2008-02-27,18.74,85500,-4.5(-5.00 %),12680,1085000000,0,0,85500,89500,85500
2008-02-28,18.74,85500,0(0.00 %),9880,829000000,0,0,83500,87000,83000
2008-02-29,17.97,82000,-3.5(-4.09 %),18470,1519000000,0,0,82500,83500,82000
2008-03-03,17.09,78000,-4(-4.88 %),30910,2411080000,0,0,78000,78500,78000
2008-03-04,16.32,74500,-3.5(-4.49 %),7030,523735000,0,0,74500,74500,74500
2008-03-05,15.56,71000,-3.5(-4.70 %),11460,813660000,0,0,71000,71000,71000
2008-03-06,16.32,74500,3.5(4.93 %),24090,1794705000,0,0,74500,74500,74500
