Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-09-21,18.34,23100,1.5(6.94 %),5360220,123821000000,2500000,57750000000,23100,23100,23100
2020-09-22,18.81,23700,0.6(2.60 %),2111400,50410000000,0,0,24600,24700,23000
2020-09-23,17.5,22050,-1.65(-6.96 %),388160,8559000000,0,0,22050,22050,22050
2020-09-24,16.31,20550,-1.5(-6.80 %),84430,1735000000,0,0,20550,20550,20550
2020-09-25,15.24,19200,-1.35(-6.57 %),8298350,158959000000,0,0,19150,20000,19150
2020-09-28,14.45,18200,-1(-5.21 %),1234850,23209000000,0,0,18750,19800,18100
2020-09-29,15.24,19200,1(5.49 %),1978610,37227000000,0,0,18200,19350,17600
2020-09-30,14.21,17900,-1.3(-6.77 %),1485190,26768000000,0,0,18500,18600,17900
2020-10-01,13.85,17450,-0.45(-2.51 %),3832080,64425000000,0,0,16650,17550,16650
2020-10-02,13.02,16400,-1.05(-6.02 %),1810210,29968000000,0,0,17600,17600,16250
2020-10-05,13.1,16500,0.1(0.61 %),1852230,30702000000,0,0,16450,17050,16000
2020-10-06,12.54,15800,-0.7(-4.24 %),1505910,23887000000,0,0,16500,16600,15500
2020-10-07,11.99,15100,-0.7(-4.43 %),1708090,25818000000,0,0,15600,15800,15000
2020-10-08,11.99,15100,0(0.00 %),690870,10430000000,0,0,15100,15450,15000
2020-10-09,12.07,15200,0.1(0.66 %),590310,8902000000,0,0,15200,15200,15000
2020-10-12,12.22,15400,0.2(1.32 %),1561370,23920000000,0,0,15200,15750,15000
2020-10-13,12.14,15300,-0.1(-0.65 %),635440,9726000000,0,0,15350,15500,15100
2020-10-14,12.3,15500,0.2(1.31 %),861570,13282000000,0,0,15300,15600,15150
2020-10-15,12.22,15400,-0.1(-0.65 %),709660,10829000000,0,0,15500,15550,15050
2020-10-16,12.07,15200,-0.2(-1.30 %),830240,12598000000,0,0,15300,15400,15000
2020-10-19,12.14,15300,0.1(0.66 %),507740,7709000000,0,0,15050,15300,15050
2020-10-20,12.46,15700,0.4(2.61 %),2004370,31281000000,0,0,15100,15900,15100
2020-10-21,12.42,15650,-0.05(-0.32 %),559330,8810000000,0,0,15800,16000,15600
2020-10-22,12.26,15450,-0.2(-1.28 %),460440,7106000000,0,0,15800,15800,15300
2020-10-23,12.07,15200,-0.25(-1.62 %),523070,7986000000,0,0,15450,15600,15150
2020-10-26,11.95,15050,-0.15(-0.99 %),632160,9595000000,0,0,15400,15400,15050
2020-10-27,11.95,15050,0(0.00 %),548730,8259000000,0,0,15050,15250,15000
2020-10-28,11.95,15050,0(0.00 %),778700,11691000000,0,0,15050,15200,15000
2020-10-29,11.99,15100,0.05(0.33 %),757670,11369000000,0,0,15000,15100,15000
2020-10-30,11.99,15100,0(0.00 %),456280,6848000000,0,0,15050,15100,14950
2020-11-02,12.1,15250,0.15(0.99 %),462630,6988000000,0,0,15100,15300,15000
2020-11-03,12.03,15150,-0.1(-0.66 %),278050,4212000000,0,0,15250,15250,15000
