Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-12-11,15.83,17300,1.1(6.79 %),1100,19000000,0,0,17300,17300,17300
2018-12-12,16.92,18500,1.2(6.94 %),1000,19000000,0,0,18500,18500,18500
2018-12-13,18.06,19100,1.2(6.70 %),4860,93000000,0,0,19150,19150,19100
2018-12-14,19.29,20400,1.3(6.81 %),110,2000000,0,0,20400,20400,20400
2018-12-17,17.96,19000,-1.4(-6.86 %),600,11000000,0,0,19000,19000,19000
2018-12-18,16.74,17700,-1.3(-6.84 %),140,2000000,0,0,17700,17700,17700
2018-12-19,16.74,17700,0(0.00 %),0,0,0,0,17700,17700,17700
2018-12-20,15.6,16500,-1.2(-6.78 %),10,0,0,0,16500,16500,16500
2018-12-21,14.51,15350,-1.15(-6.97 %),2410,37000000,0,0,15350,15350,15350
2018-12-24,13.52,14300,-1.05(-6.84 %),10,0,0,0,14300,14300,14300
2018-12-25,12.58,13300,-1(-6.99 %),50,1000000,0,0,13300,13300,13300
2018-12-26,11.72,12400,-0.9(-6.77 %),520,6000000,1350000,16740000000,12400,12400,12400
2018-12-27,10.92,11550,-0.85(-6.85 %),1070,12000000,0,0,11550,13250,11550
2018-12-28,10.16,10750,-0.8(-6.93 %),590,6000000,0,0,10800,12350,10750
2019-01-02,10.87,11500,0.75(6.98 %),1360,14000000,0,0,11500,11500,10000
2019-01-03,11.58,12250,0.75(6.52 %),70,1000000,0,0,12250,12250,12250
2019-01-04,12.24,12950,0.7(5.71 %),10,0,0,0,12950,12950,12950
2019-01-07,12.24,12950,0(0.00 %),0,0,0,0,12950,12950,12950
2019-01-08,12.24,12950,0(0.00 %),0,0,0,0,12950,12950,12950
2019-01-09,12.24,12950,0(0.00 %),0,0,0,0,12950,12950,12950
2019-01-10,12.24,12950,0(0.00 %),0,0,0,0,12950,12950,12950
2019-01-11,12.24,12950,0(0.00 %),0,0,0,0,12950,12950,12950
2019-01-14,11.39,12050,-0.9(-6.95 %),10,0,0,0,12050,12050,12050
2019-01-15,11.39,12050,0(0.00 %),0,0,0,0,12050,12050,12050
2019-01-16,11.39,12050,0(0.00 %),0,0,0,0,12050,12050,12050
