Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-10-14,0.97,32000,-1.2(-3.61 %),47300,1511530000,0,0,35500,35500,30900
2009-10-15,0.94,31000,-1(-3.12 %),41800,1299700000,0,0,31500,32000,30500
2009-10-16,0.88,29000,-2.1(-6.75 %),47500,1410930000,0,0,30300,30300,29000
2009-10-19,0.84,27800,-1.9(-6.40 %),34400,960380000,0,0,28200,28800,27700
2009-10-20,0.9,29750,1.9(6.81 %),78200,2270390000,0,0,27000,29750,26300
2009-10-21,0.94,31000,2(6.90 %),29800,923800000,0,0,31000,31000,31000
2009-10-22,0.94,31000,0(0.00 %),27100,859410000,0,0,31100,32800,31000
2009-10-23,0.89,29600,-2.1(-6.62 %),34600,1032640000,0,0,31000,32000,29500
2009-10-26,0.84,28000,-1.8(-6.04 %),25700,722020000,0,0,29500,29500,27800
2009-10-27,0.85,28100,0(0.00 %),10800,298120000,0,0,28500,28500,27200
2009-10-28,0.87,28800,1.2(4.35 %),31400,893570000,0,0,26500,28800,26200
2009-10-29,0.84,28000,-0.5(-1.75 %),7300,201840000,0,0,28000,28000,27200
2009-10-30,0.86,28500,0.9(3.26 %),2000,57050000,0,0,29000,29000,28500
2009-11-02,0.81,26800,-1.7(-5.96 %),23900,651350000,0,0,28500,28500,26600
2009-11-03,0.77,25400,-1.9(-6.96 %),15000,385820000,0,0,26900,27000,25400
2009-11-04,0.76,25100,-0.6(-2.33 %),12400,307120000,0,0,25400,26800,24000
2009-11-05,0.8,26500,1.7(6.85 %),7400,195220000,0,0,26000,26500,26000
2009-11-06,0.8,26500,0.1(0.38 %),8300,223680000,0,0,28200,28200,26500
2009-11-09,0.76,25100,-1.8(-6.69 %),3700,94030000,0,0,26000,26000,25100
2009-11-10,0.73,24100,-1.3(-5.12 %),11700,282040000,0,0,25000,25000,24000
2009-11-11,0.75,25000,0.9(3.73 %),5900,143270000,0,0,24000,25000,24000
2009-11-12,0.76,25100,0.8(3.29 %),3900,97700000,0,0,25000,25100,25000
2009-11-13,0.75,25000,-0.1(-0.40 %),2100,52440000,0,0,25200,25200,24900
2009-11-16,0.75,25000,0(0.00 %),8800,225350000,0,0,26000,26000,25000
2009-11-17,0.73,24200,-1.4(-5.47 %),3000,72400000,0,0,24100,24200,24100
2009-11-18,0.73,24100,0(0.00 %),3200,77120000,0,0,24100,24100,24100
2009-11-19,0.77,25500,1.4(5.81 %),8200,209650000,0,0,25000,25700,25000
2009-11-20,0.75,25000,-0.6(-2.34 %),9000,225640000,0,0,25500,25500,25000
2009-11-23,0.78,25700,0.6(2.39 %),3400,84740000,0,0,24500,25700,24500
2009-11-24,0.77,25500,0.6(2.41 %),2000,50600000,5700,148200000,25500,25500,25000
2009-11-25,0.72,23700,-1.6(-6.32 %),11400,273360000,0,0,24100,24100,23700
2009-11-26,0.68,22400,-1.6(-6.67 %),7400,166400000,0,0,22500,22500,22400
