Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-06-19,4.02,13000,1.1(9.24 %),201000,2613000000,0,0,13000,13000,13000
2015-06-22,4.43,13900,1.3(10.00 %),288000,4118400000,0,0,13900,13900,13900
2015-06-23,4.86,15300,1.4(9.79 %),147500,2315750000,0,0,15300,15300,15300
2015-06-24,4.43,14600,-1.4(-8.92 %),372900,5586970000,0,0,16800,16800,14600
2015-06-25,4.18,13500,-1.5(-10.00 %),210600,2893970000,2300000,34500000000,14800,15000,13500
2015-06-26,3.9,12600,-1.1(-8.03 %),89200,1117420000,0,0,12550,13000,12550
2015-06-29,3.53,11700,-1.1(-8.80 %),239900,2826830000,0,0,11700,13500,11700
2015-06-30,3.4,11000,-0.8(-6.78 %),249800,2680870000,0,0,10700,11200,10700
2015-07-01,3.31,10700,0(0.00 %),177300,1908010000,0,0,10900,11100,10700
2015-07-02,3.4,11000,0.2(1.85 %),190700,2012000000,0,0,10000,11100,10000
2015-07-03,3.28,10600,0(0.00 %),205100,2178400000,0,0,10800,10800,10500
2015-07-06,3.28,10600,0(0.00 %),253400,2641670000,250000,2750000000,10700,11000,10300
2015-07-07,3.34,10800,0.4(3.85 %),151500,1614230000,0,0,10500,10900,10500
2015-07-08,3.22,10400,-0.3(-2.80 %),190400,2034190000,257600,2833600000,10800,11000,10400
2015-07-09,3.19,10300,-0.4(-3.74 %),172800,1733800000,0,0,10600,10600,9700
2015-07-10,3.06,9900,-0.1(-1.00 %),118800,1183920000,0,0,10000,10300,9800
2015-07-13,3.06,9900,-0.1(-1.00 %),126500,1244330000,0,0,10100,10200,9800
2015-07-14,3.06,9900,0.1(1.02 %),123900,1181500000,0,0,9800,9900,9400
2015-07-15,2.94,9500,0(0.00 %),133700,1260230000,0,0,9500,9700,9300
2015-07-16,2.94,9500,0.1(1.06 %),93800,891620000,0,0,9500,9600,9500
2015-07-17,3.0,9700,0.2(2.11 %),94700,908040000,0,0,9500,9700,9500
2015-07-20,2.88,9300,-0.3(-3.12 %),66600,627750000,0,0,9600,9700,9300
2015-07-21,2.85,9200,-0.2(-2.13 %),73200,676470000,0,0,9400,9400,9200
2015-07-22,2.94,9500,0.3(3.26 %),87400,806280000,0,0,9300,9500,9200
2015-07-23,2.85,9200,0(0.00 %),75200,695750000,0,0,9200,9400,9200
2015-07-24,2.79,9000,-0.3(-3.23 %),74500,681430000,0,0,9200,9200,9000
2015-07-27,2.85,9200,0.1(1.10 %),67200,612520000,0,0,9100,9300,9000
2015-07-28,2.82,9100,0(0.00 %),78200,715560000,0,0,9200,9400,9000
2015-07-29,2.85,9200,0(0.00 %),69400,638350000,0,0,9100,9400,9100
2015-07-30,2.85,9200,0(0.00 %),41600,383410000,0,0,9200,9400,9200
2015-07-31,2.79,9000,-0.2(-2.17 %),34300,314910000,0,0,9200,9500,9000
2015-08-03,2.85,9200,0(0.00 %),34900,319040000,0,0,9200,9200,8900
2015-08-04,2.85,9200,0.1(1.10 %),69000,635810000,0,0,9200,9500,9100
2015-08-05,2.88,9300,0.1(1.09 %),71300,662780000,0,0,9200,9600,9200
