Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-01-16,2.87,14600,-0.9(-5.81 %),80000,1173049000,0,0,15000,15000,14500
2015-01-19,2.71,13800,-0.8(-5.48 %),78050,1103820000,0,0,14600,14600,13800
2015-01-20,2.75,14000,0.2(1.45 %),155360,2069702000,0,0,13200,14000,13000
2015-01-21,2.65,13500,-0.5(-3.57 %),34000,466817000,0,0,13600,14000,13500
2015-01-22,2.65,13500,0(0.00 %),47030,629521000,0,0,13400,13900,13300
2015-01-23,2.63,13400,-0.1(-0.74 %),66350,895259000,0,0,13500,13700,13400
2015-01-26,2.55,13000,-0.4(-2.99 %),44480,582255000,0,0,13400,13400,13000
2015-01-27,2.37,12100,-0.9(-6.92 %),94470,1159693000,0,0,13000,13000,12100
2015-01-28,2.49,12700,0.6(4.96 %),45950,569830000,0,0,11900,12700,11900
2015-01-29,2.39,12200,-0.5(-3.94 %),13010,159477000,0,0,12200,12700,12200
2015-01-30,2.39,12200,0(0.00 %),15630,190827000,0,0,12200,12300,12100
2015-02-02,2.34,11900,-0.3(-2.46 %),21730,261000000,0,0,12000,12100,11600
2015-02-03,2.18,11100,-0.8(-6.72 %),55710,638000000,0,0,11800,11800,11100
2015-02-04,2.08,10600,-0.5(-4.50 %),42470,460000000,0,0,11000,11500,10600
2015-02-05,2.1,10700,0.1(0.94 %),13680,147000000,0,0,10800,10800,10700
2015-02-06,2.24,11400,0.7(6.54 %),35660,384000000,0,0,10800,11400,10600
2015-02-09,2.32,11800,0.4(3.51 %),44030,523000000,0,0,11700,12100,11500
2015-02-10,2.36,12000,0.2(1.69 %),57140,689000000,0,0,12000,12300,12000
2015-02-11,2.39,12200,0.2(1.67 %),46180,558000000,0,0,11900,12200,11900
2015-02-12,2.39,12200,0(0.00 %),33480,409000000,0,0,12400,12500,12100
2015-02-13,2.41,12300,0.1(0.82 %),6980,85000000,0,0,12100,12300,12000
2015-02-24,2.43,12400,0.1(0.81 %),17590,215000000,0,0,12500,12500,12100
2015-02-25,2.37,12100,-0.3(-2.42 %),63180,767000000,0,0,12200,12300,12000
2015-02-26,2.37,12100,0(0.00 %),29220,350000000,0,0,12000,12100,11900
2015-02-27,2.37,12100,0(0.00 %),18310,221000000,0,0,12100,12200,12000
2015-03-02,2.36,12000,-0.1(-0.83 %),20150,241000000,0,0,12000,12100,11900
2015-03-03,2.36,12000,0(0.00 %),60350,723000000,0,0,12000,12100,11800
2015-03-04,2.36,12000,0(0.00 %),65960,791000000,0,0,11800,12100,11800
2015-03-05,2.37,12100,0.1(0.83 %),77150,931000000,0,0,12100,12200,12000
2015-03-06,2.37,12100,0(0.00 %),38610,466000000,0,0,12100,12100,12000
2015-03-09,2.36,12000,-0.1(-0.83 %),51210,617000000,0,0,12000,12100,12000
2015-03-10,2.36,12000,0(0.00 %),14850,177000000,0,0,11900,12000,11900
2015-03-11,2.36,12000,0(0.00 %),15110,180000000,0,0,11900,12000,11900
2015-03-12,2.34,11900,-0.1(-0.83 %),15250,182000000,0,0,12000,12000,11900
2015-03-13,2.34,11900,0(0.00 %),1070,13000000,0,0,12000,12000,11900
2015-03-16,2.34,11900,0(0.00 %),16150,193000000,0,0,11900,12000,11900
2015-03-17,2.32,11800,-0.1(-0.84 %),62100,743000000,0,0,12000,12000,11800
2015-03-18,2.36,12000,0.2(1.69 %),1090,13000000,0,0,12000,12000,11800
2015-03-19,2.36,12000,0(0.00 %),55340,662000000,0,0,12000,12000,11900
2015-03-20,2.34,11900,-0.1(-0.83 %),7670,91000000,0,0,11900,11900,11800
2015-03-23,2.34,11900,0(0.00 %),3940,47000000,0,0,12000,12000,11900
2015-03-24,2.32,11800,-0.1(-0.84 %),4500,53000000,0,0,11800,11800,11800
2015-03-25,2.32,11800,0(0.00 %),28180,331000000,0,0,11800,11900,11600
2015-03-26,2.32,11800,0(0.00 %),4910,58000000,0,0,11700,11800,11700
2015-03-27,2.32,11800,0(0.00 %),10210,120000000,0,0,11800,11800,11600
2015-03-30,2.32,11800,0(0.00 %),7310,85000000,0,0,11800,11800,11600
2015-03-31,2.41,12300,0.5(4.24 %),157920,1899000000,0,0,11800,12300,11600
2015-04-01,2.47,12600,0.3(2.44 %),218060,2736000000,0,0,12200,12900,12200
