Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-07-18,12.59,31000,-1.5(-4.62 %),7800,243000000.0,0,0,33500,33500,31000
2017-07-19,11.98,29500,-1.5(-4.84 %),13350,400000000.0,0,0,30000,30200,29500
2017-07-20,11.15,27450,-2.05(-6.95 %),35610,988000000.0,0,0,28500,28500,27450
2017-07-21,11.19,27550,0.1(0.36 %),11110,291000000.0,0,0,25900,27550,25900
2017-07-24,11.96,29450,1.9(6.90 %),11910,346000000.0,0,0,27400,29450,27400
2017-07-25,11.98,29500,0.05(0.17 %),29710,883000000.0,0,0,30000,31000,29500
2017-07-26,11.78,29000,-0.5(-1.69 %),28080,815000000.0,0,0,30800,30800,29000
2017-07-27,11.65,28700,-0.3(-1.03 %),25410,732000000.0,0,0,28600,29000,28500
2017-07-28,11.17,27500,-1.2(-4.18 %),13430,373000000.0,0,0,28000,28000,27500
2017-07-31,11.09,27300,-0.2(-0.73 %),4190,115000000.0,0,0,27500,27800,27300
2017-08-01,11.09,27300,0(0.00 %),20050,547000000.0,0,0,27300,27500,27200
2017-08-02,11.17,27500,0.2(0.73 %),4300,118000000.0,0,0,27300,27500,27300
2017-08-03,11.17,27500,0(0.00 %),6930,193000000.0,0,0,27800,28000,27500
2017-08-04,11.17,27500,0(0.00 %),1000,27000000.0,0,0,27300,27500,27300
2017-08-07,10.84,26700,-0.8(-2.91 %),13760,369000000.0,0,0,27000,27000,26600
2017-08-08,10.58,26050,-0.65(-2.43 %),6860,179000000.0,0,0,26050,26700,26050
2017-08-09,10.27,25300,-0.75(-2.88 %),10000,256000000.0,0,0,26050,26050,25300
2017-08-10,10.52,25900,0.6(2.37 %),240,6000000.0,0,0,26000,26000,25900
2017-08-11,10.48,25800,-0.1(-0.39 %),12470,321000000.0,0,0,25950,26000,25500
2017-08-14,10.56,26000,0.2(0.78 %),5000,130000000.0,0,0,25900,26200,25900
2017-08-15,10.56,26000,0(0.00 %),1220,32000000.0,0,0,25400,27400,25400
2017-08-16,10.64,26200,0.2(0.77 %),1900,50000000.0,0,0,26000,26200,26000
2017-08-17,10.64,26200,0(0.00 %),9910,259000000.0,0,0,26000,26400,25800
2017-08-18,10.7,26350,0.15(0.57 %),10,0.0,0,0,26350,26350,26350
2017-08-21,10.35,25500,-0.85(-3.23 %),19910,509000000.0,0,0,25800,25800,25400
2017-08-22,10.19,25100,-0.4(-1.57 %),3090,78000000.0,0,0,25100,25200,25100
2017-08-23,10.15,25000,-0.1(-0.40 %),6290,158000000.0,0,0,25100,25200,25000
2017-08-24,10.11,24900,-0.1(-0.40 %),13920,345000000.0,0,0,25500,25500,24700
2017-08-25,9.87,24300,-0.6(-2.41 %),7690,188000000.0,0,0,24600,24600,24300
2017-08-28,9.91,24400,0.1(0.41 %),13980,336000000.0,0,0,24050,24400,24000
2017-08-29,9.91,24400,0(0.00 %),0,0.0,0,0,24400,24400,24400
2017-08-30,9.75,24000,-0.4(-1.64 %),3330,80000000.0,0,0,26000,26000,24000
2017-08-31,9.56,23550,-0.45(-1.88 %),12510,294000000.0,0,0,23600,24000,23450
2017-09-01,10.03,24700,1.15(4.88 %),7850,192000000.0,0,0,23900,24700,23500
2017-09-05,9.73,23950,-0.75(-3.04 %),3200,77000000.0,0,0,24200,24200,23950
2017-09-06,9.71,23900,-0.05(-0.21 %),300,7000000.0,0,0,23600,23900,23600
2017-09-07,9.71,23900,0(0.00 %),0,0.0,0,0,23900,23900,23900
2017-09-08,9.66,23800,-0.1(-0.42 %),13860,321000000.0,0,0,22500,23900,22500
2017-09-11,9.42,23200,-0.6(-2.52 %),2430,55000000.0,0,0,22300,23900,22300
2017-09-12,9.42,23200,0(0.00 %),9770,222000000.0,0,0,23000,23200,22500
2017-09-13,9.3,22900,-0.3(-1.29 %),17780,407000000.0,0,0,23000,23000,22800
2017-09-14,9.3,22900,0(0.00 %),0,0.0,0,0,22900,22900,22900
2017-09-15,9.26,22800,-0.1(-0.44 %),9840,224000000.0,0,0,22700,22800,22500
2017-09-18,9.22,22700,-0.1(-0.44 %),8780,198000000.0,0,0,22700,22700,22400
2017-09-19,9.54,23500,0.8(3.52 %),4130,94000000.0,0,0,24200,24200,22400
2017-09-20,9.54,23500,0(0.00 %),0,0.0,0,0,23500,23500,23500
2017-09-21,9.34,23000,-0.5(-2.13 %),2010,46000000.0,0,0,22800,23000,22800
2017-09-22,9.54,23500,0.5(2.17 %),4160,97000000.0,0,0,23000,24000,23000
2017-09-25,10.07,24800,1.3(5.53 %),46460,1153000000.0,0,0,24450,25100,24000
2017-09-26,9.95,24500,-0.3(-1.21 %),16040,386000000.0,0,0,25900,25900,24000
2017-09-27,9.75,24000,-0.5(-2.04 %),25510,613000000.0,0,0,24500,24500,23800
2017-09-28,9.54,23500,-0.5(-2.08 %),13160,308000000.0,0,0,23600,24200,23000
2017-09-29,9.26,22800,-0.7(-2.98 %),19990,455000000.0,0,0,23500,23500,22600
2017-10-02,9.14,22500,-0.3(-1.32 %),23470,530000000.0,0,0,22700,24000,22500
2017-10-03,9.06,22300,-0.2(-0.89 %),10310,230000000.0,0,0,22250,22500,22200
2017-10-04,8.89,21900,-0.4(-1.79 %),21600,475000000.0,0,0,22300,22300,21900
2017-10-05,8.77,21600,-0.3(-1.37 %),23340,511000000.0,0,0,22000,22000,21600
