Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-02-16,12.05,34000,0(0.00 %),179660,6108440,0,0,34000,34000,34000
2006-02-17,11.88,33500,-0.5(-1.47 %),120180,4026030,0,0,33500,33500,33500
2006-02-20,10.81,31150,-3(-8.96 %),153030,4654625,0,0,31150,31150,31150
2006-02-21,11.35,32000,1.5(4.92 %),43890,1404480,15000,480000,32000,32000,32000
2006-02-22,11.91,33600,1.6(5.00 %),202850,6815760,10000,336000,33600,33600,33600
2006-02-23,12.23,34500,0.9(2.68 %),90230,3093935,0,0,34000,34500,34000
2006-02-24,12.3,34700,0.2(0.58 %),119020,4141373,0,0,35000,35000,34700
2006-02-27,12.05,34000,-0.7(-2.02 %),82570,2819395,20000,678000,34500,34500,34000
2006-02-28,11.7,33000,-1(-2.94 %),123900,4116318,10000,328000,33600,33600,33000
2006-03-01,11.84,33400,0.4(1.21 %),94690,3171658,0,0,33700,33700,33400
2006-03-02,12.41,35000,1.6(4.79 %),136060,4709130,0,0,34000,35000,34000
2006-03-03,11.91,33600,-1.4(-4.00 %),153030,5207445,10000,340000,34500,34500,33600
2006-03-06,11.91,33600,0(0.00 %),49880,1675968,0,0,33600,33600,33600
2006-03-07,11.98,33800,0.2(0.60 %),68020,2299076,0,0,33800,33800,33800
2006-03-08,11.98,33800,0(0.00 %),41240,1397788,10000,336000,34000,34000,33800
2006-03-09,12.23,34500,0.7(2.07 %),100170,3470109,0,0,34900,34900,34500
2006-03-10,12.41,35000,0.5(1.45 %),82600,2903960,0,0,35400,35400,35000
2006-03-13,12.48,35200,0.2(0.57 %),73310,2576710,0,0,35000,35200,35000
2006-03-14,12.41,35000,-0.2(-0.57 %),56070,1974202,0,0,35400,35400,35000
2006-03-15,11.98,33800,-1.2(-3.43 %),100140,3376652,0,0,33600,33800,33600
2006-03-16,12.34,34800,1(2.96 %),72660,2518950,0,0,34500,34800,34500
2006-03-17,12.41,35000,0.2(0.57 %),71730,2510550,0,0,35000,35000,35000
2006-03-20,12.55,35400,0.4(1.14 %),89640,3176084,0,0,35500,35500,35400
2006-03-21,13.08,36900,1.5(4.24 %),193190,7065536,0,0,36200,36900,36200
2006-03-22,13.08,36900,0(0.00 %),154120,5715726,0,0,37500,37500,36900
2006-03-23,12.76,36000,-0.9(-2.44 %),79530,2896164,0,0,36900,36900,36000
2006-03-24,12.41,35000,-1(-2.78 %),41890,1472885,0,0,35500,35500,35000
2006-03-27,12.48,35200,0.2(0.57 %),38960,1369772,0,0,35000,35200,35000
2006-03-28,12.59,35500,0.3(0.85 %),45380,1612232,25000,887500,35600,35600,35500
2006-03-29,12.59,35500,0(0.00 %),106770,3790335,25000,887500,35500,35500,35500
2006-03-30,12.76,36000,0.5(1.41 %),90230,3248280,0,0,36000,36000,36000
2006-03-31,12.8,36100,0.1(0.28 %),119600,4335580,0,0,36500,36500,36100
2006-04-03,12.8,36100,0(0.00 %),58700,2123292,0,0,36300,36300,36100
2006-04-04,12.41,35000,-1.1(-3.05 %),112740,3945900,0,0,35000,35000,35000
2006-04-05,12.41,35000,0(0.00 %),86090,3013150,0,0,35000,35000,35000
2006-04-06,12.41,35000,0(0.00 %),105480,3691800,0,0,35000,35000,35000
2006-04-07,12.83,36200,1.2(3.43 %),137240,4989142,0,0,36500,36500,36200
2006-04-10,13.3,37500,1.3(3.59 %),216090,8054910,0,0,37000,37500,37000
2006-04-11,13.93,39300,1.8(4.80 %),238150,9359295,0,0,39300,39300,39300
2006-04-12,14.61,41200,1.9(4.83 %),132770,5470124,0,0,41200,41200,41200
2006-04-13,15.32,43200,2(4.85 %),37770,1631664,20000,864000,43200,43200,43200
2006-04-14,16.06,45300,2.1(4.86 %),26420,1196826,0,0,45300,45300,45300
2006-04-17,16.84,47500,2.2(4.86 %),90360,4292100,12500,593750,47500,47500,47500
2006-04-18,17.66,49800,2.3(4.84 %),64850,3229530,20020,978960,49800,49800,49800
2006-04-19,17.66,49800,0(0.00 %),223630,11273460,0,0,52000,52000,49800
2006-04-20,17.51,49400,-0.4(-0.80 %),278460,13801148,0,0,49800,49800,49400
2006-04-21,18.26,51500,2.1(4.25 %),154160,7939240,0,0,51500,51500,51500
