Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-11-13,18.99,84000,4(5.00 %),19010,1597000000,0,0,84000,84000,84000
2007-11-14,19.9,88000,4(4.76 %),90660,7978000000,0,0,88000,88000,88000
2007-11-15,20.8,92000,4(4.55 %),301720,27648000000,0,0,92000,92000,88000
2007-11-16,19.78,87500,-4.5(-4.89 %),146200,12890000000,0,0,88000,90000,87500
2007-11-19,18.88,83500,-4(-4.57 %),90660,7597000000,0,0,84000,87000,83500
2007-11-20,18.2,80500,-3(-3.59 %),112490,9062000000,0,0,79500,83000,79500
2007-11-21,17.41,77000,-3.5(-4.35 %),131140,10188000000,0,0,77500,80500,77000
2007-11-22,18.09,80000,3(3.90 %),92390,7356000000,0,0,78000,80500,78000
2007-11-23,17.75,78500,-1.5(-1.88 %),30870,2451000000,0,0,80000,80000,78500
2007-11-26,17.75,78500,0(0.00 %),53080,4098000000,0,0,76500,80000,76500
2007-11-27,17.63,78000,-0.5(-0.64 %),49800,3903000000,0,0,79000,79500,78000
2007-11-28,17.52,77500,-0.5(-0.64 %),96320,7489000000,0,0,78000,78500,77000
2007-11-29,17.75,78500,1(1.29 %),55430,4356000000,0,0,79000,79000,78000
2007-11-30,17.63,78000,-0.5(-0.64 %),22870,1795000000,0,0,79000,79000,78000
2007-12-03,17.63,78000,0(0.00 %),33930,2642000000,0,0,78000,78000,77000
2007-12-04,17.63,78000,0(0.00 %),35750,2797000000,0,0,79000,79000,78000
2007-12-05,17.18,76000,-2(-2.56 %),69110,5234000000,0,0,75500,76000,75500
2007-12-06,16.62,73500,-2.5(-3.29 %),52190,3869000000,0,0,75000,75500,73500
2007-12-07,16.5,73000,-0.5(-0.68 %),55320,4038000000,0,0,73000,74500,72000
2007-12-10,15.94,70500,-2.5(-3.42 %),20550,1459000000,0,0,75000,75000,70500
2007-12-11,15.15,67000,-3.5(-4.96 %),57340,3883000000,0,0,70000,70000,67000
2007-12-12,15.15,67000,0(0.00 %),40290,2673000000,0,0,65500,70000,65000
2007-12-13,14.7,65000,-2(-2.99 %),25530,1682000000,0,0,67000,67000,65000
2007-12-14,14.36,63500,-1.5(-2.31 %),25450,1620000000,0,0,63500,64500,63500
2007-12-17,13.68,60500,-3(-4.72 %),29630,1831000000,0,0,63000,64000,60500
2007-12-18,13.34,59000,-1.5(-2.48 %),50720,2955000000,0,0,58000,59000,57500
2007-12-19,13.9,61500,2.5(4.24 %),27380,1684000000,0,0,61500,61500,61500
2007-12-20,14.02,62000,0.5(0.81 %),100380,6373000000,0,0,64500,64500,62000
2007-12-21,14.7,65000,3(4.84 %),48740,3140000000,0,0,64000,65000,63000
2007-12-24,15.37,68000,3(4.62 %),11030,750000000,0,0,68000,68000,68000
2007-12-25,16.05,71000,3(4.41 %),10410,739000000,0,0,71000,71000,71000
2007-12-26,16.05,71000,0(0.00 %),185620,12822000000,0,0,68000,73000,68000
2007-12-27,15.49,68500,-2.5(-3.52 %),39440,2741000000,0,0,70000,71000,68500
2007-12-28,15.49,68500,0(0.00 %),20050,1378000000,0,0,69000,69000,68000
2008-01-02,14.92,66000,-2.5(-3.65 %),30550,2049000000,0,0,68000,68000,66000
2008-01-03,14.47,64000,-2(-3.03 %),28170,1804000000,0,0,64000,64500,63500
