Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2025-07-23,9.92,15000,-0.3(-1.96 %),2107100,31793850000,0,0,15400,15400,14950
2025-07-24,9.89,14950,-0.05(-0.33 %),1623800,24247100000,0,0,14950,15100,14850
2025-07-25,10.55,15950,1(6.69 %),4204000,66701245000,0,0,15300,15950,15250
2025-07-28,11.28,17050,1.1(6.90 %),5060700,86274205000,0,0,17050,17050,17000
2025-07-29,10.58,16000,-1.05(-6.16 %),5847600,99672150000,0,0,17800,17800,16000
2025-07-30,11.11,16800,0.8(5.00 %),2455100,40616405000,0,0,16300,16900,16250
2025-07-31,11.11,16800,0(0.00 %),1648100,27577230000,0,0,17100,17200,16450
2025-08-01,10.91,16500,-0.3(-1.79 %),1366300,22620015000,0,0,16650,16800,16350
2025-08-04,11.05,16700,0.2(1.21 %),1297500,21614375000,0,0,16400,16850,16400
2025-08-05,11.08,16750,0.05(0.30 %),4553900,77072450000,0,0,16850,17200,16600
2025-08-06,11.18,16900,0.15(0.90 %),1036000,17476820000,0,0,16900,16950,16800
2025-08-07,11.91,18000,1.1(6.51 %),3323300,58060175000,0,0,17150,18000,17100
2025-08-08,12.14,18350,0.35(1.94 %),3440100,62877150000,32620,546385000,18300,18450,18000
2025-08-11,12.96,19600,1.25(6.81 %),4979800,96186865000,0,0,19050,19600,18850
2025-08-12,13.16,19900,0.3(1.53 %),4637300,92765855000,0,0,20000,20450,19700
2025-08-13,13.03,19700,-0.2(-1.01 %),6665400,132411365000,0,0,20100,20150,19700
2025-08-15,14.2,18300,0.25(1.79 %),7589200,109739790000,0,0,18300,18300,18300
2025-08-18,13.95,13950,-0.25(-1.76 %),2315000,32314265000,0,0,14200,14450,13850
2025-08-19,13.7,13700,-0.25(-1.79 %),3743500,51835880000,0,0,13950,14000,13700
2025-08-20,13.3,13300,-0.4(-2.92 %),3219400,43269860000,0,0,13800,13850,13150
2025-08-21,13.75,13750,0.45(3.38 %),2347300,32208255000,0,0,13500,13900,13450
2025-08-22,13.35,13350,-0.4(-2.91 %),2297200,30861460000,0,0,13850,13850,13050
2025-08-25,12.5,12500,-0.85(-6.37 %),2101000,27199150000,0,0,13350,13500,12500
2025-08-26,12.9,12900,0.4(3.20 %),1094600,13825080000,0,0,12500,12950,12350
2025-08-27,12.9,12900,0(0.00 %),1232200,15989895000,0,0,13000,13150,12850
2025-08-28,12.85,12850,-0.05(-0.39 %),917700,11769790000,0,0,12900,13000,12750
2025-08-29,12.85,12850,0(0.00 %),1010400,13004395000,0,0,13000,13000,12800
2025-09-03,12.9,12900,0.05(0.39 %),1004300,12901095000,0,0,12900,12950,12800
2025-09-04,13.3,13300,0.4(3.10 %),1680200,22190360000,0,0,12950,13350,12950
2025-09-05,13.2,13200,-0.1(-0.75 %),1314300,17553390000,0,0,13400,13500,13200
2025-09-08,12.5,12500,-0.7(-5.30 %),1509500,19190650000,0,0,13150,13150,12500
2025-09-09,12.5,12500,0(0.00 %),681100,8493390000,0,0,12500,12700,12350
2025-09-10,12.5,12500,0(0.00 %),420100,5294485000,0,0,12950,12950,12450
2025-09-11,12.4,12400,-0.1(-0.80 %),1011200,12292895000,0,0,12400,12450,12000
2025-09-12,12.4,12400,0(0.00 %),408500,5079375000,0,0,12400,12550,12350
2025-09-15,12.45,12450,0.05(0.40 %),357900,4432910000,0,0,12400,12450,12300
2025-09-16,12.45,12450,0(0.00 %),607100,7544230000,0,0,12550,12550,12400
2025-09-17,12.3,12300,-0.15(-1.20 %),443200,5467720000,0,0,12400,12450,12250
2025-09-18,12.15,12150,-0.15(-1.22 %),462500,5639055000,0,0,12300,12300,12100
2025-09-19,12.1,12100,-0.05(-0.41 %),434100,5248820000,0,0,12100,12200,12050
2025-09-22,12.0,12000,-0.1(-0.83 %),791700,9442365000,0,0,12100,12100,11800
2025-09-23,11.95,11950,-0.05(-0.42 %),311600,3739105000,0,0,12000,12100,11900
2025-09-24,12.0,12000,0.05(0.42 %),483400,5760185000,0,0,11950,12000,11800
2025-09-25,11.95,11950,-0.05(-0.42 %),473300,5665285000,0,0,12050,12050,11900
2025-09-26,11.8,11800,-0.15(-1.26 %),597900,7096025000,0,0,11900,11950,11800
2025-09-29,11.75,11750,-0.05(-0.42 %),369000,4345985000,0,0,11800,11900,11750
2025-09-30,11.6,11600,-0.15(-1.28 %),545300,6347015000,0,0,11800,11800,11550
2025-10-01,11.65,11650,0.05(0.43 %),375100,4348025000,0,0,11600,11650,11550
2025-10-02,11.7,11700,0.05(0.43 %),429400,5014805000,0,0,11650,11750,11600
2025-10-03,11.55,11550,-0.15(-1.28 %),408900,4745075000,0,0,11650,11700,11550
2025-10-06,11.75,11750,0.2(1.73 %),2149800,24852095000,0,0,11500,11800,11400
2025-10-07,11.6,11600,-0.15(-1.28 %),1131900,13261420000,0,0,11800,11900,11600
2025-10-08,11.55,11550,-0.05(-0.43 %),1107600,12829270000,0,0,11750,11750,11500
2025-10-09,11.5,11500,-0.05(-0.43 %),1324000,15180190000,0,0,11500,11550,11350
2025-10-10,11.4,10700,-11.5(-100.00 %),1234700,11400,0,0,11450,11500,10700
