Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-06-24,6.76,17500,-0.9(-4.89 %),5060,95000000,0,0,19000,19600,17500
2015-06-25,7.22,18700,1.2(6.86 %),2810,52000000,0,0,18600,18700,18000
2015-06-26,6.76,17500,-1.2(-6.42 %),8080,145000000,0,0,19100,19100,17500
2015-06-29,6.33,16400,-1.1(-6.29 %),2930,48000000,0,0,16500,16500,16400
2015-06-30,6.02,15600,-0.8(-4.88 %),7580,119000000,0,0,16400,16400,15600
2015-07-01,6.41,16600,1(6.41 %),100,2000000,0,0,16600,16600,16600
2015-07-02,6.6,17100,0.5(3.01 %),10,0,0,0,17100,17100,17100
2015-07-03,6.49,16800,-0.3(-1.75 %),7080,120000000,0,0,17500,17500,16800
2015-07-06,6.49,16800,0(0.00 %),0,0,0,0,16800,16800,16800
2015-07-07,6.41,16600,-0.2(-1.19 %),6570,110000000,0,0,16600,16800,16600
2015-07-08,6.56,17000,0.4(2.41 %),1000,17000000,0,0,17000,17000,17000
2015-07-09,6.37,16500,-0.5(-2.94 %),10,0,0,0,16500,16500,16500
2015-07-10,6.37,16500,0(0.00 %),5110,84000000,0,0,16500,16600,16500
2015-07-13,6.56,17000,0.5(3.03 %),6930,112000000,0,0,16500,17100,16000
2015-07-14,6.56,17000,0(0.00 %),420,7000000,0,0,16100,17000,16100
2015-07-15,6.56,17000,0(0.00 %),22010,353000000,0,0,16200,17000,15900
2015-07-16,6.56,17000,0(0.00 %),10,0,0,0,17000,17000,17000
2015-07-17,6.76,17500,0.5(2.94 %),1910,31000000,0,0,16000,17500,16000
2015-07-20,6.76,17500,0(0.00 %),10,0,0,0,17500,17500,17500
2015-07-21,6.76,17500,0(0.00 %),3560,64000000,0,0,18000,18000,17000
2015-07-22,6.72,17400,-0.1(-0.57 %),100,2000000,0,0,17000,17400,17000
2015-07-23,6.72,17400,0(0.00 %),0,0,0,0,17400,17400,17400
2015-07-24,6.72,17400,0(0.00 %),0,0,0,0,17400,17400,17400
2015-07-27,6.72,17400,0(0.00 %),0,0,0,0,17400,17400,17400
2015-07-28,6.56,17000,-0.4(-2.30 %),140,2000000,0,0,17000,17000,17000
2015-07-29,6.56,17000,0(0.00 %),0,0,0,0,17000,17000,17000
2015-07-30,6.56,17000,0(0.00 %),2810,46000000,0,0,17000,17000,16200
2015-07-31,6.76,17500,0.5(2.94 %),3210,57000000,0,0,17200,18000,17100
2015-08-03,6.33,16400,-1.1(-6.29 %),10,0,0,0,16400,16400,16400
2015-08-04,6.02,15600,-0.8(-4.88 %),40,1000000,0,0,17000,17000,15600
2015-08-05,6.25,16200,0.6(3.85 %),5910,96000000,0,0,16200,16600,16100
2015-08-06,6.25,16200,0(0.00 %),2560,41000000,0,0,16200,16200,16200
2015-08-07,6.18,16000,-0.2(-1.23 %),20,0,0,0,17000,17000,16000
2015-08-10,6.49,16800,0.8(5.00 %),5490,92000000,0,0,16700,16800,16700
2015-08-11,6.49,16800,0(0.00 %),1220,21000000,0,0,16800,17000,16800
