Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-07-01,9.21,60500,0.5(0.83 %),6248390,389785020000,3410000,212430000000,63000,63000,59500
2009-07-02,8.83,58000,-2.5(-4.13 %),1515670,88933635000,40000,2310000000,59500,60000,57500
2009-07-03,8.53,56000,-2(-3.45 %),899720,50678150000,42000,2541000000,56500,57000,56000
2009-07-06,8.91,58500,2.5(4.46 %),1571740,90182635000,0,0,56000,58500,56000
2009-07-07,8.6,56500,-2(-3.42 %),1115420,63717185000,91000,5283500000,57500,58000,56500
2009-07-08,8.45,55500,-1(-1.77 %),763030,42239810000,654470,38488730000,55000,56000,54500
2009-07-09,8.22,54000,-1.5(-2.70 %),982430,53459805000,0,0,54500,56000,53500
2009-07-10,7.84,51500,-2.5(-4.63 %),1973450,102576855000,20000,1030000000,53000,53500,51500
2009-07-13,7.46,49000,-2.5(-4.85 %),812260,40330986000,71000,3479000000,50000,51500,49000
2009-07-14,7.28,47800,-1.2(-2.45 %),847840,40790859000,0,0,49200,49200,47500
2009-07-15,7.46,49000,1.2(2.51 %),807250,39407961000,50000,2275000000,48000,49800,48000
2009-07-16,7.58,49800,0.8(1.63 %),638990,31778266000,90000,4230000000,50000,50000,49400
2009-07-17,7.48,49100,-0.7(-1.41 %),311000,15314726000,71000,3479000000,49500,49700,48800
2009-07-20,7.12,46800,-2.3(-4.68 %),869220,40673023000,0,0,47100,47300,46700
2009-07-21,7.14,46900,0.1(0.21 %),483900,22801343000,0,0,47200,47700,46800
2009-07-22,7.23,47500,0.6(1.28 %),411780,19539362000,0,0,47500,47600,47200
2009-07-23,7.58,49800,2.3(4.84 %),929090,44721601000,0,0,47000,49800,47000
2009-07-24,7.92,52000,2.2(4.42 %),624760,32487520000,0,0,52000,52000,52000
2009-07-27,8.3,54500,2.5(4.81 %),1535460,83350605000,0,0,54500,54500,52500
2009-07-28,8.07,53000,-1.5(-2.75 %),1192800,64556865000,50000,2850000000,54500,56000,52500
2009-07-29,7.99,52500,-0.5(-0.94 %),924570,48800875000,0,0,53500,54000,51500
2009-07-30,7.84,51500,-1(-1.90 %),606660,31253340000,0,0,52000,52500,50500
2009-07-31,8.22,54000,2.5(4.85 %),1125450,60493850000,60000,3240000000,53500,54000,53000
2009-08-03,8.6,56500,2.5(4.63 %),2707260,152840955000,0,0,56500,56500,55000
2009-08-04,8.91,58500,2(3.54 %),1869220,109447975000,40000,2360000000,59000,59000,57000
2009-08-05,8.83,58000,-0.5(-0.85 %),1654270,96337540000,0,0,58000,59000,57000
2009-08-06,8.68,57000,-1(-1.72 %),1656340,95888840000,40000,2420000000,58000,59000,56500
2009-08-07,8.6,56500,-0.5(-0.88 %),1017420,57689020000,0,0,56500,57500,56500
2009-08-10,8.75,57500,1(1.77 %),689300,39585270000,0,0,57000,58000,56500
2009-08-11,8.68,57000,-0.5(-0.87 %),1207840,68675225000,0,0,57000,58000,56500
2009-08-12,8.6,56500,-0.5(-0.88 %),996150,56682905000,0,0,57500,57500,56500
2009-08-13,8.68,57000,0.5(0.88 %),896790,51186195000,0,0,57500,57500,56500
2009-08-14,8.68,57000,0(0.00 %),709790,40347180000,0,0,56500,57500,56500
2009-08-17,8.53,56000,-1(-1.75 %),622790,35091020000,25000,1362500000,56500,57000,56000
2009-08-18,8.45,55500,-0.5(-0.89 %),927850,51274120000,0,0,55000,56000,55000
2009-08-19,8.45,55500,0(0.00 %),719390,39781060000,0,0,56500,56500,55000
2009-08-20,8.45,55500,0(0.00 %),578130,32096405000,0,0,56000,56000,55000
2009-08-21,8.53,56000,0.5(0.90 %),1444220,81851880000,25000,1325000000,56000,58000,56000
2009-08-24,8.6,56500,0.5(0.89 %),634370,35952900000,0,0,57000,57000,56000
2009-08-25,8.45,55500,-1(-1.77 %),577480,32358455000,0,0,56500,56500,55500
2009-08-26,8.53,56000,0.5(0.90 %),516120,28921490000,130000,7525000000,56000,56500,55500
2009-08-27,8.53,56000,0(0.00 %),538870,30092420000,0,0,56000,56000,55500
2009-08-28,8.6,56500,0.5(0.89 %),639140,36029875000,30000,1650000000,56500,56500,56000
2009-08-31,8.75,57500,1(1.77 %),874340,49959495000,0,0,57500,57500,56500
2009-09-01,8.68,57000,-0.5(-0.87 %),847070,48250970000,50000,2825000000,56500,57500,56500
2009-09-03,8.53,56000,-1(-1.75 %),1078760,60194460000,46500,2534250000,56000,56500,54500
2009-09-04,8.3,54500,-1.5(-2.68 %),1015060,56006445000,0,0,56000,56000,54500
2009-09-07,8.07,53000,-1.5(-2.75 %),954060,50612880000,0,0,53000,54500,52000
2009-09-08,8.14,53500,0.5(0.94 %),687300,36887760000,46500,2348250000,54000,54000,53000
2009-09-09,8.14,53500,0(0.00 %),682660,36523825000,47440,2419440000,53500,54000,53000
2009-09-10,8.07,53000,-0.5(-0.93 %),412250,21942585000,0,0,53000,53500,53000
2009-09-11,8.07,53000,0(0.00 %),416470,22079135000,0,0,53000,53500,52500
2009-09-14,8.07,53000,0(0.00 %),588470,31235350000,0,0,53000,53500,52500
