Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-02-08,22.93,54000,0.5(0.93 %),16600,885615000,0,0,52500,55000,52500
2011-02-09,22.93,54000,0(0.00 %),630,33820000,0,0,53000,54000,53000
2011-02-10,23.77,56000,2(3.70 %),8950,482300000,0,0,53000,56000,53000
2011-02-11,22.71,53500,-2.5(-4.46 %),1500,80250000,0,0,53500,53500,53500
2011-02-14,22.71,53500,0(0.00 %),1000,53500000,0,0,53500,53500,53500
2011-02-15,21.86,51500,-2(-3.74 %),1100,56150000,0,0,51000,51500,51000
2011-02-16,21.86,51500,0(0.00 %),3910,199795000,0,0,54000,54000,49500
2011-02-17,21.86,51500,0(0.00 %),3000,154500000,0,0,51500,51500,51500
2011-02-18,21.44,50500,-1(-1.94 %),3100,162400000,0,0,54000,54000,50500
2011-02-21,20.51,48300,-2.2(-4.36 %),2300,111260000,0,0,50000,50000,48000
2011-02-22,19.61,46200,-2.1(-4.35 %),16650,767730000,0,0,46000,46500,46000
2011-02-23,19.74,46500,0.3(0.65 %),700,31770000,0,0,45000,46500,45000
2011-02-24,19.66,46300,-0.2(-0.43 %),1150,52975000,0,0,46000,46300,46000
2011-02-25,19.87,46800,0.5(1.08 %),530,24804000,0,0,46800,46800,46800
2011-02-28,20.59,48500,1.7(3.63 %),2400,117130000,0,0,49000,49100,47600
2011-03-01,19.91,46900,-1.6(-3.30 %),100,4690000,65000,2996500000,46900,46900,46900
2011-03-02,19.4,45700,-1.2(-2.56 %),2690,122737000,0,0,44700,46000,44700
2011-03-03,18.72,44100,-1.6(-3.50 %),300,13230000,0,0,44100,44100,44100
2011-03-04,18.72,44100,0(0.00 %),100,4410000,0,0,44100,44100,44100
2011-03-07,18.85,44400,0.3(0.68 %),560,24864000,76310,3517891000,44400,44400,44400
2011-03-08,18.89,44500,0.1(0.23 %),2140,97035000,0,0,45000,46600,44500
2011-03-09,18.81,44300,-0.2(-0.45 %),5160,230985000,0,0,46700,46700,44000
2011-03-10,19.74,46500,2.2(4.97 %),2190,101775000,0,0,46500,46500,43500
2011-03-11,19.74,46500,0(0.00 %),730,33928000,0,0,44800,46500,44800
2011-03-14,18.93,44600,-1.9(-4.09 %),1430,67723000,0,0,46000,48000,44500
2011-03-15,18.68,44000,-0.6(-1.35 %),3050,142608000,0,0,46800,46800,44000
2011-03-16,18.38,43300,-0.7(-1.59 %),320,14195000,0,0,43200,45000,43200
2011-03-17,18.17,42800,-0.5(-1.15 %),50,2161000,0,0,42700,45000,42700
2011-03-18,18.68,44000,1.2(2.80 %),1230,53108000,0,0,43000,44000,42800
2011-03-21,19.61,46200,2.2(5.00 %),430,19767000,0,0,43300,46200,43300
2011-03-22,20.38,48000,1.8(3.90 %),220,10522000,0,0,44200,48000,44200
2011-03-23,21.23,50000,2(4.17 %),20,1000000,0,0,50000,50000,50000
2011-03-24,20.17,47500,-2.5(-5.00 %),1880,94300000,0,0,50000,52500,47500
2011-03-25,19.44,45800,-1.7(-3.58 %),2260,108201000,0,0,45600,49800,45600
2011-03-28,18.68,44000,-1.8(-3.93 %),20,880000,0,0,44000,44000,44000
2011-03-29,18.68,44000,0(0.00 %),1440,64304000,0,0,46200,46200,44000
2011-03-30,19.61,46200,2.2(5.00 %),1030,45359000,0,0,44000,46200,43500
2011-03-31,20.59,48500,2.3(4.98 %),2150,103319000,0,0,48500,48500,43900
2011-04-01,19.61,46200,-2.3(-4.74 %),3220,159837000,0,0,50500,50500,46200
2011-04-04,20.34,47900,1.7(3.68 %),2070,97316000,0,0,44100,48000,44100
2011-04-05,19.44,45800,-2.1(-4.38 %),11110,535739000,0,0,48000,49900,45800
2011-04-06,19.1,45000,-0.8(-1.75 %),14870,695228000,0,0,48000,48000,45000
2011-04-07,20.04,47200,2.2(4.89 %),4210,198380000,0,0,44000,47200,44000
2011-04-08,19.06,44900,-2.3(-4.87 %),3260,153579000,0,0,48500,48500,44900
2011-04-13,19.74,46500,1.6(3.56 %),10,465000,323071,14861266000,46500,46500,46500
2011-04-14,20.51,48300,1.8(3.87 %),6300,305190000,0,0,48500,48700,48300
2011-04-15,20.17,47500,-0.8(-1.66 %),15010,718329000,0,0,46500,48500,46500
2011-04-18,20.8,49000,1.5(3.16 %),2800,133480000,0,0,47500,49000,47500
2011-04-19,20.17,47500,-1.5(-3.06 %),1020,48950000,0,0,47500,48000,47500
2011-04-20,20.04,47200,-0.3(-0.63 %),510,24072000,0,0,47200,47200,47200
2011-04-21,19.57,46100,-1.1(-2.33 %),84030,3887867000,0,0,45000,48900,45000
2011-04-22,20.0,47100,1(2.17 %),1500,70650000,0,0,47100,47100,47100
2011-04-25,19.95,47000,-0.1(-0.21 %),4130,201580000,0,0,48500,48900,47000
2011-04-26,19.95,47000,0(0.00 %),0,0,0,0,47000,47000,47000
2011-04-27,20.3,46900,0.8(1.74 %),13250,622625000,121375,5692488000,47500,47500,46900
2011-04-28,20.6,47600,0.7(1.49 %),10740,525152000,0,0,48800,49200,47600
2011-04-29,20.86,48200,0.6(1.26 %),22390,1105523000,0,0,48000,49900,48000
2011-05-04,20.86,48200,0(0.00 %),75200,3744263000,0,0,49900,50500,48200
2011-05-05,20.69,47800,-0.4(-0.83 %),1140,54368000,1800000,90540000000,47500,50000,47500
2011-05-06,20.82,48100,0.3(0.63 %),16570,801011000,1670000,83450000000,47100,50000,47100
2011-05-09,21.64,50000,1.9(3.95 %),10040,500532000,0,0,49500,50000,49500
2011-05-10,22.72,52500,2.5(5.00 %),80290,4187775000,20000,1000000000,50500,52500,50500
2011-05-11,23.8,55000,2.5(4.76 %),242730,13350150000,0,0,55000,55000,55000
2011-05-12,24.89,57500,2.5(4.55 %),27800,1598500000,0,0,57500,57500,57500
2011-05-13,25.97,60000,2.5(4.35 %),130100,7806000000,0,0,60000,60000,60000
2011-05-16,25.97,60000,0(0.00 %),77100,4672215000,0,0,62500,62500,60000
2011-05-17,27.27,63000,3(5.00 %),135850,8378950000,0,0,60500,63000,60000
2011-05-18,28.57,66000,3(4.76 %),104440,6871155000,20000,1200000000,64000,66000,61000
2011-05-19,29.86,69000,3(4.55 %),139480,9611025000,0,0,65500,69000,65500
2011-05-20,31.16,72000,3(4.35 %),203350,14641200000,0,0,72000,72000,72000
2011-05-23,30.3,70000,-2(-2.78 %),164830,12312780000,0,0,75000,75500,69000
2011-05-24,31.81,73500,3.5(5.00 %),91130,6672775000,0,0,70000,73500,70000
2011-05-25,30.51,70500,-3(-4.08 %),52420,3739375000,0,0,75000,75000,70000
2011-05-26,31.6,73000,2.5(3.55 %),176460,12899795000,0,0,69500,74000,69000
2011-05-27,30.95,71500,-1.5(-2.05 %),30620,2164335000,0,0,69500,72000,69500
2011-05-30,30.3,70000,-1.5(-2.10 %),23860,1670660000,0,0,68000,72500,68000
2011-05-31,28.78,66500,-3.5(-5.00 %),28920,1964525000,0,0,67000,69500,66500
2011-06-01,29.65,68500,2(3.01 %),34970,2367335000,0,0,65000,68500,64000
2011-06-02,29.22,67500,-1(-1.46 %),420,28820000,0,0,68500,69000,67500
2011-06-03,28.57,66000,-1.5(-2.22 %),26200,1757865000,0,0,67500,68000,66000
2011-06-06,27.27,63000,-3(-4.55 %),26350,1686920000,0,0,63000,65000,63000
2011-06-07,27.27,63000,0(0.00 %),7110,448130000,0,0,63000,63500,63000
2011-06-08,27.27,63000,0(0.00 %),15930,1005040000,0,0,63000,64000,62000
2011-06-09,28.57,66000,3(4.76 %),21240,1394090000,0,0,65000,66000,65000
2011-06-10,29.86,69000,3(4.55 %),38560,2658810000,0,0,68000,69000,68000
2011-06-13,29.86,69000,0(0.00 %),9260,650380000,0,0,71000,71000,69000
2011-06-14,29.86,69000,0(0.00 %),13520,945130000,0,0,69000,70500,69000
2011-06-15,29.86,69000,0(0.00 %),3830,265770000,0,0,69500,69500,69000
2011-06-16,29.65,68500,-0.5(-0.72 %),9610,659835000,0,0,69000,69000,68500
2011-06-17,28.35,65500,-3(-4.38 %),12060,793230000,0,0,66500,66500,65500
2011-06-20,27.92,64500,-1(-1.53 %),8530,552885000,0,0,65000,65000,64500
2011-06-21,29.22,67500,3(4.65 %),1910,126325000,0,0,65500,67500,65500
2011-06-22,28.13,65000,-2.5(-3.70 %),4190,275350000,0,0,67500,67500,65000
2011-06-23,28.13,65000,0(0.00 %),1430,93950000,0,0,66000,66000,65000
2011-06-24,28.57,66000,1(1.54 %),3300,215550000,0,0,63500,66000,63500
2011-06-27,29.0,67000,1(1.52 %),22610,1505040000,0,0,66000,67000,65000
2011-06-28,29.0,67000,0(0.00 %),2480,166160000,0,0,67000,67000,67000
2011-06-29,29.0,67000,0(0.00 %),7820,523950000,0,0,68000,68000,67000
2011-06-30,29.0,67000,0(0.00 %),2130,142710000,0,0,67000,67000,67000
2011-07-01,28.78,66500,-0.5(-0.75 %),1430,94890000,0,0,67000,67000,65000
2011-07-04,28.35,65500,-1(-1.50 %),2490,165235000,0,0,66500,67000,65500
2011-07-05,29.65,68500,3(4.58 %),26180,1780830000,0,0,66000,68500,66000
2011-07-06,30.95,71500,3(4.38 %),28990,2069400000,0,0,70000,71500,70000
2011-07-07,31.81,73500,2(2.80 %),16550,1194380000,0,0,70000,74000,70000
2011-07-08,30.51,70500,-3(-4.08 %),7090,505320000,0,0,73000,73500,70500
2011-07-11,31.16,72000,1.5(2.13 %),6400,453120000,0,0,70000,72000,70000
2011-07-12,29.86,69000,-3(-4.17 %),2820,196580000,0,0,70000,70000,69000
2011-07-13,30.3,70000,1(1.45 %),4450,313815000,0,0,69500,71000,69500
2011-07-14,29.86,69000,-1(-1.43 %),2820,197910000,0,0,70500,70500,69000
2011-07-15,30.51,70500,1.5(2.17 %),6880,480120000,0,0,69000,70500,69000
2011-07-18,29.86,69000,-1.5(-2.13 %),4600,317150000,0,0,69000,69000,68500
2011-07-19,30.08,69500,0.5(0.72 %),16530,1152480000,0,0,69000,70000,69000
2011-07-20,29.65,68500,-1(-1.44 %),800,54800000,0,0,68500,68500,68500
2011-07-21,29.65,68500,0(0.00 %),13050,898510000,0,0,69000,69000,68500
2011-07-22,29.65,68500,0(0.00 %),1620,109970000,0,0,68500,68500,67500
2011-07-25,29.86,69000,0.5(0.73 %),11200,777800000,0,0,69000,70000,69000
2011-07-26,30.3,70000,1(1.45 %),13400,929500000,0,0,68000,70000,68000
2011-07-27,30.3,70000,0(0.00 %),19500,1357500000,0,0,69000,70000,69000
2011-07-28,30.3,70000,0(0.00 %),10560,739200000,0,0,70000,70000,70000
2011-07-29,30.3,70000,0(0.00 %),15150,1060500000,0,0,70000,70000,70000
2011-08-01,30.3,70000,0(0.00 %),700,49000000,0,0,70000,70000,70000
2011-08-02,30.73,71000,1(1.43 %),6710,473450000,31870,2262770000,70000,71000,70000
2011-08-03,30.3,70000,-1(-1.41 %),4060,284200000,120000,8160000000,70000,70000,70000
2011-08-04,30.3,70000,0(0.00 %),10210,714700000,0,0,70000,70000,70000
2011-08-05,31.38,72500,2.5(3.57 %),20820,1482435000,40410,2869110000,70000,72500,70000
2011-08-08,31.16,72000,-0.5(-0.69 %),14690,1058000000,0,0,72000,72000,72000
2011-08-09,31.16,72000,0(0.00 %),21410,1535495000,0,0,69500,72000,69500
2011-08-10,31.16,72000,0(0.00 %),15340,1104480000,0,0,72000,72000,72000
2011-08-11,31.6,73000,1(1.39 %),28400,2066600000,0,0,72000,73000,72000
2011-08-12,31.6,73000,0(0.00 %),14770,1080410000,0,0,73000,73500,73000
2011-08-15,30.51,70500,-2.5(-3.42 %),33700,2469030000,0,0,73500,74000,70500
2011-08-16,32.03,74000,3.5(4.96 %),24520,1813725000,200000,14000000000,70500,74000,70500
2011-08-17,32.03,74000,0(0.00 %),1850,135700000,70000,5045000000,75000,75000,72500
2011-08-18,33.54,77500,3.5(4.73 %),40880,3120940000,100000,7050000000,74500,77500,74500
2011-08-19,34.63,80000,2.5(3.23 %),30720,2454120000,45000,3330000000,79000,80000,75500
2011-08-22,35.71,82500,2.5(3.12 %),15640,1285515000,0,0,80000,83000,77500
2011-08-23,35.27,81500,-1(-1.21 %),10940,899190000,591080,46399780000,84500,84500,81500
2011-08-24,35.71,82500,1(1.23 %),4920,403450000,0,0,82500,82500,78500
2011-08-25,35.49,82000,-0.5(-0.61 %),3520,288650000,0,0,83000,83000,82000
2011-08-26,36.79,85000,3(3.66 %),29810,2512935000,100000,7800000000,82500,85000,82500
2011-08-29,36.79,85000,0(0.00 %),2410,206660000,0,0,86000,87000,85000
2011-08-30,37.87,87500,2.5(2.94 %),7020,609075000,0,0,86000,87500,85000
2011-08-31,38.95,90000,2.5(2.86 %),15820,1419400000,0,0,88000,90000,88000
2011-09-01,39.39,91000,1(1.11 %),7500,696130000,0,0,93000,93000,91000
2011-09-05,41.33,95500,4.5(4.95 %),40170,3787875000,0,0,92000,95500,88000
2011-09-06,43.28,100000,4.5(4.71 %),125490,12544965000,0,0,100000,100000,99000
2011-09-07,43.28,100000,0(0.00 %),19750,2016080000,0,0,103000,104000,100000
2011-09-08,42.42,98000,-2(-2.00 %),4290,426280000,0,0,102000,102000,98000
2011-09-09,40.47,93500,-4.5(-4.59 %),10260,963825000,0,0,94000,97000,93500
2011-09-12,38.52,89000,-4.5(-4.81 %),6760,601640000,0,0,89000,89000,89000
2011-09-13,37.22,86000,-3(-3.37 %),39490,3375690000,0,0,85000,91000,85000
2011-09-14,38.95,90000,4(4.65 %),20250,1818525000,0,0,86000,90000,86000
2011-09-15,40.9,94500,4.5(5.00 %),4920,464840000,0,0,94500,94500,94000
2011-09-16,42.42,98000,3.5(3.70 %),9850,967740000,0,0,99000,99000,91000
2011-09-19,41.33,95500,-2.5(-2.55 %),7070,672690000,0,0,95000,98000,93500
2011-09-20,40.25,93000,-2.5(-2.62 %),1680,158420000,0,0,95500,97500,91500
2011-09-21,38.95,90000,-3(-3.23 %),8610,772645000,0,0,94000,94000,88500
2011-09-22,38.3,88500,-1.5(-1.67 %),1880,166505000,0,0,86000,91000,86000
2011-09-23,37.01,85500,-3(-3.39 %),8480,722920000,0,0,91000,91000,85000
2011-09-26,37.22,86000,0.5(0.58 %),9060,761765000,0,0,85500,86000,83500
2011-09-27,38.95,90000,4(4.65 %),8080,724020000,0,0,89000,90000,86500
2011-09-28,40.83,93500,4.3(4.82 %),4660,435710000,0,0,93500,93500,93500
2011-09-29,40.4,92500,-1(-1.07 %),9520,879000000,0,0,92000,93000,92000
2011-09-30,41.49,95000,2.5(2.70 %),13050,1227095000,0,0,90000,95000,90000
2011-10-03,41.49,95000,0(0.00 %),1530,145300000,0,0,95000,95000,94500
2011-10-04,39.52,90500,-4.5(-4.74 %),8960,828210000,0,0,95000,95500,90500
2011-10-05,41.49,95000,4.5(4.97 %),26230,2488770000,0,0,93000,95000,93000
2011-10-06,41.92,96000,1(1.05 %),3260,312560000,0,0,95000,96000,95000
2011-10-07,42.14,96500,0.5(0.52 %),25980,2492775000,0,0,95500,96500,95000
2011-10-10,41.27,94500,-2(-2.07 %),6480,619720000,0,0,96500,96500,94500
2011-10-11,41.71,95500,1(1.06 %),3870,369210000,0,0,94000,95500,94000
2011-10-12,41.71,95500,0(0.00 %),20500,1957700000,0,0,95000,96000,95000
2011-10-13,41.92,96000,0.5(0.52 %),10650,1019500000,0,0,95500,96000,95000
2011-10-14,41.71,95500,-0.5(-0.52 %),17360,1660135000,0,0,96000,96500,95500
2011-10-17,41.92,96000,0.5(0.52 %),16660,1600110000,0,0,95500,96500,95000
2011-10-18,42.14,96500,0.5(0.52 %),10700,1020575000,0,0,92000,97000,91500
2011-10-19,40.18,92000,-4.5(-4.66 %),6720,628235000,0,0,96500,97000,92000
2011-10-20,42.14,96500,4.5(4.89 %),6220,597640000,0,0,96000,96500,95000
2011-10-21,43.67,100000,3.5(3.63 %),61480,6103570000,0,0,96500,100000,96500
2011-10-24,43.67,100000,0(0.00 %),44230,4422880000,0,0,100000,100000,99500
2011-10-25,42.58,97500,-2.5(-2.50 %),3200,319100000,0,0,100000,101000,97500
2011-10-26,43.67,100000,2.5(2.56 %),16890,1685305000,0,0,97000,100000,97000
2011-10-27,44.98,103000,3(3.00 %),15720,1614330000,0,0,100000,103000,100000
2011-10-28,45.42,104000,1(0.97 %),4360,451690000,0,0,104000,104000,102000
2011-10-31,46.29,106000,2(1.92 %),27490,2902240000,0,0,105000,106000,101000
2011-11-01,45.85,105000,-1(-0.94 %),6770,712140000,0,0,104000,106000,104000
2011-11-02,45.42,104000,-1(-0.95 %),15240,1583420000,0,0,103000,105000,103000
