Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-09-08,10.72,37100,-2.7(-6.78 %),560200,20977080000.0,140000,5194000000,38500,42400,37100
2008-09-09,10.26,35500,-1.9(-5.08 %),496000,18042720000.0,45000,1697000000,34800,37500,34800
2008-09-10,9.8,33900,-2.5(-6.87 %),511900,17501860000.0,35000,1233000000,36000,36000,33900
2008-09-11,9.22,31900,-2.3(-6.73 %),70200,2239380000.0,86500,3035000000,31900,31900,31900
2008-09-12,8.58,29700,-2.2(-6.90 %),35600,1057320000.0,26900,799000000,29700,29700,29700
2008-09-15,8.0,27700,-2(-6.73 %),992100,27662640000.0,0,0,27700,30000,27700
2008-09-16,7.51,26000,-1.9(-6.81 %),280600,7295600000.0,55000,1430000000,26000,26000,26000
2008-09-17,6.99,24200,-1.8(-6.92 %),54100,1309220000.0,0,0,24200,24200,24200
2008-09-18,6.53,22600,-1.6(-6.61 %),42800,967280000.0,5000,113000000,22600,22600,22600
2008-09-19,6.96,24100,1.5(6.64 %),1351700,31793430000.0,10000,211000000,21100,24100,21100
2008-09-22,7.25,25100,1.6(6.81 %),276600,6942660000.0,130000,3263000000,25100,25100,25100
2008-09-23,7.57,26200,1.1(4.38 %),1588100,40754140000.0,0,0,26800,26800,23400
2008-09-24,7.77,26900,1.2(4.67 %),604400,15860900000.0,10000,240000000,26100,27000,25100
2008-09-25,8.09,28000,1.8(6.87 %),1023100,27918450000.0,0,0,26300,28000,25800
2008-09-26,8.24,28500,1.2(4.40 %),714700,20503450000.0,0,0,29200,29200,27400
2008-09-29,7.77,26900,-1.8(-6.27 %),837700,22828470000.0,0,0,29000,29000,26700
2008-09-30,7.34,25400,-1.9(-6.96 %),20100,510540000.0,50000,1327000000,25400,25400,25400
2008-10-01,7.31,25300,-0.1(-0.39 %),529700,13222880000.0,0,0,26200,26800,23900
2008-10-02,7.4,25600,0.6(2.40 %),454400,11573380000.0,0,0,24400,26300,24400
2008-10-03,7.28,25200,-0.3(-1.18 %),322700,8071390000.0,0,0,24500,25400,24500
2008-10-06,6.88,23800,-1.2(-4.80 %),462900,11060110000.0,0,0,25500,25500,23450
2008-10-07,6.47,22400,-1.5(-6.28 %),1008200,22513320000.0,0,0,22300,22500,22300
2008-10-08,6.39,22100,-0.2(-0.90 %),562200,12183000000.0,0,0,20850,22300,20850
2008-10-09,6.62,22900,1.2(5.53 %),521500,11725110000.0,0,0,21500,23200,21000
2008-10-10,6.07,21300,-1.5(-6.67 %),682900,14464930000.0,0,0,22000,22400,21300
2008-10-13,6.47,22400,1.2(5.66 %),289000,6297680000.0,0,0,21200,22450,21000
2008-10-14,6.73,23300,1.5(6.88 %),2700,62910000.0,0,0,23300,23300,23300
2008-10-15,7.2,24900,1.6(6.87 %),788900,19173130000.0,0,0,24700,24900,23300
2008-10-16,6.7,23200,-1.1(-4.53 %),372100,8641370000.0,0,0,24000,24000,23150
2008-10-17,6.88,23800,0.6(2.59 %),258100,6129060000.0,0,0,24600,24700,23200
2008-10-20,6.62,22900,-0.8(-3.38 %),171000,3943470000.0,0,0,23500,24000,22800
2008-10-21,6.82,23600,0.5(2.16 %),228100,5338820000.0,0,0,24500,24500,22900
2008-10-22,6.59,22800,-0.6(-2.56 %),128300,2904530000.0,0,0,23200,23200,22200
2008-10-23,6.1,21200,-1.5(-6.64 %),306000,6496110000.0,0,0,21200,22000,21200
2008-10-24,5.78,20000,-1.2(-5.66 %),327600,6606030000.0,0,0,19900,21200,19800
2008-10-27,5.43,18800,-1.4(-6.93 %),150900,2841210000.0,0,0,19300,19300,18800
2008-10-28,5.49,19000,0.2(1.06 %),387300,6914860000.0,0,0,17500,19500,17500
2008-10-29,5.52,19100,1.2(6.70 %),306900,5838130000.0,30000,537000000,19100,19100,18200
2008-10-30,5.78,20000,1(5.26 %),236000,4622530000.0,0,0,20000,20200,18300
2008-10-31,5.81,20100,0.5(2.55 %),227800,4578010000.0,0,0,20200,20700,19600
2008-11-03,5.72,19800,-0.3(-1.49 %),314900,6051920000.0,0,0,20000,20500,18700
2008-11-04,5.92,20500,1.3(6.77 %),589900,11908720000.0,0,0,19800,20500,19000
2008-11-05,6.24,21600,1.4(6.93 %),983500,21231930000.0,19000,357000000,21600,21600,21200
2008-11-06,5.95,20600,-1(-4.63 %),755600,15715210000.0,0,0,21000,22000,20100
2008-11-07,5.61,19400,-1.4(-6.73 %),494100,9626840000.0,0,0,19400,20000,19400
2008-11-10,5.66,19600,0.1(0.51 %),256100,5033660000.0,0,0,20400,20400,19300
2008-11-11,5.32,18400,-1.3(-6.60 %),537100,9919630000.0,0,0,19700,19700,18400
2008-11-12,5.17,17900,-0.6(-3.24 %),509100,9042460000.0,0,0,18000,18300,17300
2008-11-13,5.17,17900,0.1(0.56 %),319500,5662880000.0,0,0,17700,18000,17100
2008-11-14,5.35,18500,0.7(3.93 %),392500,7224800000.0,0,0,18000,18700,18000
2008-11-17,5.23,18100,-0.3(-1.63 %),263300,4774810000.0,0,0,18000,18400,18000
2008-11-18,5.04,17200,-0.7(-3.91 %),305400,5243720000.0,0,0,17800,17800,17000
2008-11-19,4.89,16700,-0.5(-2.91 %),387600,6522610000.0,0,0,17200,17300,16500
2008-11-20,4.63,15800,-1(-5.95 %),379800,5999670000.0,0,0,16600,16600,15700
2008-11-21,4.31,14700,-1.1(-6.96 %),477700,7115910000.0,0,0,15800,15800,14700
2008-11-24,4.28,14600,-0.3(-2.01 %),468200,6961970000.0,0,0,15300,15400,14600
2008-11-25,4.22,14400,-0.5(-3.36 %),477700,6875970000.0,0,0,15500,15500,14100
2008-11-26,3.93,13400,-1(-6.94 %),702300,9528410000.0,5000,70000000,14400,14400,13400
2008-11-27,3.84,13100,-0.5(-3.68 %),529100,6932340000.0,0,0,13700,13800,12800
2008-11-28,4.1,14000,0.9(6.87 %),631500,8786320000.0,50000,700000000,13400,14000,13100
2008-12-01,4.34,14800,0.9(6.47 %),715100,10545970000.0,0,0,14800,14800,14000
2008-12-02,4.6,15700,1(6.80 %),424800,6589920000.0,0,0,15700,15700,14600
2008-12-03,4.83,16500,1(6.45 %),1303800,21427420000.0,0,0,16500,16500,15600
2008-12-04,4.75,16200,-0.2(-1.22 %),642500,10356560000.0,0,0,17400,17400,15500
2008-12-05,4.39,15050,-1.1(-6.83 %),388700,5870240000.0,0,0,15300,15800,15050
2008-12-08,4.16,14200,-0.9(-5.96 %),596000,8416770000.0,0,0,14400,14400,14100
2008-12-09,4.28,14600,0.5(3.55 %),302500,4345250000.0,5000,66000000,14500,14900,13800
2008-12-10,4.13,14100,-0.3(-2.08 %),241500,3375130000.0,0,0,14400,14400,13800
2008-12-11,4.37,14900,0.9(6.43 %),366500,5246330000.0,0,0,13500,14900,13500
2008-12-12,4.48,15300,1(6.99 %),489700,7466130000.0,0,0,14900,15300,14800
2008-12-15,4.75,16200,1(6.58 %),924000,14940720000.0,35000,560000000,16200,16200,15700
2008-12-16,4.48,15300,-0.9(-5.56 %),520800,8226580000.0,5000,76000000,17300,17300,15100
2008-12-17,4.69,16000,0.2(1.27 %),571100,9089610000.0,0,0,16000,16200,15300
2008-12-18,4.92,16800,0.9(5.66 %),715400,11777220000.0,0,0,15900,17000,15800
2008-12-19,4.51,15600,-1.1(-6.67 %),327700,5046580000.0,23000,354000000,15600,15600,15600
2008-12-22,4.6,15700,0.3(1.95 %),880500,13472710000.0,0,0,14400,16000,14400
2008-12-23,4.48,15300,0(0.00 %),407400,6191490000.0,0,0,15600,15600,15000
2008-12-24,4.57,15600,0.4(2.63 %),375900,5754850000.0,0,0,15000,15800,14500
2008-12-25,4.6,15700,0.4(2.61 %),232600,3626010000.0,0,0,15300,15900,15300
